Date,Adj Close_OSWALGREEN.NS,Close_OSWALGREEN.NS,High_OSWALGREEN.NS,Low_OSWALGREEN.NS,Open_OSWALGREEN.NS,Volume_OSWALGREEN.NS,Date
2020-07-13,10.985158920288086,11.600000381469727,12.5,11.5,12.300000190734863,49522,2020-07-13
2020-07-20,10.085512161254883,10.649999618530273,12.0,10.550000190734863,12.0,127982,2020-07-20
2020-07-27,9.13851547241211,9.649999618530273,10.649999618530273,9.600000381469727,10.649999618530273,127032,2020-07-27
2020-08-03,9.469964981079102,10.0,10.449999809265137,9.449999809265137,9.5,165004,2020-08-03
2020-08-10,9.801413536071777,10.350000381469727,10.699999809265137,9.949999809265137,10.399999618530273,111909,2020-08-10
2020-08-17,12.074204444885254,12.75,12.75,10.100000381469727,10.399999618530273,216059,2020-08-17
2020-08-24,12.54770278930664,13.25,14.449999809265137,12.149999618530273,13.149999618530273,468653,2020-08-24
2020-08-31,11.174558639526367,11.800000190734863,13.899999618530273,11.649999618530273,13.800000190734863,160752,2020-08-31
2020-09-07,10.795759201049805,11.399999618530273,12.199999809265137,10.75,11.399999618530273,98467,2020-09-07
2020-09-14,12.737102508544922,13.449999809265137,14.399999618530273,11.75,11.899999618530273,4660157,2020-09-14
2020-09-21,11.316607475280762,11.949999809265137,13.699999809265137,11.350000381469727,12.800000190734863,116621,2020-09-21
2020-09-28,11.648056983947754,12.300000190734863,12.350000381469727,11.550000190734863,12.350000381469727,64739,2020-09-28
2020-10-05,10.369610786437988,10.949999809265137,12.699999809265137,10.899999618530273,12.699999809265137,145645,2020-10-05
2020-10-12,10.70106029510498,11.300000190734863,11.850000381469727,10.699999809265137,11.050000190734863,97338,2020-10-12
2020-10-19,10.843109130859375,11.449999809265137,11.850000381469727,10.75,11.149999618530273,77266,2020-10-19
2020-10-26,10.795759201049805,11.399999618530273,12.399999618530273,11.0,11.449999809265137,114607,2020-10-26
2020-11-02,11.03250789642334,11.649999618530273,12.199999809265137,11.149999618530273,11.300000190734863,116895,2020-11-02
2020-11-09,11.127208709716797,11.75,12.100000381469727,10.949999809265137,11.850000381469727,152483,2020-11-09
2020-11-16,12.121554374694824,12.800000190734863,13.899999618530273,11.350000381469727,11.350000381469727,341869,2020-11-16
2020-11-23,12.405653953552246,13.100000381469727,13.850000381469727,11.600000381469727,12.5,496208,2020-11-23
2020-11-30,13.542049407958984,14.300000190734863,15.800000190734863,12.75,13.100000381469727,452119,2020-11-30
2020-12-07,15.720141410827637,16.600000381469727,17.899999618530273,14.300000190734863,14.600000381469727,978234,2020-12-07
2020-12-14,15.293992042541504,16.149999618530273,18.649999618530273,15.75,16.950000762939453,629564,2020-12-14
2020-12-21,14.962544441223145,15.800000190734863,17.5,14.0,16.850000381469727,311499,2020-12-21
2020-12-28,15.720141410827637,16.600000381469727,17.100000381469727,15.600000381469727,16.649999618530273,334513,2020-12-28
2021-01-04,20.076326370239258,21.200000762939453,23.0,16.649999618530273,17.049999237060547,3829508,2021-01-04
2021-01-11,17.47208595275879,18.450000762939453,22.100000381469727,17.899999618530273,22.049999237060547,557099,2021-01-11
2021-01-18,16.477737426757812,17.399999618530273,20.0,17.25,18.5,532896,2021-01-18
2021-01-25,16.430389404296875,17.350000381469727,17.950000762939453,16.200000762939453,17.75,205354,2021-01-25
2021-02-01,16.619787216186523,17.549999237060547,18.600000381469727,17.450000762939453,17.700000762939453,275453,2021-02-01
2021-02-08,15.67279052734375,16.549999237060547,18.25,16.149999618530273,18.25,301023,2021-02-08
2021-02-15,16.240989685058594,17.149999618530273,17.799999237060547,15.5,16.649999618530273,421677,2021-02-15
2021-02-22,16.998586654663086,17.950000762939453,18.899999618530273,16.25,16.5,808180,2021-02-22
2021-03-01,16.809186935424805,17.75,21.25,16.950000762939453,17.950000762939453,1362233,2021-03-01
2021-03-08,16.477737426757812,17.399999618530273,18.75,16.950000762939453,18.75,382605,2021-03-08
2021-03-15,15.814841270446777,16.700000762939453,18.350000381469727,16.100000381469727,18.049999237060547,511769,2021-03-15
2021-03-22,15.293992042541504,16.149999618530273,17.600000381469727,15.800000190734863,17.049999237060547,333835,2021-03-22
2021-03-29,17.708833694458008,18.700000762939453,19.200000762939453,16.149999618530273,16.149999618530273,858919,2021-03-29
2021-04-05,16.951236724853516,17.899999618530273,19.899999618530273,17.600000381469727,19.049999237060547,995405,2021-04-05
2021-04-12,16.098939895629883,17.0,17.899999618530273,16.549999237060547,17.899999618530273,293142,2021-04-12
2021-04-19,15.862190246582031,16.75,17.25,15.899999618530273,16.799999237060547,282180,2021-04-19
2021-04-26,15.909539222717285,16.799999237060547,17.700000762939453,16.5,17.299999237060547,414732,2021-04-26
2021-05-03,15.814841270446777,16.700000762939453,18.399999618530273,16.100000381469727,16.549999237060547,868970,2021-05-03
2021-05-10,16.998586654663086,17.950000762939453,19.450000762939453,16.549999237060547,16.899999618530273,2466009,2021-05-10
2021-05-17,18.70318031311035,19.75,21.399999618530273,17.299999237060547,18.450000762939453,3049581,2021-05-17
2021-05-24,22.396465301513672,23.649999618530273,27.899999618530273,20.100000381469727,20.25,5541516,2021-05-24
2021-05-31,23.532861709594727,24.850000381469727,25.850000381469727,22.100000381469727,24.200000762939453,1917846,2021-05-31
2021-06-07,27.32084846496582,28.850000381469727,30.450000762939453,24.0,25.450000762939453,5231830,2021-06-07
2021-06-14,24.953357696533203,26.350000381469727,29.75,25.100000381469727,28.100000381469727,3110209,2021-06-14
2021-06-21,25.37950325012207,26.799999237060547,28.600000381469727,25.100000381469727,26.149999618530273,1326919,2021-06-21
2021-06-28,27.273496627807617,28.799999237060547,31.149999618530273,25.799999237060547,26.649999618530273,4803264,2021-06-28
2021-07-05,30.87208366394043,32.599998474121094,34.70000076293945,28.25,29.200000762939453,5096363,2021-07-05
2021-07-12,30.067136764526367,31.75,35.599998474121094,31.25,32.75,3392423,2021-07-12
2021-07-19,27.84169578552246,29.399999618530273,31.75,28.299999237060547,31.75,1197856,2021-07-19
2021-07-26,27.17879867553711,28.700000762939453,30.200000762939453,25.799999237060547,29.25,1610862,2021-07-26
2021-08-02,26.421199798583984,27.899999618530273,31.100000381469727,26.75,28.5,1383475,2021-08-02
2021-08-09,23.485511779785156,24.799999237060547,28.649999618530273,22.399999618530273,28.200000762939453,1159483,2021-08-09
2021-08-16,21.4968204498291,22.700000762939453,25.100000381469727,21.350000381469727,24.049999237060547,671327,2021-08-16
2021-08-23,21.59151840209961,22.799999237060547,23.75,20.049999237060547,22.950000762939453,719568,2021-08-23
2021-08-30,21.30742073059082,22.5,23.799999237060547,19.600000381469727,22.799999237060547,665478,2021-08-30
2021-09-06,21.40212059020996,22.600000381469727,24.0,22.399999618530273,22.5,403574,2021-09-06
2021-09-13,22.538515090942383,23.799999237060547,27.75,22.149999618530273,23.25,2881439,2021-09-13
2021-09-20,22.775264739990234,24.049999237060547,25.5,23.149999618530273,24.0,1231694,2021-09-20
2021-09-27,21.78091812133789,23.0,24.25,22.75,24.049999237060547,764744,2021-09-27
2021-10-04,22.06501579284668,23.299999237060547,23.850000381469727,22.899999618530273,23.399999618530273,884333,2021-10-04
2021-10-11,22.869964599609375,24.149999618530273,25.100000381469727,23.049999237060547,23.549999237060547,1416525,2021-10-11
2021-10-18,19.934274673461914,21.049999237060547,24.600000381469727,20.700000762939453,24.399999618530273,1385508,2021-10-18
2021-10-25,18.892580032348633,19.950000762939453,21.75,19.5,21.299999237060547,722904,2021-10-25
2021-11-01,22.538515090942383,23.799999237060547,24.399999618530273,19.850000381469727,20.450000762939453,2098977,2021-11-01
2021-11-08,22.775264739990234,24.049999237060547,24.600000381469727,22.25,24.200000762939453,1731746,2021-11-08
2021-11-15,22.254417419433594,23.5,24.5,23.049999237060547,24.399999618530273,810463,2021-11-15
2021-11-22,20.975971221923828,22.149999618530273,23.899999618530273,21.200000762939453,23.899999618530273,1249556,2021-11-22
2021-11-29,21.30742073059082,22.5,23.649999618530273,20.399999618530273,22.299999237060547,1324098,2021-11-29
2021-12-06,23.39081382751465,24.700000762939453,25.799999237060547,21.850000381469727,22.850000381469727,2456777,2021-12-06
2021-12-13,20.928621292114258,22.100000381469727,26.200000762939453,21.700000762939453,25.100000381469727,2847392,2021-12-13
2021-12-20,23.485511779785156,24.799999237060547,25.200000762939453,20.600000381469727,21.600000381469727,4257048,2021-12-20
2021-12-27,30.398584365844727,32.099998474121094,36.400001525878906,25.25,27.299999237060547,12399940,2021-12-27
2022-01-03,30.25653648376465,31.950000762939453,34.45000076293945,28.100000381469727,32.45000076293945,3732963,2022-01-03
2022-01-10,28.646642684936523,30.25,33.0,30.049999237060547,32.349998474121094,1626167,2022-01-10
2022-01-17,27.88904571533203,29.450000762939453,32.45000076293945,29.149999618530273,30.5,1707542,2022-01-17
2022-01-24,27.13144874572754,28.649999618530273,29.700000762939453,26.200000762939453,29.649999618530273,1151316,2022-01-24
2022-01-31,27.368196487426758,28.899999618530273,29.850000381469727,27.450000762939453,29.149999618530273,893555,2022-01-31
2022-02-07,25.663604736328125,27.100000381469727,29.75,26.700000762939453,29.5,901209,2022-02-07
2022-02-14,22.680564880371094,23.950000762939453,26.75,22.049999237060547,24.799999237060547,1545248,2022-02-14
2022-02-21,19.934274673461914,21.049999237060547,24.0,20.049999237060547,23.850000381469727,2108073,2022-02-21
2022-02-28,20.881271362304688,22.049999237060547,22.600000381469727,20.25,21.049999237060547,920568,2022-02-28
2022-03-07,22.538515090942383,23.799999237060547,24.299999237060547,21.0,21.549999237060547,1170946,2022-03-07
2022-03-14,21.78091812133789,23.0,24.25,22.100000381469727,23.899999618530273,762023,2022-03-14
2022-03-21,21.82826805114746,23.049999237060547,24.700000762939453,22.700000762939453,23.350000381469727,1347525,2022-03-21
2022-03-28,22.727914810180664,24.0,24.299999237060547,22.100000381469727,23.0,1626200,2022-03-28
2022-04-04,25.663604736328125,27.100000381469727,29.100000381469727,24.100000381469727,24.5,3025288,2022-04-04
2022-04-11,25.09540557861328,26.5,27.450000762939453,25.649999618530273,27.299999237060547,729135,2022-04-11
2022-04-18,26.231801986694336,27.700000762939453,29.200000762939453,24.700000762939453,26.0,2821541,2022-04-18
2022-04-25,25.14275550842285,26.549999237060547,29.299999237060547,26.100000381469727,27.5,2218203,2022-04-25
2022-05-02,23.012012481689453,24.299999237060547,26.350000381469727,23.75,25.649999618530273,680319,2022-05-02
2022-05-09,21.30742073059082,22.5,25.850000381469727,21.799999237060547,23.850000381469727,1176801,2022-05-09
2022-05-16,23.248762130737305,24.549999237060547,25.299999237060547,22.5,23.0,988162,2022-05-16
