Date,Adj Close_MHLXMIRU.NS,Close_MHLXMIRU.NS,High_MHLXMIRU.NS,Low_MHLXMIRU.NS,Open_MHLXMIRU.NS,Volume_MHLXMIRU.NS,Date
2022-01-24,75.69999694824219,75.69999694824219,82.80000305175781,72.0,72.0,243601,2022-01-24
2022-01-31,74.30000305175781,74.30000305175781,80.5,65.19999694824219,80.5,272081,2022-01-31
2022-02-07,142.25,142.25,142.25,74.4000015258789,74.4000015258789,1505112,2022-02-07
2022-02-14,148.60000610351562,148.60000610351562,170.60000610351562,135.25,139.5,818104,2022-02-14
2022-02-21,129.5,129.5,141.1999969482422,122.1500015258789,141.1999969482422,389836,2022-02-21
2022-02-28,139.8000030517578,139.8000030517578,142.4499969482422,123.05000305175781,123.5,132030,2022-02-28
2022-03-07,127.5,127.5,142.39999389648438,122.25,138.0,59476,2022-03-07
2022-03-14,118.3499984741211,118.3499984741211,132.6999969482422,116.0,128.0,51827,2022-03-14
2022-03-21,131.0,131.0,131.0,109.0,123.0,88199,2022-03-21
2022-03-28,122.0,122.0,137.5500030517578,115.30000305175781,125.0,63751,2022-03-28
2022-04-04,125.9000015258789,125.9000015258789,127.9000015258789,118.5,119.80000305175781,44656,2022-04-04
2022-04-11,145.5,145.5,145.64999389648438,125.9000015258789,125.9000015258789,83496,2022-04-11
2022-04-18,148.5,148.5,159.0,140.35000610351562,152.75,122111,2022-04-18
2022-04-25,139.85000610351562,139.85000610351562,157.39999389648438,138.0,145.1999969482422,77096,2022-04-25
2022-05-02,131.85000610351562,131.85000610351562,144.60000610351562,127.0,134.0,32151,2022-05-02
2022-05-09,119.1500015258789,119.1500015258789,138.0,114.80000305175781,126.0,33744,2022-05-09
2022-05-16,135.35000610351562,135.35000610351562,135.35000610351562,116.75,120.0,30412,2022-05-16
2022-05-23,131.6999969482422,131.6999969482422,145.5500030517578,123.44999694824219,142.0500030517578,28825,2022-05-23
2022-05-30,132.9499969482422,132.9499969482422,137.0,126.19999694824219,127.0999984741211,22727,2022-05-30
2022-06-06,115.5999984741211,115.5999984741211,136.39999389648438,110.19999694824219,136.39999389648438,22463,2022-06-06
2022-06-13,112.3499984741211,112.3499984741211,123.0,106.5999984741211,114.0,12357,2022-06-13
2022-06-20,120.6500015258789,120.6500015258789,126.0,103.25,109.94999694824219,30443,2022-06-20
2022-06-27,118.5,118.5,121.75,115.05000305175781,118.25,56258,2022-06-27
2022-07-04,118.05000305175781,118.05000305175781,123.0,118.0,119.0,13167,2022-07-04
2022-07-11,138.85000610351562,138.85000610351562,139.9499969482422,118.0,119.8499984741211,144957,2022-07-11
2022-07-18,132.3000030517578,132.3000030517578,140.0,130.1999969482422,139.9499969482422,36833,2022-07-18
2022-07-25,130.39999389648438,130.39999389648438,137.39999389648438,125.0,129.14999389648438,18458,2022-07-25
2022-08-01,132.6999969482422,132.6999969482422,138.5,129.0,132.39999389648438,36735,2022-08-01
2022-08-08,134.3000030517578,134.3000030517578,136.35000610351562,130.4499969482422,131.89999389648438,12488,2022-08-08
2022-08-15,141.39999389648438,141.39999389648438,155.9499969482422,134.0,134.3000030517578,92209,2022-08-15
2022-08-22,157.25,157.25,175.0,136.0500030517578,146.5500030517578,296342,2022-08-22
2022-08-29,171.5,171.5,189.85000610351562,147.0,157.5,203451,2022-08-29
2022-09-05,207.4499969482422,207.4499969482422,225.0,161.25,172.9499969482422,771668,2022-09-05
2022-09-12,192.10000610351562,192.10000610351562,221.5,190.0,210.60000610351562,226255,2022-09-12
2022-09-19,179.9499969482422,179.9499969482422,205.39999389648438,171.0500030517578,192.3000030517578,242557,2022-09-19
2022-09-26,154.35000610351562,154.35000610351562,190.0,152.35000610351562,181.0,181953,2022-09-26
2022-10-03,157.75,157.75,167.89999389648438,152.35000610351562,157.89999389648438,73112,2022-10-03
2022-10-10,147.75,147.75,165.5,145.64999389648438,159.9499969482422,39277,2022-10-10
2022-10-17,183.4499969482422,183.4499969482422,204.9499969482422,140.0,150.4499969482422,2406656,2022-10-17
2022-10-24,189.8000030517578,189.8000030517578,202.0,179.89999389648438,185.0,156290,2022-10-24
2022-10-31,239.89999389648438,239.89999389648438,243.89999389648438,185.14999389648438,192.8000030517578,1338314,2022-10-31
2022-11-07,221.3000030517578,221.3000030517578,239.89999389648438,217.0,239.89999389648438,119197,2022-11-07
2022-11-14,222.4499969482422,222.4499969482422,239.89999389648438,214.0500030517578,220.0,461992,2022-11-14
2022-11-21,225.64999389648438,225.64999389648438,229.4499969482422,217.3000030517578,223.0,114702,2022-11-21
2022-11-28,220.5500030517578,220.5500030517578,235.89999389648438,217.64999389648438,227.0500030517578,181238,2022-11-28
2022-12-05,215.89999389648438,215.89999389648438,232.0,215.0500030517578,223.0500030517578,114504,2022-12-05
2022-12-12,248.35000610351562,248.35000610351562,252.0,206.3000030517578,215.0,461676,2022-12-12
2022-12-19,218.85000610351562,218.85000610351562,267.0,216.10000610351562,248.35000610351562,504180,2022-12-19
2022-12-26,263.95001220703125,263.95001220703125,277.3999938964844,218.1999969482422,218.1999969482422,724809,2022-12-26
2023-01-02,222.39999389648438,222.39999389648438,276.3500061035156,219.25,260.6000061035156,724354,2023-01-02
2023-01-09,223.89999389648438,223.89999389648438,241.0,218.5500030517578,227.0,282873,2023-01-09
2023-01-16,253.4499969482422,253.4499969482422,269.0,219.39999389648438,226.9499969482422,375877,2023-01-16
2023-01-23,265.5,265.5,272.5,248.0500030517578,257.0,661426,2023-01-23
2023-01-30,276.79998779296875,276.79998779296875,282.70001220703125,226.89999389648438,266.0,1600038,2023-01-30
2023-02-06,276.6000061035156,276.6000061035156,291.8999938964844,262.29998779296875,282.0,1231313,2023-02-06
2023-02-13,291.25,291.25,298.3999938964844,255.85000610351562,282.3999938964844,1155039,2023-02-13
2023-02-20,295.75,295.75,304.6499938964844,282.04998779296875,292.6499938964844,578842,2023-02-20
2023-02-27,294.3999938964844,294.3999938964844,306.8500061035156,281.1000061035156,295.75,656299,2023-02-27
2023-03-06,291.70001220703125,291.70001220703125,300.0,281.20001220703125,298.8500061035156,204120,2023-03-06
2023-03-13,272.6499938964844,272.6499938964844,296.6000061035156,268.79998779296875,291.6499938964844,470541,2023-03-13
2023-03-20,272.3999938964844,272.3999938964844,279.3500061035156,271.0,274.6000061035156,289257,2023-03-20
2023-03-27,279.75,279.75,289.8500061035156,256.8500061035156,273.1499938964844,473563,2023-03-27
2023-04-03,297.25,297.25,309.0,278.75,284.0,456456,2023-04-03
2023-04-10,299.0,299.0,308.3999938964844,283.0,302.8999938964844,445425,2023-04-10
2023-04-17,286.5,286.5,300.25,286.0,300.0,198154,2023-04-17
2023-04-24,286.20001220703125,286.20001220703125,300.0,274.29998779296875,287.0,366297,2023-04-24
2023-05-01,268.70001220703125,268.70001220703125,297.20001220703125,267.0,286.20001220703125,163150,2023-05-01
2023-05-08,255.25,255.25,273.79998779296875,255.0,273.79998779296875,159044,2023-05-08
2023-05-15,251.89999389648438,251.89999389648438,259.95001220703125,249.0,259.8999938964844,171132,2023-05-15
2023-05-22,252.10000610351562,252.10000610351562,259.20001220703125,250.0500030517578,253.0,217550,2023-05-22
2023-05-29,237.39999389648438,237.39999389648438,255.9499969482422,231.0500030517578,255.9499969482422,207979,2023-05-29
2023-06-05,241.9499969482422,241.9499969482422,256.3999938964844,232.0,240.5,258769,2023-06-05
