Date,Adj Close_MARINE.NS,Close_MARINE.NS,High_MARINE.NS,Low_MARINE.NS,Open_MARINE.NS,Volume_MARINE.NS,Date
2021-06-14,64.05172729492188,64.44999694824219,73.94999694824219,62.54999923706055,72.5,6813341,2021-06-14
2021-06-21,68.22577667236328,68.6500015258789,70.5,61.79999923706055,63.400001525878906,6359742,2021-06-21
2021-06-28,58.58572006225586,58.95000076293945,71.69999694824219,58.5,71.69999694824219,10164461,2021-06-28
2021-07-05,58.13850021362305,58.5,61.849998474121094,56.349998474121094,59.400001525878906,8212560,2021-07-05
2021-07-12,56.449005126953125,56.79999923706055,62.5,56.0,59.29999923706055,10953648,2021-07-12
2021-07-19,54.113529205322266,54.45000076293945,57.75,54.04999923706055,56.650001525878906,5665568,2021-07-19
2021-07-26,51.33082962036133,51.650001525878906,55.79999923706055,46.349998474121094,54.5,12803207,2021-07-26
2021-08-02,46.858642578125,47.150001525878906,55.099998474121094,44.95000076293945,52.25,9654179,2021-08-02
2021-08-09,43.08211898803711,43.349998474121094,48.75,41.0,47.54999923706055,7769850,2021-08-09
2021-08-16,38.063323974609375,38.29999923706055,43.400001525878906,37.400001525878906,43.349998474121094,3173596,2021-08-16
2021-08-23,42.684593200683594,42.95000076293945,43.95000076293945,36.0,38.5,7980470,2021-08-23
2021-08-30,39.703128814697266,39.95000076293945,44.5,38.0,43.75,7343477,2021-08-30
2021-09-06,37.56641387939453,37.79999923706055,40.75,37.70000076293945,39.95000076293945,3189652,2021-09-06
2021-09-13,37.31795883178711,37.54999923706055,40.400001525878906,36.849998474121094,38.45000076293945,6904553,2021-09-13
2021-09-20,35.97630310058594,36.20000076293945,40.400001525878906,36.0,38.54999923706055,7761892,2021-09-20
2021-09-27,36.86834716796875,36.900001525878906,38.0,35.0,36.5,4602750,2021-09-27
2021-10-04,37.01821517944336,37.04999923706055,38.400001525878906,35.79999923706055,37.5,8969403,2021-10-04
2021-10-11,34.720191955566406,34.75,37.75,34.70000076293945,37.75,5536575,2021-10-11
2021-10-18,33.12156295776367,33.150001525878906,36.0,32.0,34.79999923706055,6203808,2021-10-18
2021-10-25,29.42473793029785,29.450000762939453,35.0,29.149999618530273,33.599998474121094,3254363,2021-10-25
2021-11-01,34.37049102783203,34.400001525878906,34.849998474121094,29.200000762939453,29.5,4344149,2021-11-01
2021-11-08,30.523792266845703,30.549999237060547,35.099998474121094,30.100000381469727,35.0,4359323,2021-11-08
2021-11-15,30.124135971069336,30.149999618530273,31.350000381469727,29.100000381469727,31.350000381469727,1616494,2021-11-15
2021-11-22,29.62456512451172,29.649999618530273,33.349998474121094,29.0,30.149999618530273,11727329,2021-11-22
2021-11-29,27.376495361328125,27.399999618530273,30.299999237060547,27.100000381469727,29.5,9345006,2021-11-29
2021-12-06,25.82782554626465,25.850000381469727,28.0,24.649999618530273,27.950000762939453,9524638,2021-12-06
2021-12-13,36.318817138671875,36.349998474121094,44.29999923706055,26.149999618530273,26.399999618530273,35486574,2021-12-13
2021-12-20,42.6134147644043,42.650001525878906,45.70000076293945,32.75,36.0,15302285,2021-12-20
2021-12-27,39.7658576965332,39.79999923706055,43.349998474121094,38.20000076293945,42.70000076293945,6240768,2021-12-27
2022-01-03,38.96654510498047,39.0,40.599998474121094,36.099998474121094,39.900001525878906,2634787,2022-01-03
2022-01-10,38.66680145263672,38.70000076293945,42.79999923706055,36.75,40.95000076293945,2372336,2022-01-10
2022-01-17,36.66851806640625,36.70000076293945,39.0,36.5,38.79999923706055,1462564,2022-01-17
2022-01-24,36.418731689453125,36.45000076293945,37.70000076293945,33.25,37.70000076293945,1047577,2022-01-24
2022-01-31,38.367061614990234,38.400001525878906,38.400001525878906,35.0,37.0,1147605,2022-01-31
