Date,Adj Close_SKIPPER.NS,Close_SKIPPER.NS,High_SKIPPER.NS,Low_SKIPPER.NS,Open_SKIPPER.NS,Volume_SKIPPER.NS,Date
2021-12-20,70.1651611328125,70.34127807617188,72.34405517578125,63.89332962036133,68.9735336303711,375103,2021-12-20
2021-12-27,76.7918701171875,76.98462677001953,78.84085083007812,68.58274841308594,69.5108642578125,1138316,2021-12-27
2022-01-03,74.64793395996094,74.8353042602539,77.66849517822266,73.36986541748047,77.18001556396484,651095,2022-01-03
2022-01-10,77.62020874023438,77.8150405883789,78.54776000976562,71.6601791381836,75.22608947753906,1243978,2022-01-10
2022-01-17,75.13519287109375,75.32379150390625,82.45561218261719,73.36986541748047,78.64546203613281,1318637,2022-01-17
2022-01-24,71.28585052490234,71.46479034423828,77.13116455078125,69.65740966796875,75.32379150390625,415384,2022-01-24
2022-01-31,68.55721282958984,68.72929382324219,72.93022918701172,68.19196319580078,71.51363372802734,1437041,2022-01-31
2022-02-07,73.62469482421875,73.80949401855469,80.94132232666016,69.7551040649414,70.19473266601562,2025552,2022-02-07
2022-02-14,69.33682250976562,69.5108642578125,73.27216339111328,67.55693817138672,72.05096435546875,861388,2022-02-14
2022-02-21,60.12763977050781,60.278568267822266,70.14588928222656,55.29606246948242,69.85279846191406,743181,2022-02-21
2022-02-28,59.25057601928711,59.3993034362793,62.03710174560547,58.66658020019531,60.52281188964844,334030,2022-02-28
2022-03-07,61.686866760253906,61.84170913696289,64.18641662597656,56.9568977355957,58.617733001708984,642616,2022-03-07
2022-03-14,60.225093841552734,60.37626647949219,62.81867218017578,59.15506362915039,62.81867218017578,637634,2022-03-14
2022-03-21,58.4222412109375,58.568885803222656,63.40484619140625,58.12925338745117,60.37626647949219,965408,2022-03-21
2022-03-28,57.15536880493164,57.29883575439453,58.617733001708984,52.755958557128906,58.617733001708984,1071226,2022-03-28
2022-04-04,62.807559967041016,62.965213775634766,65.35877227783203,57.640769958496094,57.98270797729492,842359,2022-04-04
2022-04-11,62.32030487060547,62.47673416137695,64.1375732421875,59.98548126220703,63.01406478881836,185717,2022-04-11
2022-04-18,63.782081604003906,63.942176818847656,67.21500396728516,61.20668411254883,62.52558135986328,1327670,2022-04-18
2022-04-25,60.371273040771484,60.52281188964844,64.82144165039062,60.22972106933594,64.82144165039062,359264,2022-04-25
2022-05-02,56.57066345214844,56.7126579284668,61.06013870239258,55.83338928222656,61.01129150390625,219046,2022-05-02
2022-05-09,57.35027313232422,57.49422836303711,63.111759185791016,52.902503967285156,56.66381072998047,1715899,2022-05-09
2022-05-16,57.69135284423828,57.83616256713867,60.571659088134766,56.66381072998047,57.15229034423828,495661,2022-05-16
2022-05-23,58.4222412109375,58.568885803222656,59.88778305053711,53.7329216003418,57.83616256713867,294185,2022-05-23
2022-05-30,58.47096252441406,58.617733001708984,63.844482421875,57.00574493408203,59.10621643066406,555183,2022-05-30
2022-06-06,58.03243637084961,58.1781005859375,61.402076721191406,57.640769958496094,58.617733001708984,267698,2022-06-06
2022-06-13,52.62386703491211,52.755958557128906,58.568885803222656,52.02323913574219,57.640769958496094,241401,2022-06-13
2022-06-20,51.795528411865234,51.925540924072266,53.244441986083984,48.94580841064453,52.218631744384766,225879,2022-06-20
2022-06-27,52.3802375793457,52.51171875,54.2702522277832,51.5836067199707,51.974388122558594,154346,2022-06-27
2022-07-04,53.89073944091797,54.0260124206543,56.12648010253906,50.264705657958984,52.51171875,652083,2022-07-04
2022-07-11,53.50093460083008,53.63522720336914,56.66381072998047,53.097896575927734,54.41679763793945,355079,2022-07-11
2022-07-18,55.937225341796875,56.077632904052734,57.15229034423828,54.12370681762695,54.12370681762695,350499,2022-07-18
2022-07-25,51.649349212646484,51.77899932861328,57.15229034423828,49.238895416259766,55.00297164916992,614419,2022-07-25
2022-08-01,56.57066345214844,56.7126579284668,58.422340393066406,51.82784652709961,51.82784652709961,611284,2022-08-01
2022-08-08,54.1830940246582,54.31909942626953,55.735694885253906,53.244441986083984,54.17255401611328,454049,2022-08-08
2022-08-15,57.45454788208008,57.49422836303711,62.3301887512207,53.7329216003418,54.31909942626953,1602456,2022-08-15
2022-08-22,57.45454788208008,57.49422836303711,61.744014739990234,54.66103744506836,57.54307556152344,815843,2022-08-22
2022-08-29,61.45732498168945,61.49977111816406,64.0887222290039,55.68684768676758,55.735694885253906,1051057,2022-08-29
2022-09-05,67.11979675292969,67.16615295410156,73.27216339111328,60.473960876464844,62.3301887512207,4091330,2022-09-05
2022-09-12,68.1448974609375,68.19196319580078,73.17446899414062,66.18919372558594,68.09426879882812,1669579,2022-09-12
2022-09-19,70.09747314453125,70.14588928222656,73.02792358398438,67.89887237548828,69.31546783447266,1055056,2022-09-19
2022-09-26,71.07376098632812,71.12284851074219,75.56803131103516,67.41039276123047,69.99934387207031,1918159,2022-09-26
2022-10-03,72.050048828125,72.09981536865234,74.44451904296875,69.90164947509766,71.41593933105469,519520,2022-10-03
2022-10-10,69.70696258544922,69.7551040649414,72.09981536865234,67.31269836425781,72.09981536865234,508248,2022-10-10
2022-10-17,67.07097625732422,67.11730194091797,69.95049285888672,66.67767333984375,69.55970764160156,313050,2022-10-17
2022-10-24,65.70417785644531,65.74955749511719,68.38735961914062,65.55416870117188,68.09426879882812,133843,2022-10-24
2022-10-31,67.41268157958984,67.45924377441406,69.12007904052734,65.45646667480469,65.45646667480469,281298,2022-10-31
2022-11-07,67.99845886230469,68.04541778564453,70.58551788330078,66.04264831542969,68.38735961914062,389292,2022-11-07
2022-11-14,69.21881866455078,69.2666244506836,75.1283950805664,67.21500396728516,68.04541778564453,841354,2022-11-14
2022-11-21,88.54931640625,88.6104736328125,92.27407836914062,70.82975769042969,71.12284851074219,6813552,2022-11-21
2022-11-28,106.07368469238281,106.1469497680664,106.1469497680664,86.94963836669922,89.34319305419922,4538268,2022-11-28
2022-12-05,126.03877258300781,126.12582397460938,129.93597412109375,108.68704986572266,110.396728515625,9219722,2022-12-05
2022-12-12,116.7640380859375,116.84468078613281,128.7636260986328,113.32762145996094,126.95624542236328,2375727,2022-12-12
2022-12-19,112.56600189208984,112.64374542236328,135.79774475097656,111.42253875732422,121.53410339355469,4676874,2022-12-19
2022-12-26,123.40280151367188,123.48802947998047,145.4696807861328,111.47138977050781,113.32762145996094,7032831,2022-12-26
2023-01-02,115.49486541748047,115.57463073730469,126.90739440917969,113.57186126708984,126.02812957763672,2150908,2023-01-02
2023-01-09,117.5450668334961,117.62625122070312,124.56268310546875,115.28153991699219,117.23546600341797,1318575,2023-01-09
2023-01-16,114.81146240234375,114.89075469970703,119.67787170410156,113.6695556640625,118.40782165527344,739337,2023-01-16
2023-01-23,100.8017349243164,100.87135314941406,115.62348175048828,98.72203063964844,115.28153991699219,774323,2023-01-23
2023-01-30,105.92724609375,106.00040435791016,113.1322250366211,95.10726928710938,100.87135314941406,1143179,2023-01-30
2023-02-06,98.99560546875,99.06397247314453,107.9543228149414,97.15889739990234,107.9543228149414,1067830,2023-02-06
2023-02-13,95.96910095214844,96.03538513183594,102.0925521850586,93.9837646484375,99.06397247314453,792645,2023-02-13
2023-02-20,103.19364166259766,103.26490783691406,105.16998291015625,87.92659759521484,97.0123519897461,2318633,2023-02-20
2023-02-27,103.43770599365234,103.50914764404297,104.73035430908203,95.25381469726562,101.50637817382812,1803548,2023-02-27
2023-03-06,103.58415222167969,103.65569305419922,110.88521575927734,102.82527160644531,104.29071807861328,1094211,2023-03-06
2023-03-13,95.96910095214844,96.03538513183594,105.12113952636719,94.37454986572266,104.04647827148438,592332,2023-03-13
2023-03-20,92.74735260009766,92.81140899658203,98.62433624267578,92.32292938232422,95.83999633789062,507106,2023-03-20
2023-03-27,93.91889953613281,93.9837646484375,95.25381469726562,85.23995208740234,93.7395248413086,738293,2023-03-27
2023-04-03,102.85193634033203,102.9229736328125,107.27045440673828,93.78837585449219,95.74229431152344,677174,2023-04-03
2023-04-10,99.38611602783203,99.45475769042969,105.75616455078125,97.94046020507812,102.9229736328125,412931,2023-04-10
2023-04-17,99.38611602783203,99.45475769042969,102.53218841552734,97.98931121826172,99.650146484375,514085,2023-04-17
2023-04-24,115.34841918945312,115.42808532714844,120.80137634277344,97.94046020507812,99.650146484375,2672547,2023-04-24
2023-05-01,115.83656311035156,115.91656494140625,119.97096252441406,111.95986938476562,115.42808532714844,1396734,2023-05-01
2023-05-08,123.10990905761719,123.19493865966797,125.10001373291016,115.33039093017578,115.33039093017578,2074557,2023-05-08
2023-05-15,117.05693054199219,117.13777160644531,133.30650329589844,115.28153991699219,124.07420349121094,3226843,2023-05-15
2023-05-22,116.51996612548828,116.6004409790039,121.28986358642578,112.8391342163086,115.52578735351562,1073772,2023-05-22
2023-05-29,111.15038299560547,111.2271499633789,122.0714340209961,108.5405044555664,117.82164764404297,1125170,2023-05-29
2023-06-05,133.60501098632812,133.69728088378906,137.6539764404297,110.78751373291016,112.69259643554688,3776007,2023-06-05
