Date,Adj Close_ANANDRATHI.NS,Close_ANANDRATHI.NS,High_ANANDRATHI.NS,Low_ANANDRATHI.NS,Open_ANANDRATHI.NS,Volume_ANANDRATHI.NS,Date
2021-12-13,278.29248046875,284.375,307.5,282.4750061035156,300.0,33195686,2021-12-13
2021-12-20,279.58917236328125,285.70001220703125,294.4750061035156,271.29998779296875,277.5,4036890,2021-12-20
2021-12-27,287.956298828125,294.25,303.0,281.54998779296875,281.54998779296875,3698672,2021-12-27
2022-01-03,303.10028076171875,309.7250061035156,327.0,296.0249938964844,297.5,7324180,2022-01-03
2022-01-10,304.8128967285156,311.4750061035156,322.20001220703125,298.5249938964844,305.04998779296875,4490932,2022-01-10
2022-01-17,295.10015869140625,301.54998779296875,319.0249938964844,297.9750061035156,314.25,2182808,2022-01-17
2022-01-24,293.1343688964844,297.1000061035156,305.4750061035156,285.5,302.45001220703125,1232966,2022-01-24
2022-01-31,289.8291015625,293.75,302.0,287.0,299.82501220703125,1031570,2022-01-31
2022-02-07,291.95037841796875,295.8999938964844,306.8999938964844,275.0,293.5,1308572,2022-02-07
2022-02-14,279.32122802734375,283.1000061035156,296.20001220703125,277.25,287.70001220703125,1669730,2022-02-14
2022-02-21,276.1639404296875,279.8999938964844,286.20001220703125,271.0249938964844,279.8999938964844,1063522,2022-02-21
2022-02-28,274.73333740234375,278.45001220703125,283.45001220703125,276.04998779296875,279.8999938964844,270970,2022-02-28
2022-03-07,282.60186767578125,286.42498779296875,300.8999938964844,276.0,277.5,1166304,2022-03-07
2022-03-14,281.2205810546875,285.0249938964844,290.25,280.375,284.5,326690,2022-03-14
2022-03-21,293.03570556640625,297.0,298.8999938964844,283.07501220703125,286.0,542914,2022-03-21
2022-03-28,300.13958740234375,304.20001220703125,311.5,294.2749938964844,297.2250061035156,1020030,2022-03-28
2022-04-04,301.3729248046875,305.45001220703125,318.0,303.0,305.0,709050,2022-04-04
2022-04-11,328.62921142578125,333.07501220703125,360.67498779296875,303.125,305.5,7222534,2022-04-11
2022-04-18,322.1912536621094,326.54998779296875,354.20001220703125,322.0,331.0,3729458,2022-04-18
2022-04-25,319.9712829589844,324.29998779296875,337.5,312.25,326.42498779296875,1078134,2022-04-25
2022-05-02,310.5734558105469,314.7749938964844,331.0,306.1000061035156,325.0,866414,2022-05-02
2022-05-09,302.1869201660156,306.2749938964844,317.9750061035156,304.0,310.54998779296875,578212,2022-05-09
2022-05-16,323.991943359375,328.375,334.7749938964844,303.625,311.375,612144,2022-05-16
2022-05-23,318.66400146484375,322.9750061035156,330.5,309.625,328.1499938964844,398466,2022-05-23
2022-05-30,330.23248291015625,334.70001220703125,344.82501220703125,323.79998779296875,324.5,1020904,2022-05-30
2022-06-06,323.3752746582031,327.75,337.2250061035156,325.2749938964844,334.70001220703125,186130,2022-06-06
