Date,Adj Close_CROWN.NS,Close_CROWN.NS,High_CROWN.NS,Low_CROWN.NS,Open_CROWN.NS,Volume_CROWN.NS,Date
2020-07-13,7.9168596267700195,8.0,8.0,8.0,8.0,0,2020-07-13
2020-07-20,7.9168596267700195,8.0,8.0,8.0,8.0,0,2020-07-20
2020-07-27,7.9168596267700195,8.0,8.0,8.0,8.0,0,2020-07-27
2020-08-03,7.9168596267700195,8.0,8.0,8.0,8.0,0,2020-08-03
2020-08-10,7.9168596267700195,8.0,8.0,8.0,8.0,0,2020-08-10
2020-08-17,7.9168596267700195,8.0,8.0,8.0,8.0,0,2020-08-17
2020-08-24,7.9168596267700195,8.0,8.0,8.0,8.0,0,2020-08-24
2020-08-31,7.9168596267700195,8.0,8.0,8.0,8.0,0,2020-08-31
2020-09-07,7.9168596267700195,8.0,8.0,8.0,8.0,0,2020-09-07
2020-09-14,7.9168596267700195,8.0,8.0,8.0,8.0,0,2020-09-14
2020-09-21,7.9168596267700195,8.0,8.0,8.0,8.0,0,2020-09-21
2020-09-28,7.9168596267700195,8.0,8.0,8.0,8.0,0,2020-09-28
2020-10-05,7.9168596267700195,8.0,8.0,8.0,8.0,30000,2020-10-05
2020-10-12,7.9168596267700195,8.0,8.0,8.0,8.0,35000,2020-10-12
2020-10-19,7.9168596267700195,8.0,8.0,8.0,8.0,0,2020-10-19
2020-10-26,7.9168596267700195,8.0,8.0,8.0,8.0,0,2020-10-26
2020-11-02,7.9168596267700195,8.0,8.0,8.0,8.0,0,2020-11-02
2020-11-09,7.9168596267700195,8.0,8.0,8.0,8.0,0,2020-11-09
2020-11-16,7.9168596267700195,8.0,8.0,8.0,8.0,0,2020-11-16
2020-11-23,7.9168596267700195,8.0,8.0,8.0,8.0,0,2020-11-23
2020-11-30,7.9168596267700195,8.0,8.0,8.0,8.0,0,2020-11-30
2020-12-07,7.9168596267700195,8.0,8.0,8.0,8.0,0,2020-12-07
2020-12-14,7.9168596267700195,8.0,8.0,8.0,8.0,0,2020-12-14
2020-12-21,7.9168596267700195,8.0,8.0,8.0,8.0,0,2020-12-21
2020-12-28,7.9168596267700195,8.0,8.0,8.0,8.0,0,2020-12-28
2021-01-04,7.9168596267700195,8.0,8.0,8.0,8.0,0,2021-01-04
2021-01-11,7.9168596267700195,8.0,8.0,8.0,8.0,0,2021-01-11
2021-01-18,7.9168596267700195,8.0,8.0,8.0,8.0,0,2021-01-18
2021-01-25,7.9168596267700195,8.0,8.0,8.0,8.0,0,2021-01-25
2021-02-01,7.9168596267700195,8.0,8.0,8.0,8.0,0,2021-02-01
2021-02-08,7.9168596267700195,8.0,8.0,8.0,8.0,0,2021-02-08
2021-02-15,7.9168596267700195,8.0,8.0,8.0,8.0,0,2021-02-15
2021-02-22,7.9168596267700195,8.0,8.0,8.0,8.0,0,2021-02-22
2021-03-01,7.9168596267700195,8.0,8.0,8.0,8.0,0,2021-03-01
2021-03-08,7.9168596267700195,8.0,8.0,8.0,8.0,0,2021-03-08
2021-03-15,7.9168596267700195,8.0,8.0,8.0,8.0,0,2021-03-15
2021-03-22,7.897067546844482,7.980000019073486,8.0,7.980000019073486,8.0,35000,2021-03-22
2021-03-29,8.283014297485352,8.369999885559082,8.369999885559082,7.980000019073486,7.980000019073486,5000,2021-03-29
2021-04-05,10.044515609741211,10.149999618530273,10.149999618530273,9.210000038146973,9.210000038146973,15000,2021-04-05
2021-04-12,10.044515609741211,10.149999618530273,10.149999618530273,10.149999618530273,10.149999618530273,0,2021-04-12
2021-04-19,10.044515609741211,10.149999618530273,10.149999618530273,10.149999618530273,10.149999618530273,0,2021-04-19
2021-04-26,10.093996047973633,10.199999809265137,10.199999809265137,10.199999809265137,10.199999809265137,10000,2021-04-26
2021-05-03,10.578903198242188,10.6899995803833,10.6899995803833,9.710000038146973,9.710000038146973,10000,2021-05-03
2021-05-10,10.628384590148926,10.739999771118164,11.220000267028809,10.739999771118164,11.220000267028809,15000,2021-05-10
2021-05-17,10.628384590148926,10.739999771118164,10.739999771118164,10.739999771118164,10.739999771118164,5000,2021-05-17
2021-05-24,10.559111595153809,10.670000076293945,11.229999542236328,10.670000076293945,11.229999542236328,25000,2021-05-24
2021-05-31,12.81541633605957,12.949999809265137,12.949999809265137,10.670000076293945,10.670000076293945,35000,2021-05-31
2021-06-07,16.318628311157227,16.489999771118164,16.489999771118164,13.59000015258789,13.59000015258789,225000,2021-06-07
2021-06-14,17.81293487548828,18.0,20.0,17.309999465942383,17.309999465942383,530000,2021-06-14
2021-06-21,16.744157791137695,16.920000076293945,18.0,16.920000076293945,18.0,50000,2021-06-21
2021-06-28,16.942081451416016,17.1200008392334,17.1200008392334,16.229999542236328,16.920000076293945,70000,2021-06-28
2021-07-05,17.803037643432617,17.989999771118164,18.0,17.1200008392334,17.1200008392334,50000,2021-07-05
2021-07-12,16.625404357910156,16.799999237060547,18.25,16.799999237060547,17.799999237060547,85000,2021-07-12
2021-07-19,16.625404357910156,16.799999237060547,16.799999237060547,16.799999237060547,16.799999237060547,0,2021-07-19
2021-07-26,16.625404357910156,16.799999237060547,16.799999237060547,16.799999237060547,16.799999237060547,0,2021-07-26
2021-08-02,16.625404357910156,16.799999237060547,16.799999237060547,16.799999237060547,16.799999237060547,0,2021-08-02
2021-08-09,16.625404357910156,16.799999237060547,16.799999237060547,16.799999237060547,16.799999237060547,0,2021-08-09
2021-08-16,16.625404357910156,16.799999237060547,16.799999237060547,16.799999237060547,16.799999237060547,0,2021-08-16
2021-08-23,16.961870193481445,17.139999389648438,17.479999542236328,15.90999984741211,16.799999237060547,145000,2021-08-23
2021-08-30,16.823326110839844,17.0,17.760000228881836,16.799999237060547,17.149999618530273,110000,2021-08-30
2021-09-06,17.39729881286621,17.579999923706055,17.579999923706055,16.75,17.200000762939453,30000,2021-09-06
2021-09-13,22.167205810546875,22.399999618530273,22.399999618530273,18.450000762939453,18.450000762939453,210000,2021-09-13
2021-09-20,23.552658081054688,23.799999237060547,24.530000686645508,22.350000381469727,23.25,260000,2021-09-20
2021-09-27,25.729793548583984,26.0,26.0,23.0,23.799999237060547,335000,2021-09-27
2021-10-04,30.91533660888672,31.239999771118164,32.400001525878906,27.0,27.299999237060547,480000,2021-10-04
2021-10-11,29.23300552368164,29.540000915527344,32.36000061035156,28.219999313354492,32.36000061035156,525000,2021-10-11
2021-10-18,32.06328201293945,32.400001525878906,32.54999923706055,29.540000915527344,29.540000915527344,20000,2021-10-18
2021-10-25,36.56599807739258,36.95000076293945,37.0,32.400001525878906,32.400001525878906,50000,2021-10-25
2021-11-01,34.68574142456055,35.04999923706055,38.75,35.04999923706055,38.75,40000,2021-11-01
2021-11-08,34.68574142456055,35.04999923706055,35.04999923706055,35.04999923706055,35.04999923706055,0,2021-11-08
2021-11-15,34.68574142456055,35.04999923706055,35.04999923706055,35.04999923706055,35.04999923706055,0,2021-11-15
2021-11-22,29.341859817504883,29.649999618530273,32.79999923706055,29.649999618530273,32.79999923706055,35000,2021-11-22
2021-11-29,28.698617935180664,29.0,30.299999237060547,25.049999237060547,28.200000762939453,2070000,2021-11-29
2021-12-06,30.479907989501953,30.799999237060547,31.899999618530273,29.0,29.0,190000,2021-12-06
2021-12-13,28.253292083740234,28.549999237060547,30.049999237060547,28.549999237060547,30.049999237060547,20000,2021-12-13
2021-12-20,29.391342163085938,29.700000762939453,29.700000762939453,28.549999237060547,28.549999237060547,5000,2021-12-20
2021-12-27,29.292383193969727,29.600000381469727,29.700000762939453,29.600000381469727,29.700000762939453,5000,2021-12-27
2022-01-03,29.292383193969727,29.600000381469727,29.600000381469727,29.600000381469727,29.600000381469727,0,2022-01-03
2022-01-10,29.292383193969727,29.600000381469727,29.600000381469727,29.600000381469727,29.600000381469727,0,2022-01-10
2022-01-17,28.005889892578125,28.299999237060547,29.950000762939453,28.299999237060547,29.600000381469727,40000,2022-01-17
2022-01-24,29.044979095458984,29.350000381469727,29.600000381469727,26.899999618530273,27.049999237060547,55000,2022-01-24
2022-01-31,31.568479537963867,31.899999618530273,31.899999618530273,30.25,30.450000762939453,45000,2022-01-31
2022-02-07,32.95392608642578,33.29999923706055,38.650001525878906,33.29999923706055,33.45000076293945,298648,2022-02-07
2022-02-14,28.253292083740234,28.549999237060547,31.649999618530273,25.850000381469727,31.649999618530273,61443,2022-02-14
2022-02-21,22.56304931640625,22.799999237060547,29.600000381469727,22.700000762939453,29.399999618530273,479716,2022-02-21
2022-02-28,24.98758888244629,25.25,25.25,21.700000762939453,21.700000762939453,1620028,2022-02-28
2022-03-07,26.224597930908203,26.5,30.549999237060547,24.200000762939453,26.5,215064,2022-03-07
2022-03-14,27.412126541137695,27.700000762939453,29.149999618530273,25.700000762939453,27.799999237060547,318514,2022-03-14
