Date,Adj Close_NIRAJ.NS,Close_NIRAJ.NS,High_NIRAJ.NS,Low_NIRAJ.NS,Open_NIRAJ.NS,Volume_NIRAJ.NS,Date
2020-09-28,38.29999923706055,38.29999923706055,38.29999923706055,37.349998474121094,38.29999923706055,3221,2020-09-28
2020-10-05,48.79999923706055,48.79999923706055,48.79999923706055,38.79999923706055,40.20000076293945,94411,2020-10-05
2020-10-12,48.0,48.0,54.45000076293945,46.400001525878906,51.20000076293945,398418,2020-10-12
2020-10-19,47.400001525878906,47.400001525878906,52.20000076293945,45.150001525878906,46.70000076293945,424005,2020-10-19
2020-10-26,46.0,46.0,48.25,44.04999923706055,46.0,27645,2020-10-26
2020-11-02,43.75,43.75,45.95000076293945,42.400001525878906,44.0,66026,2020-11-02
2020-11-09,46.150001525878906,46.150001525878906,46.75,43.599998474121094,43.75,38125,2020-11-09
2020-11-16,47.0,47.0,48.95000076293945,44.650001525878906,44.95000076293945,20379,2020-11-16
2020-11-23,49.54999923706055,49.54999923706055,50.599998474121094,45.04999923706055,46.95000076293945,22594,2020-11-23
2020-11-30,50.70000076293945,50.70000076293945,51.04999923706055,46.150001525878906,49.54999923706055,32582,2020-11-30
2020-12-07,49.0,49.0,51.95000076293945,45.79999923706055,48.75,247109,2020-12-07
2020-12-14,50.349998474121094,50.349998474121094,50.70000076293945,46.599998474121094,46.70000076293945,185457,2020-12-14
2020-12-21,47.95000076293945,47.95000076293945,50.5,45.599998474121094,48.0,9259,2020-12-21
2020-12-28,49.5,49.5,50.20000076293945,45.099998474121094,49.95000076293945,127030,2020-12-28
2021-01-04,46.650001525878906,46.650001525878906,49.5,45.900001525878906,47.150001525878906,171651,2021-01-04
2021-01-11,43.0,43.0,46.650001525878906,42.0,46.349998474121094,117465,2021-01-11
2021-01-18,39.849998474121094,39.849998474121094,42.70000076293945,37.75,42.0,15042,2021-01-18
2021-01-25,38.70000076293945,38.70000076293945,41.79999923706055,37.20000076293945,40.0,20984,2021-01-25
2021-02-01,40.400001525878906,40.400001525878906,42.900001525878906,38.099998474121094,39.45000076293945,129904,2021-02-01
2021-02-08,41.5,41.5,43.0,38.75,41.95000076293945,24703,2021-02-08
2021-02-15,43.0,43.0,44.5,38.849998474121094,41.0,49618,2021-02-15
2021-02-22,41.79999923706055,41.79999923706055,44.5,37.20000076293945,44.5,24202,2021-02-22
2021-03-01,42.25,42.25,48.0,39.099998474121094,43.54999923706055,65034,2021-03-01
2021-03-08,42.29999923706055,42.29999923706055,45.5,40.20000076293945,43.75,23222,2021-03-08
2021-03-15,42.650001525878906,42.650001525878906,44.5,40.400001525878906,44.25,16129,2021-03-15
2021-03-22,41.5,41.5,45.0,41.0,41.45000076293945,35328,2021-03-22
2021-03-29,40.20000076293945,40.20000076293945,44.79999923706055,39.849998474121094,41.5,26729,2021-03-29
2021-04-05,43.150001525878906,43.150001525878906,44.5,39.0,43.5,58512,2021-04-05
2021-04-12,41.04999923706055,41.04999923706055,44.5,40.5,43.099998474121094,17303,2021-04-12
2021-04-19,40.5,40.5,42.849998474121094,39.04999923706055,41.900001525878906,23179,2021-04-19
2021-04-26,39.75,39.75,42.400001525878906,37.400001525878906,42.29999923706055,25251,2021-04-26
2021-05-03,40.599998474121094,40.599998474121094,48.0,34.79999923706055,39.150001525878906,42062,2021-05-03
2021-05-10,40.5,40.5,44.95000076293945,39.5,44.95000076293945,18207,2021-05-10
2021-05-17,39.5,39.5,41.45000076293945,38.5,41.349998474121094,41519,2021-05-17
2021-05-24,42.150001525878906,42.150001525878906,49.79999923706055,37.0,40.20000076293945,565088,2021-05-24
2021-05-31,42.25,42.25,45.45000076293945,40.650001525878906,44.70000076293945,121584,2021-05-31
2021-06-07,42.099998474121094,42.099998474121094,44.95000076293945,41.54999923706055,43.45000076293945,127238,2021-06-07
2021-06-14,42.650001525878906,42.650001525878906,47.5,41.79999923706055,45.849998474121094,181453,2021-06-14
2021-06-21,44.599998474121094,44.599998474121094,47.79999923706055,41.5,41.79999923706055,146734,2021-06-21
2021-06-28,45.25,45.25,48.0,43.0,44.599998474121094,131701,2021-06-28
2021-07-05,49.54999923706055,49.54999923706055,51.0,44.75,45.25,488000,2021-07-05
2021-07-12,49.70000076293945,49.70000076293945,52.75,47.099998474121094,50.95000076293945,297686,2021-07-12
2021-07-19,48.95000076293945,48.95000076293945,51.900001525878906,46.0,50.0,116471,2021-07-19
2021-07-26,47.400001525878906,47.400001525878906,50.5,46.599998474121094,48.95000076293945,120846,2021-07-26
2021-08-02,48.150001525878906,48.150001525878906,51.599998474121094,46.349998474121094,47.849998474121094,322081,2021-08-02
2021-08-09,46.95000076293945,46.95000076293945,55.900001525878906,44.75,49.400001525878906,936054,2021-08-09
2021-08-16,44.45000076293945,44.45000076293945,48.349998474121094,44.0,47.0,63604,2021-08-16
2021-08-23,43.900001525878906,43.900001525878906,46.900001525878906,41.79999923706055,44.95000076293945,82677,2021-08-23
2021-08-30,44.79999923706055,44.79999923706055,48.0,42.25,43.04999923706055,107670,2021-08-30
2021-09-06,43.849998474121094,43.849998474121094,45.099998474121094,43.20000076293945,44.25,25406,2021-09-06
