Date,Adj Close_VIVIDHA.NS,Close_VIVIDHA.NS,High_VIVIDHA.NS,Low_VIVIDHA.NS,Open_VIVIDHA.NS,Volume_VIVIDHA.NS,Date
2020-07-13,0.5,0.5,0.5,0.30000001192092896,0.3499999940395355,2400443,2020-07-13
2020-07-20,0.44999998807907104,0.44999998807907104,0.550000011920929,0.4000000059604645,0.550000011920929,2519060,2020-07-20
2020-07-27,0.4000000059604645,0.4000000059604645,0.5,0.3499999940395355,0.44999998807907104,1926728,2020-07-27
2020-08-03,0.44999998807907104,0.44999998807907104,0.44999998807907104,0.3499999940395355,0.4000000059604645,1572382,2020-08-03
2020-08-10,0.4000000059604645,0.4000000059604645,0.44999998807907104,0.3499999940395355,0.44999998807907104,1968191,2020-08-10
2020-08-17,0.4000000059604645,0.4000000059604645,0.4000000059604645,0.3499999940395355,0.4000000059604645,1529044,2020-08-17
2020-08-24,0.4000000059604645,0.4000000059604645,0.44999998807907104,0.3499999940395355,0.4000000059604645,1850088,2020-08-24
2020-08-31,0.4000000059604645,0.4000000059604645,0.44999998807907104,0.3499999940395355,0.44999998807907104,2118385,2020-08-31
2020-09-07,0.4000000059604645,0.4000000059604645,0.4000000059604645,0.30000001192092896,0.4000000059604645,1075125,2020-09-07
2020-09-14,0.3499999940395355,0.3499999940395355,0.4000000059604645,0.30000001192092896,0.4000000059604645,1227515,2020-09-14
2020-09-21,0.3499999940395355,0.3499999940395355,0.4000000059604645,0.3499999940395355,0.4000000059604645,1020742,2020-09-21
2020-09-28,0.3499999940395355,0.3499999940395355,0.4000000059604645,0.30000001192092896,0.4000000059604645,989702,2020-09-28
2020-10-05,0.4000000059604645,0.4000000059604645,0.4000000059604645,0.30000001192092896,0.3499999940395355,965037,2020-10-05
2020-10-12,0.3499999940395355,0.3499999940395355,0.4000000059604645,0.30000001192092896,0.4000000059604645,1251231,2020-10-12
2020-10-19,0.3499999940395355,0.3499999940395355,0.3499999940395355,0.30000001192092896,0.3499999940395355,697246,2020-10-19
2020-10-26,0.30000001192092896,0.30000001192092896,0.3499999940395355,0.30000001192092896,0.30000001192092896,775527,2020-10-26
2020-11-02,0.30000001192092896,0.30000001192092896,0.3499999940395355,0.30000001192092896,0.30000001192092896,531329,2020-11-02
2020-11-09,0.30000001192092896,0.30000001192092896,0.3499999940395355,0.30000001192092896,0.30000001192092896,602787,2020-11-09
2020-11-16,0.4000000059604645,0.4000000059604645,0.44999998807907104,0.30000001192092896,0.30000001192092896,3223497,2020-11-16
2020-11-23,0.4000000059604645,0.4000000059604645,0.4000000059604645,0.3499999940395355,0.3499999940395355,1456008,2020-11-23
2020-11-30,0.550000011920929,0.550000011920929,0.550000011920929,0.3499999940395355,0.4000000059604645,6026896,2020-11-30
2020-12-07,0.6499999761581421,0.6499999761581421,0.6499999761581421,0.5,0.6000000238418579,9620821,2020-12-07
2020-12-14,0.800000011920929,0.800000011920929,0.800000011920929,0.6000000238418579,0.6499999761581421,10795285,2020-12-14
2020-12-21,1.0,1.0,1.0,0.800000011920929,0.8500000238418579,5792999,2020-12-21
2020-12-28,1.25,1.25,1.25,1.0,1.0,8966891,2020-12-28
2021-01-04,1.5,1.5,1.5,1.25,1.2999999523162842,12843770,2021-01-04
2021-01-11,1.75,1.75,1.75,1.5,1.5499999523162842,13449837,2021-01-11
2021-01-18,1.9500000476837158,1.9500000476837158,2.0,1.75,1.7999999523162842,10533972,2021-01-18
2021-01-25,1.75,1.75,1.9500000476837158,1.75,1.9500000476837158,613952,2021-01-25
2021-02-01,1.5,1.5,1.7000000476837158,1.5,1.7000000476837158,176294,2021-02-01
2021-02-08,1.25,1.25,1.4500000476837158,1.25,1.4500000476837158,147714,2021-02-08
2021-02-15,1.0,1.0,1.2000000476837158,1.0,1.2000000476837158,259427,2021-02-15
2021-02-22,0.8999999761581421,0.8999999761581421,0.949999988079071,0.800000011920929,0.949999988079071,5927029,2021-02-22
2021-03-01,0.699999988079071,0.699999988079071,0.8999999761581421,0.6499999761581421,0.8999999761581421,4028821,2021-03-01
2021-03-08,0.800000011920929,0.800000011920929,0.800000011920929,0.6499999761581421,0.75,3938450,2021-03-08
2021-03-15,0.949999988079071,0.949999988079071,1.0499999523162842,0.800000011920929,0.800000011920929,3369703,2021-03-15
2021-03-22,0.75,0.75,0.949999988079071,0.699999988079071,0.949999988079071,1353657,2021-03-22
2021-03-29,0.75,0.75,0.800000011920929,0.6499999761581421,0.75,1591340,2021-03-29
