Date,Adj Close_HEUBACHIND.NS,Close_HEUBACHIND.NS,High_HEUBACHIND.NS,Low_HEUBACHIND.NS,Open_HEUBACHIND.NS,Volume_HEUBACHIND.NS,Date
2020-07-13,255.36810302734375,402.3999938964844,599.0,401.1499938964844,598.8499755859375,2168388,2020-07-13
2020-07-20,322.0504455566406,381.3500061035156,413.0,378.29998779296875,395.0,1506282,2020-07-20
2020-07-27,318.1235046386719,376.70001220703125,389.3999938964844,350.0,381.54998779296875,1301198,2020-07-27
2020-08-03,354.0147705078125,419.20001220703125,425.0,374.0,376.70001220703125,800978,2020-08-03
2020-08-10,341.3894958496094,404.25,427.04998779296875,392.0,423.79998779296875,543267,2020-08-10
2020-08-17,335.4357604980469,397.20001220703125,404.0,377.29998779296875,399.0,777101,2020-08-17
2020-08-24,337.9604187011719,389.29998779296875,413.0,387.0,400.3500061035156,639256,2020-08-24
2020-08-31,319.86004638671875,368.45001220703125,390.95001220703125,363.0,390.0,238889,2020-08-31
2020-09-07,305.6662292480469,352.1000061035156,370.3999938964844,351.0,370.3999938964844,218220,2020-09-07
2020-09-14,307.8365478515625,354.6000061035156,364.25,344.1499938964844,354.0,434979,2020-09-14
2020-09-21,286.046630859375,329.5,359.95001220703125,321.0,354.6000061035156,244779,2020-09-21
2020-09-28,290.647705078125,334.79998779296875,339.45001220703125,330.0,330.0,71187,2020-09-28
2020-10-05,281.6626281738281,324.45001220703125,336.6000061035156,322.0,334.0,136569,2020-10-05
2020-10-12,268.29351806640625,309.04998779296875,327.8999938964844,306.0,324.45001220703125,124871,2020-10-12
2020-10-19,269.8127136230469,310.79998779296875,313.75,300.20001220703125,310.04998779296875,149323,2020-10-19
2020-10-26,255.66232299804688,294.5,312.8999938964844,292.3999938964844,310.0,163059,2020-10-26
2020-11-02,265.60235595703125,305.95001220703125,311.6000061035156,288.0,296.0,111931,2020-11-02
2020-11-09,291.42901611328125,335.70001220703125,337.8500061035156,300.1000061035156,308.95001220703125,279841,2020-11-09
2020-11-16,283.4856872558594,326.54998779296875,340.8500061035156,321.5,331.70001220703125,169069,2020-11-16
2020-11-23,319.6430358886719,368.20001220703125,375.95001220703125,316.1000061035156,330.0,555411,2020-11-23
2020-11-30,319.382568359375,367.8999938964844,390.54998779296875,365.0,368.20001220703125,423858,2020-11-30
2020-12-07,306.31732177734375,352.8500061035156,375.1000061035156,343.3500061035156,370.5,245985,2020-12-07
2020-12-14,319.03533935546875,367.5,382.8999938964844,354.5,354.5,280445,2020-12-14
2020-12-21,310.7447509765625,357.95001220703125,373.29998779296875,334.0,373.29998779296875,147661,2020-12-21
2020-12-28,319.4259948730469,367.95001220703125,374.75,356.70001220703125,361.0,166348,2020-12-28
2021-01-04,323.8100280761719,373.0,385.0,363.1000061035156,370.0,269648,2021-01-04
2021-01-11,316.3007507324219,364.3500061035156,382.20001220703125,362.0,375.0,217140,2021-01-11
