Date,Adj Close_REDINGTON.NS,Close_REDINGTON.NS,High_REDINGTON.NS,Low_REDINGTON.NS,Open_REDINGTON.NS,Volume_REDINGTON.NS,Date
2020-07-13,41.2143669128418,47.400001525878906,48.20000076293945,45.0,46.57500076293945,5252820,2020-07-13
2020-07-20,42.301239013671875,48.650001525878906,49.875,47.07500076293945,47.400001525878906,5753632,2020-07-20
2020-07-27,39.344932556152344,45.25,48.5,42.775001525878906,48.42499923706055,4035108,2020-07-27
2020-08-03,37.953731536865234,43.650001525878906,46.724998474121094,43.375,45.474998474121094,6530574,2020-08-03
2020-08-10,47.56172561645508,54.70000076293945,56.25,43.67499923706055,43.67499923706055,16386344,2020-08-10
2020-08-17,50.25717544555664,57.79999923706055,65.5,52.375,55.25,19424080,2020-08-17
2020-08-24,50.43107223510742,58.0,61.900001525878906,57.224998474121094,57.82500076293945,7219914,2020-08-24
2020-08-31,48.93118667602539,56.275001525878906,59.54999923706055,53.0,58.79999923706055,4178636,2020-08-31
2020-09-07,48.45296096801758,55.724998474121094,58.95000076293945,55.0,56.0,10486242,2020-09-07
2020-09-14,51.75706481933594,59.525001525878906,60.525001525878906,56.20000076293945,56.5,6713322,2020-09-14
2020-09-21,51.30057907104492,59.0,60.95000076293945,53.54999923706055,59.525001525878906,5567666,2020-09-21
2020-09-28,51.03972625732422,58.70000076293945,61.45000076293945,57.17499923706055,59.0,10885590,2020-09-28
2020-10-05,51.8222770690918,59.599998474121094,60.5,57.67499923706055,58.5,6062606,2020-10-05
2020-10-12,55.99588394165039,64.4000015258789,65.0,57.54999923706055,59.92499923706055,9212078,2020-10-12
2020-10-19,55.53939437866211,63.875,68.0,61.75,65.75,6722578,2020-10-19
2020-10-26,56.32194900512695,64.7750015258789,68.5,60.32500076293945,63.875,4004596,2020-10-26
2020-11-02,51.45273971557617,59.17499923706055,64.5,58.150001525878906,63.75,5017848,2020-11-02
2020-11-09,55.40896987915039,63.724998474121094,64.92500305175781,59.75,60.375,6198484,2020-11-09
2020-11-16,60.01732635498047,69.0250015258789,71.4000015258789,62.75,62.75,7797314,2020-11-16
2020-11-23,57.1262321472168,65.69999694824219,70.125,65.0999984741211,69.0,3416740,2020-11-23
2020-11-30,58.865238189697266,67.69999694824219,68.5,65.69999694824219,65.69999694824219,3692072,2020-11-30
2020-12-07,56.343685150146484,64.80000305175781,68.80000305175781,64.0250015258789,67.9749984741211,5204174,2020-12-07
2020-12-14,58.51743698120117,67.30000305175781,68.75,63.724998474121094,65.19999694824219,3346654,2020-12-14
2020-12-21,57.80009460449219,66.4749984741211,67.7249984741211,62.125,67.2249984741211,1929478,2020-12-21
2020-12-28,58.060951232910156,66.7750015258789,68.5,65.7750015258789,66.55000305175781,1485244,2020-12-28
2021-01-04,58.95219039916992,67.80000305175781,70.42500305175781,65.07499694824219,67.125,5683160,2021-01-04
2021-01-11,60.14775466918945,69.17500305175781,71.19999694824219,66.30000305175781,68.375,6937954,2021-01-11
2021-01-18,60.01732635498047,69.0250015258789,70.9000015258789,65.75,69.0999984741211,3381556,2021-01-18
2021-01-25,58.69133377075195,67.5,69.75,66.25,69.375,2292434,2021-01-25
2021-02-01,67.16898345947266,77.25,79.5,67.55000305175781,69.0,6829792,2021-02-01
2021-02-08,70.42961120605469,81.0,84.94999694824219,77.0999984741211,77.9000015258789,4882506,2021-02-08
2021-02-15,77.95079040527344,89.6500015258789,94.0,80.7750015258789,81.4000015258789,6827482,2021-02-15
2021-02-22,79.55937194824219,91.5,100.9000015258789,88.55000305175781,90.25,5497380,2021-02-22
2021-03-01,78.9072494506836,90.75,101.44999694824219,90.0250015258789,92.80000305175781,2853104,2021-03-01
2021-03-08,78.08123016357422,89.80000305175781,92.1500015258789,86.0,91.25,2465656,2021-03-08
2021-03-15,68.27759552001953,78.5250015258789,90.0,77.5,90.0,2623992,2021-03-15
2021-03-22,71.32084655761719,82.0250015258789,90.0250015258789,73.55000305175781,78.7750015258789,16532626,2021-03-22
2021-03-29,79.9941177368164,92.0,96.4000015258789,76.82499694824219,82.0250015258789,15120006,2021-03-29
2021-04-05,76.99434661865234,88.55000305175781,93.8499984741211,86.0,91.55000305175781,3295350,2021-04-05
2021-04-12,75.9726791381836,87.375,90.75,79.1500015258789,87.55000305175781,2683370,2021-04-12
