Date,Adj Close_AKSHAR.NS,Close_AKSHAR.NS,High_AKSHAR.NS,Low_AKSHAR.NS,Open_AKSHAR.NS,Volume_AKSHAR.NS,Date
2022-05-23,6.1652631759643555,6.175000190734863,6.616665840148926,5.991665840148926,6.304165840148926,4797492,2022-05-23
2022-05-30,5.982217788696289,5.991665840148926,6.416666030883789,5.7708330154418945,6.170833110809326,1922064,2022-05-30
2022-06-06,6.069580078125,6.079165935516357,6.5,5.75,6.25,494148,2022-06-06
2022-06-13,6.593752384185791,6.604166030883789,6.829165935516357,5.675000190734863,6.5208330154418945,2490900,2022-06-13
2022-06-20,6.606232643127441,6.616665840148926,7.099999904632568,6.087500095367432,6.383333206176758,5019648,2022-06-20
2022-06-27,7.6296162605285645,7.641665935516357,7.641665935516357,6.504166126251221,7.162499904632568,8388888,2022-06-27
2022-07-04,7.267688274383545,7.279166221618652,7.829165935516357,7.220832824707031,7.75,1648656,2022-07-04
2022-07-11,8.195389747619629,8.208333015441895,8.25,7.141665935516357,7.166666030883789,3404880,2022-07-11
2022-07-18,8.232831001281738,8.245833396911621,8.375,7.704165935516357,8.316665649414062,2199936,2022-07-18
2022-07-25,9.231254577636719,9.245833396911621,9.320833206176758,7.920833110809326,8.324999809265137,6298056,2022-07-25
2022-08-01,9.048210144042969,9.0625,9.75,8.25,9.75,3840444,2022-08-01
2022-08-08,9.414297103881836,9.429165840148926,9.75,8.670832633972168,9.495833396911621,3115404,2022-08-08
2022-08-15,10.400240898132324,10.416666030883789,10.612500190734863,8.795832633972168,9.429165840148926,3056040,2022-08-15
2022-08-22,9.605663299560547,9.620833396911621,10.737500190734863,9.345832824707031,10.625,2074536,2022-08-22
2022-08-29,9.96759033203125,9.983332633972168,10.408332824707031,9.25,9.291666030883789,2098272,2022-08-29
2022-09-05,9.996711730957031,10.012499809265137,10.583333015441895,9.666666030883789,9.824999809265137,1503468,2022-09-05
2022-09-12,9.792867660522461,9.808333396911621,10.304165840148926,9.5,10.041666030883789,2540064,2022-09-12
2022-09-19,9.439258575439453,9.454166412353516,10.125,9.333333015441895,10.008333206176758,1921632,2022-09-19
2022-09-26,6.082060813903809,6.091666221618652,9.908332824707031,6.091666221618652,9.633333206176758,6776628,2022-09-26
2022-10-03,5.657730579376221,5.666666030883789,6.033332824707031,5.258333206176758,5.483333110809326,20949228,2022-10-03
2022-10-10,3.7274463176727295,3.733333110809326,5.591666221618652,3.733333110809326,5.591666221618652,7154040,2022-10-10
2022-10-17,2.8954272270202637,2.9000000953674316,3.549999952316284,2.9000000953674316,3.549999952316284,941688,2022-10-17
2022-10-24,2.8663060665130615,2.870832920074463,3.179166078567505,2.604166030883789,2.7583329677581787,13926072,2022-10-24
2022-10-31,2.907907247543335,2.9124999046325684,2.916666030883789,2.4708330631256104,2.8166658878326416,11773320,2022-10-31
2022-11-07,3.3530375957489014,3.358333110809326,3.5291659832000732,3.054166078567505,3.054166078567505,9059868,2022-11-07
2022-11-14,3.752406597137451,3.7583329677581787,3.791666030883789,3.2541658878326416,3.495832920074463,7365888,2022-11-14
2022-11-21,4.7799506187438965,4.787499904632568,4.787499904632568,3.8166658878326416,3.8333330154418945,4121688,2022-11-21
2022-11-28,5.507966995239258,5.516665935516357,5.658332824707031,4.554165840148926,4.666666030883789,48863436,2022-11-28
2022-12-05,5.686851978302002,5.695833206176758,5.916666030883789,5.5625,5.666666030883789,14089344,2022-12-05
2022-12-12,6.11950159072876,6.129166126251221,6.587500095367432,5.970832824707031,5.979166030883789,16379664,2022-12-12
2022-12-19,5.541248798370361,5.550000190734863,6.008333206176758,5.550000190734863,6.008333206176758,14880,2022-12-19
2022-12-26,5.01707649230957,5.025000095367432,5.441666126251221,5.025000095367432,5.441666126251221,174672,2022-12-26
2023-01-02,4.542825698852539,4.550000190734863,4.925000190734863,4.550000190734863,4.925000190734863,41220,2023-01-02
2023-01-09,4.114335060119629,4.120832920074463,4.462500095367432,4.120832920074463,4.462500095367432,54912,2023-01-09
2023-01-16,4.5303449630737305,4.537499904632568,4.537499904632568,4.041666030883789,4.041666030883789,6914640,2023-01-16
2023-01-23,4.896433353424072,4.904166221618652,4.904166221618652,4.541666030883789,4.570833206176758,2627880,2023-01-23
2023-01-30,5.395644664764404,5.404166221618652,5.404166221618652,5.0,5.0,2659584,2023-01-30
2023-02-06,5.944777011871338,5.954165935516357,5.954165935516357,5.508333206176758,5.508333206176758,3644352,2023-02-06
2023-02-13,6.05709981918335,6.066666126251221,6.4375,6.066666126251221,6.070833206176758,4655952,2023-02-13
2023-02-20,6.589592933654785,6.599999904632568,6.604166030883789,5.945833206176758,5.945833206176758,2753196,2023-02-20
2023-02-27,5.9614176750183105,5.970832824707031,6.7083330154418945,5.970832824707031,6.675000190734863,295032,2023-02-27
2023-03-06,5.674371242523193,5.683332920074463,5.970832824707031,5.604166030883789,5.970832824707031,351096,2023-03-06
2023-03-13,5.137718677520752,5.1458330154418945,5.683332920074463,5.1458330154418945,5.683332920074463,22212,2023-03-13
2023-03-20,4.9921159744262695,5.0,5.245832920074463,4.941666126251221,5.045833110809326,1029300,2023-03-20
2023-03-27,5.0753173828125,5.0833330154418945,5.166666030883789,4.974999904632568,5.0,1264248,2023-03-27
2023-04-03,4.983794689178467,4.991665840148926,5.125,4.983333110809326,5.0833330154418945,948768,2023-04-03
