Date,Adj Close_GUFICBIO.NS,Close_GUFICBIO.NS,High_GUFICBIO.NS,Low_GUFICBIO.NS,Open_GUFICBIO.NS,Volume_GUFICBIO.NS,Date
2020-07-13,89.81499481201172,90.0,94.5,85.0,92.5,654156,2020-07-13
2020-07-20,89.91477966308594,90.0999984741211,92.5,81.6500015258789,90.5,1209051,2020-07-20
2020-07-27,97.79855346679688,98.0,100.5999984741211,85.5,90.9000015258789,4056164,2020-07-27
2020-08-03,94.85460662841797,95.05000305175781,104.9000015258789,91.55000305175781,102.1500015258789,2660841,2020-08-03
2020-08-10,93.90657043457031,94.0999984741211,99.94999694824219,91.55000305175781,95.75,1367732,2020-08-10
2020-08-17,91.76097869873047,91.94999694824219,95.80000305175781,90.0999984741211,94.0999984741211,1185932,2020-08-17
2020-08-24,87.91889953613281,88.0999984741211,92.9000015258789,87.75,92.75,1162083,2020-08-24
2020-08-31,80.33451843261719,80.5,89.9000015258789,78.94999694824219,89.0,810053,2020-08-31
2020-09-07,83.37825012207031,83.55000305175781,86.80000305175781,79.69999694824219,81.9000015258789,632482,2020-09-07
2020-09-14,82.4801025390625,82.6500015258789,88.25,78.6500015258789,84.30000305175781,2387574,2020-09-14
2020-09-21,80.6339111328125,80.80000305175781,85.5999984741211,76.19999694824219,82.9000015258789,845881,2020-09-21
2020-09-28,88.01869201660156,88.19999694824219,95.5999984741211,80.5999984741211,81.05000305175781,2359871,2020-09-28
2020-10-05,93.00840759277344,93.19999694824219,96.80000305175781,87.69999694824219,90.9000015258789,1485517,2020-10-05
2020-10-12,86.9708480834961,87.1500015258789,94.94999694824219,86.55000305175781,93.19999694824219,686674,2020-10-12
2020-10-19,89.71519470214844,89.9000015258789,92.69999694824219,87.5999984741211,87.5999984741211,338393,2020-10-19
2020-10-26,102.08971405029297,102.30000305175781,105.94999694824219,89.80000305175781,90.0,2161443,2020-10-26
2020-11-02,105.28312683105469,105.5,113.0999984741211,102.4000015258789,103.1500015258789,1542094,2020-11-02
2020-11-09,122.70390319824219,122.9000015258789,129.85000610351562,106.25,106.25,5071826,2020-11-09
2020-11-16,114.11763000488281,114.30000305175781,128.39999389648438,113.0,121.94999694824219,1085271,2020-11-16
2020-11-23,116.7134780883789,116.9000015258789,119.30000305175781,110.05000305175781,115.0,769982,2020-11-23
2020-11-30,118.1611557006836,118.3499984741211,125.05000305175781,115.8499984741211,116.9000015258789,948680,2020-11-30
2020-12-07,121.55574035644531,121.75,125.94999694824219,115.5,118.3499984741211,1323995,2020-12-07
2020-12-14,117.56212615966797,117.75,125.9000015258789,116.0,125.9000015258789,561432,2020-12-14
2020-12-21,118.31092071533203,118.5,121.0,106.55000305175781,117.0,517256,2020-12-21
2020-12-28,121.00660705566406,121.19999694824219,123.30000305175781,116.4000015258789,118.5,678651,2020-12-28
2021-01-04,129.39321899414062,129.60000610351562,137.4499969482422,120.6500015258789,122.6500015258789,2752238,2021-01-04
2021-01-11,124.85047912597656,125.05000305175781,133.0,122.30000305175781,130.25,663000,2021-01-11
2021-01-18,117.6619644165039,117.8499984741211,125.0,117.0,124.80000305175781,387097,2021-01-18
2021-01-25,117.6120376586914,117.80000305175781,120.19999694824219,113.05000305175781,116.0,331125,2021-01-25
2021-02-01,117.86164855957031,118.05000305175781,128.8000030517578,117.25,118.55000305175781,750880,2021-02-01
2021-02-08,114.61683654785156,114.80000305175781,122.5,111.75,119.5999984741211,1143647,2021-02-08
2021-02-15,112.02096557617188,112.19999694824219,116.4000015258789,111.1500015258789,115.0,442840,2021-02-15
2021-02-22,119.25941467285156,119.44999694824219,123.0,108.55000305175781,112.30000305175781,1159029,2021-02-22
2021-03-01,114.21746826171875,114.4000015258789,122.75,113.5999984741211,119.0,833140,2021-03-01
2021-03-08,111.47185516357422,111.6500015258789,115.8499984741211,111.3499984741211,115.30000305175781,181562,2021-03-08
2021-03-15,106.0804672241211,106.25,112.80000305175781,103.94999694824219,111.6500015258789,363133,2021-03-15
