Date,Adj Close_INSPIRISYS.NS,Close_INSPIRISYS.NS,High_INSPIRISYS.NS,Low_INSPIRISYS.NS,Open_INSPIRISYS.NS,Volume_INSPIRISYS.NS,Date
2020-07-13,30.899999618530273,30.899999618530273,37.45000076293945,30.899999618530273,37.45000076293945,72371,2020-07-13
2020-07-20,28.600000381469727,28.600000381469727,32.349998474121094,27.950000762939453,29.75,98942,2020-07-20
2020-07-27,25.049999237060547,25.049999237060547,29.350000381469727,24.200000762939453,28.950000762939453,51459,2020-07-27
2020-08-03,28.25,28.25,28.899999618530273,25.100000381469727,26.0,50571,2020-08-03
2020-08-10,27.5,27.5,29.700000762939453,26.049999237060547,28.5,108923,2020-08-10
2020-08-17,28.600000381469727,28.600000381469727,29.0,26.299999237060547,27.600000381469727,128515,2020-08-17
2020-08-24,32.75,32.75,36.29999923706055,29.0,29.200000762939453,279159,2020-08-24
2020-08-31,29.25,29.25,34.150001525878906,29.0,34.150001525878906,32871,2020-08-31
2020-09-07,29.799999237060547,29.799999237060547,30.899999618530273,27.799999237060547,28.649999618530273,30217,2020-09-07
2020-09-14,30.399999618530273,30.399999618530273,32.599998474121094,29.350000381469727,31.0,30967,2020-09-14
2020-09-21,29.350000381469727,29.350000381469727,31.899999618530273,27.600000381469727,30.5,28005,2020-09-21
2020-09-28,28.850000381469727,28.850000381469727,31.25,28.25,29.0,25745,2020-09-28
2020-10-05,27.75,27.75,29.149999618530273,27.5,28.850000381469727,16576,2020-10-05
2020-10-12,27.100000381469727,27.100000381469727,28.799999237060547,25.649999618530273,28.799999237060547,32256,2020-10-12
2020-10-19,27.549999237060547,27.549999237060547,28.549999237060547,26.399999618530273,26.399999618530273,9273,2020-10-19
2020-10-26,26.850000381469727,26.850000381469727,28.049999237060547,25.600000381469727,27.549999237060547,9072,2020-10-26
2020-11-02,26.899999618530273,26.899999618530273,27.049999237060547,25.899999618530273,27.0,14291,2020-11-02
2020-11-09,26.899999618530273,26.899999618530273,28.200000762939453,25.799999237060547,27.299999237060547,38290,2020-11-09
2020-11-16,28.25,28.25,29.200000762939453,25.899999618530273,26.75,31506,2020-11-16
2020-11-23,29.399999618530273,29.399999618530273,30.450000762939453,27.049999237060547,28.25,72401,2020-11-23
2020-11-30,29.25,29.25,30.399999618530273,28.350000381469727,29.399999618530273,32207,2020-11-30
2020-12-07,29.25,29.25,32.849998474121094,28.299999237060547,29.399999618530273,78042,2020-12-07
2020-12-14,33.20000076293945,33.20000076293945,34.900001525878906,29.899999618530273,29.899999618530273,384063,2020-12-14
2020-12-21,33.400001525878906,33.400001525878906,35.849998474121094,30.100000381469727,34.400001525878906,108723,2020-12-21
2020-12-28,35.150001525878906,35.150001525878906,37.0,33.70000076293945,33.75,142434,2020-12-28
2021-01-04,37.29999923706055,37.29999923706055,37.29999923706055,33.04999923706055,34.54999923706055,279954,2021-01-04
2021-01-11,40.04999923706055,40.04999923706055,40.650001525878906,35.79999923706055,40.0,370671,2021-01-11
2021-01-18,35.29999923706055,35.29999923706055,40.849998474121094,34.599998474121094,40.849998474121094,87800,2021-01-18
2021-01-25,35.650001525878906,35.650001525878906,37.400001525878906,31.549999237060547,37.400001525878906,89065,2021-01-25
2021-02-01,33.95000076293945,33.95000076293945,37.0,33.54999923706055,36.79999923706055,45806,2021-02-01
2021-02-08,37.400001525878906,37.400001525878906,38.20000076293945,34.0,35.849998474121094,153616,2021-02-08
2021-02-15,37.29999923706055,37.29999923706055,41.099998474121094,36.099998474121094,39.95000076293945,82248,2021-02-15
2021-02-22,36.79999923706055,36.79999923706055,40.0,35.95000076293945,40.0,35400,2021-02-22
2021-03-01,43.79999923706055,43.79999923706055,43.79999923706055,36.099998474121094,39.349998474121094,276161,2021-03-01
