Date,Adj Close_HUHTAMAKI.NS,Close_HUHTAMAKI.NS,High_HUHTAMAKI.NS,Low_HUHTAMAKI.NS,Open_HUHTAMAKI.NS,Volume_HUHTAMAKI.NS,Date
2020-07-13,203.61866760253906,213.85000610351562,218.75,199.0,206.0,413043,2020-07-13
2020-07-20,211.4739532470703,222.10000610351562,228.5,210.1999969482422,216.39999389648438,730228,2020-07-20
2020-07-27,230.65989685058594,242.25,247.89999389648438,218.60000610351562,222.0500030517578,1134327,2020-07-27
2020-08-03,237.84869384765625,249.8000030517578,259.5,239.64999389648438,244.89999389648438,1005781,2020-08-03
2020-08-10,240.80035400390625,252.89999389648438,259.3999938964844,242.25,252.8000030517578,589262,2020-08-10
2020-08-17,268.8890075683594,282.3999938964844,288.0,245.0,259.0,1616000,2020-08-17
2020-08-24,267.3655090332031,280.79998779296875,337.6000061035156,280.0,290.8999938964844,5272228,2020-08-24
2020-08-31,248.89369201660156,261.3999938964844,284.45001220703125,252.75,284.3999938964844,739997,2020-08-31
2020-09-07,258.4152526855469,271.3999938964844,282.0,256.6000061035156,262.0,1062584,2020-09-07
2020-09-14,274.8399658203125,288.6499938964844,294.0,273.0,273.0,769346,2020-09-14
2020-09-21,277.9820861816406,291.95001220703125,296.0,258.20001220703125,288.0,1332391,2020-09-21
2020-09-28,296.7871398925781,311.70001220703125,318.0,290.0,295.75,1204979,2020-09-28
2020-10-05,280.1244201660156,294.20001220703125,319.0,292.0,319.0,439907,2020-10-05
2020-10-12,287.1703796386719,301.6000061035156,307.3500061035156,291.5,296.8999938964844,386284,2020-10-12
2020-10-19,293.883056640625,308.6499938964844,310.95001220703125,295.25,302.79998779296875,453319,2020-10-19
2020-10-26,261.98583984375,275.1499938964844,316.0,268.0,316.0,1320990,2020-10-26
2020-11-02,272.1739196777344,285.8500061035156,287.8500061035156,275.0,281.54998779296875,372310,2020-11-02
2020-11-09,271.6502380371094,285.29998779296875,290.8500061035156,270.25,287.20001220703125,1123073,2020-11-09
2020-11-16,285.21844482421875,299.54998779296875,306.0,280.0,283.70001220703125,676422,2020-11-16
2020-11-23,294.3591613769531,309.1499938964844,314.0,294.0,300.8999938964844,466163,2020-11-23
2020-11-30,293.8354797363281,308.6000061035156,320.0,302.0,309.1499938964844,319448,2020-11-30
2020-12-07,291.5503234863281,306.20001220703125,313.5,298.25,312.0,341187,2020-12-07
2020-12-14,283.9330139160156,298.20001220703125,312.20001220703125,295.0,311.8999938964844,284088,2020-12-14
2020-12-21,280.8861389160156,295.0,302.8999938964844,270.1000061035156,302.8999938964844,358303,2020-12-21
2020-12-28,296.54913330078125,311.45001220703125,318.0,293.8500061035156,294.0,1013656,2020-12-28
2021-01-04,297.8345031738281,312.79998779296875,327.0,310.0,317.0,822772,2021-01-04
2021-01-11,294.54962158203125,309.3500061035156,318.0,305.5,315.0,354414,2021-01-11
2021-01-18,287.1703796386719,301.6000061035156,313.5,296.95001220703125,310.0,277405,2021-01-18
2021-01-25,287.5036315917969,301.95001220703125,306.79998779296875,295.0,305.0,135483,2021-01-25
2021-02-01,290.360107421875,304.95001220703125,311.0,297.0,302.0,232373,2021-02-01
2021-02-08,305.9754638671875,321.3500061035156,334.0,300.0,305.79998779296875,578074,2021-02-08
2021-02-15,319.7817077636719,335.8500061035156,352.1499938964844,316.0,326.70001220703125,1331204,2021-02-15
2021-02-22,274.3638610839844,288.1499938964844,345.6000061035156,285.1000061035156,344.0,1830602,2021-02-22
