Date,Adj Close_MAHEPC.NS,Close_MAHEPC.NS,High_MAHEPC.NS,Low_MAHEPC.NS,Open_MAHEPC.NS,Volume_MAHEPC.NS,Date
2020-07-13,169.47329711914062,172.0,182.5,165.1999969482422,177.0,878030,2020-07-13
2020-07-20,158.53636169433594,160.89999389648438,194.5,158.0,174.89999389648438,3309234,2020-07-20
2020-07-27,157.5017852783203,159.85000610351562,167.8000030517578,153.85000610351562,160.89999389648438,874770,2020-07-27
2020-08-03,158.1781768798828,159.3000030517578,168.5500030517578,156.14999389648438,160.9499969482422,547780,2020-08-03
2020-08-10,156.34120178222656,157.4499969482422,173.4499969482422,155.5500030517578,164.89999389648438,846296,2020-08-10
2020-08-17,168.5049285888672,169.6999969482422,175.9499969482422,156.5,158.89999389648438,999937,2020-08-17
2020-08-24,175.75352478027344,177.0,184.39999389648438,161.39999389648438,170.89999389648438,2277873,2020-08-24
2020-08-31,162.10035705566406,163.25,182.64999389648438,156.5,180.0500030517578,1096560,2020-08-31
2020-09-07,158.97254943847656,160.10000610351562,168.8000030517578,155.25,164.89999389648438,275315,2020-09-07
2020-09-14,157.5823974609375,158.6999969482422,165.0,156.5,161.8000030517578,388280,2020-09-14
2020-09-21,150.8302764892578,151.89999389648438,159.6999969482422,145.64999389648438,159.5,414077,2020-09-21
2020-09-28,147.7024688720703,148.75,155.9499969482422,146.0,154.75,186645,2020-09-28
2020-10-05,157.63204956054688,158.75,174.6999969482422,148.9499969482422,149.10000610351562,1878216,2020-10-05
2020-10-12,164.08627319335938,165.25,169.5,147.64999389648438,159.4499969482422,721115,2020-10-12
2020-10-19,155.79507446289062,156.89999389648438,172.6999969482422,152.6999969482422,169.75,2293895,2020-10-19
2020-10-26,139.56021118164062,140.5500030517578,157.9499969482422,138.5500030517578,153.25,802922,2020-10-26
2020-11-02,128.78662109375,129.6999969482422,141.60000610351562,125.94999694824219,141.25,722401,2020-11-02
2020-11-09,139.90774536132812,140.89999389648438,144.5,125.25,130.9499969482422,1252618,2020-11-09
2020-11-16,142.83697509765625,143.85000610351562,153.0,133.39999389648438,133.39999389648438,861622,2020-11-16
2020-11-23,147.15634155273438,148.1999969482422,152.4499969482422,144.10000610351562,151.89999389648438,513124,2020-11-23
2020-11-30,150.38345336914062,151.4499969482422,155.0,144.5,148.1999969482422,685543,2020-11-30
2020-12-07,153.01480102539062,154.10000610351562,160.0,150.3000030517578,151.4499969482422,1267275,2020-12-07
2020-12-14,165.02957153320312,166.1999969482422,172.8000030517578,152.6999969482422,157.8000030517578,1928236,2020-12-14
2020-12-21,159.9158477783203,161.0500030517578,166.4499969482422,145.25,165.0,1155478,2020-12-21
2020-12-28,158.1781768798828,159.3000030517578,162.89999389648438,154.60000610351562,161.89999389648438,469170,2020-12-28
2021-01-04,167.56163024902344,168.75,176.0,154.85000610351562,160.5500030517578,2678990,2021-01-04
2021-01-11,160.2633819580078,161.39999389648438,170.10000610351562,159.6999969482422,170.0500030517578,930471,2021-01-11
2021-01-18,165.3771209716797,166.5500030517578,170.89999389648438,154.25,160.5500030517578,1305659,2021-01-18
2021-01-25,155.79507446289062,156.89999389648438,169.5,154.35000610351562,168.75,608314,2021-01-25
2021-02-01,152.12112426757812,153.1999969482422,161.75,152.5500030517578,160.8000030517578,686373,2021-02-01
2021-02-08,150.73098754882812,151.8000030517578,158.60000610351562,150.8000030517578,154.89999389648438,583657,2021-02-08
2021-02-15,147.95071411132812,149.0,157.0,148.0,152.4499969482422,603614,2021-02-15
2021-02-22,150.33380126953125,151.39999389648438,160.5,146.0,150.4499969482422,811539,2021-02-22
2021-03-01,151.17782592773438,152.25,157.0,150.5,151.60000610351562,515430,2021-03-01
2021-03-08,156.73838806152344,157.85000610351562,171.8000030517578,150.85000610351562,152.25,2163375,2021-03-08
2021-03-15,146.26268005371094,147.3000030517578,159.9499969482422,142.6999969482422,158.10000610351562,460574,2021-03-15
2021-03-22,145.1207733154297,146.14999389648438,152.8000030517578,138.60000610351562,147.5,446653,2021-03-22
2021-03-29,146.7591552734375,147.8000030517578,149.60000610351562,141.14999389648438,146.14999389648438,204889,2021-03-29
