Date,Adj Close_RADHIKAJWE.NS,Close_RADHIKAJWE.NS,High_RADHIKAJWE.NS,Low_RADHIKAJWE.NS,Open_RADHIKAJWE.NS,Volume_RADHIKAJWE.NS,Date
2022-07-18,29.974889755249023,30.200000762939453,33.0,29.639999389648438,32.97999954223633,376190,2022-07-18
2022-07-25,30.987285614013672,31.219999313354492,31.5,29.639999389648438,29.639999389648438,545600,2022-07-25
2022-08-01,32.227970123291016,32.470001220703125,34.79999923706055,30.200000762939453,31.579999923706055,1683590,2022-08-01
2022-08-08,31.84087562561035,32.08000183105469,33.099998474121094,30.559999465942383,33.099998474121094,486165,2022-08-08
2022-08-15,31.97983169555664,32.220001220703125,32.810001373291016,30.200000762939453,32.08000183105469,551180,2022-08-15
2022-08-22,33.5877571105957,33.84000015258789,34.06999969482422,31.190000534057617,32.220001220703125,3003680,2022-08-22
2022-08-29,34.80858612060547,35.06999969482422,39.97999954223633,33.34000015258789,33.79999923706055,10031985,2022-08-29
2022-09-05,33.935142517089844,34.189998626708984,36.709999084472656,33.7400016784668,35.599998474121094,2621630,2022-09-05
2022-09-12,32.307369232177734,32.54999923706055,35.810001373291016,32.20000076293945,34.93000030517578,1225000,2022-09-12
2022-09-19,32.237117767333984,32.290000915527344,34.130001068115234,32.0,33.7400016784668,509900,2022-09-19
2022-09-26,33.8943977355957,33.95000076293945,34.33000183105469,29.489999771118164,32.0,1396110,2022-09-26
2022-10-03,32.7762336730957,32.83000183105469,34.0099983215332,32.0,33.95000076293945,1449730,2022-10-03
2022-10-10,31.777870178222656,31.829999923706055,33.63999938964844,30.760000228881836,32.83000183105469,416320,2022-10-10
2022-10-17,30.76952362060547,30.81999969482422,35.79999923706055,30.219999313354492,30.229999542236328,288445,2022-10-17
2022-10-24,30.729591369628906,30.780000686645508,31.989999771118164,30.1200008392334,30.81999969482422,117595,2022-10-24
2022-10-31,30.450048446655273,30.5,31.780000686645508,29.68000030517578,29.68000030517578,176970,2022-10-31
2022-11-07,30.689655303955078,30.739999771118164,32.04999923706055,29.110000610351562,30.510000228881836,238560,2022-11-07
2022-11-14,28.623044967651367,28.670000076293945,30.0,24.600000381469727,30.0,1318840,2022-11-14
2022-11-21,27.744487762451172,27.790000915527344,29.81999969482422,27.360000610351562,28.670000076293945,2149845,2022-11-21
2022-11-28,34.89276123046875,34.95000076293945,35.959999084472656,27.700000762939453,27.700000762939453,4482420,2022-11-28
2022-12-05,33.704708099365234,33.7599983215332,35.599998474121094,33.130001068115234,34.959999084472656,660205,2022-12-05
2022-12-12,33.3353157043457,33.38999938964844,35.0,32.79999923706055,33.560001373291016,333850,2022-12-12
2022-12-19,29.900949478149414,29.950000762939453,34.290000915527344,29.399999618530273,33.33000183105469,424195,2022-12-19
2022-12-26,30.410112380981445,30.459999084472656,32.79999923706055,29.809999465942383,29.950000762939453,213530,2022-12-26
2023-01-02,29.86101531982422,29.90999984741211,31.799999237060547,28.889999389648438,30.690000534057617,332435,2023-01-02
