Date,Adj Close_GARUDA.NS,Close_GARUDA.NS,High_GARUDA.NS,Low_GARUDA.NS,Open_GARUDA.NS,Volume_GARUDA.NS,Date
2024-10-14,105.0157699584961,105.04000091552734,120.98999786376953,100.0,105.0,61938168,2024-10-14
2024-10-21,89.55934143066406,89.58000183105469,107.27999877929688,88.0,106.0,6575394,2024-10-21
2024-10-28,90.70907592773438,90.7300033569336,92.66000366210938,85.11000061035156,89.9000015258789,2716954,2024-10-28
2024-11-04,87.23987579345703,87.26000213623047,91.79000091552734,84.8499984741211,91.4000015258789,2084230,2024-11-04
2024-11-11,82.92086791992188,82.94000244140625,88.98999786376953,82.31999969482422,87.1500015258789,1207643,2024-11-11
2024-11-18,77.64208984375,77.66000366210938,84.76000213623047,77.05000305175781,83.30000305175781,1260001,2024-11-18
2024-11-25,89.4493637084961,89.47000122070312,101.98999786376953,78.41000366210938,79.80000305175781,11224661,2024-11-25
2024-12-02,100.15689086914062,100.18000030517578,107.5,88.02999877929688,90.48999786376953,8803261,2024-12-02
2024-12-09,95.55795288085938,95.58000183105469,108.44000244140625,94.19999694824219,102.98999786376953,3967794,2024-12-09
2024-12-16,118.24271392822266,118.2699966430664,128.88999938964844,93.20999908447266,95.58000183105469,36828108,2024-12-16
2024-12-23,127.25064086914062,127.27999877929688,133.92999267578125,109.2300033569336,119.75,26347459,2024-12-23
2024-12-30,133.73915100097656,133.77000427246094,139.39999389648438,124.8499984741211,129.38999938964844,21394496,2024-12-30
2025-01-06,130.8498077392578,130.8800048828125,153.6999969482422,125.6500015258789,134.47999572753906,24936840,2025-01-06
2025-01-13,132.1695098876953,132.1999969482422,136.39999389648438,115.6500015258789,127.48999786376953,13811696,2025-01-13
2025-01-20,131.49966430664062,131.52999877929688,143.5,124.5,133.5,12162754,2025-01-20
2025-01-27,125.37107849121094,125.4000015258789,132.25,118.19999694824219,130.0,7537426,2025-01-27
2025-02-03,125.92094421386719,125.94999694824219,135.8699951171875,121.2300033569336,124.80000305175781,6123906,2025-02-03
2025-02-10,108.36499786376953,108.38999938964844,122.0,104.68000030517578,117.0,6084371,2025-02-10
2025-02-17,108.24502563476562,108.2699966430664,115.88999938964844,101.80999755859375,105.80000305175781,4271872,2025-02-17
2025-02-24,105.3499984741211,105.3499984741211,112.83999633789062,102.55999755859375,106.0,2302062,2025-02-24
2025-03-03,107.76000213623047,107.76000213623047,111.5,99.9000015258789,106.80000305175781,2910255,2025-03-03
2025-03-10,101.98999786376953,101.98999786376953,108.44000244140625,100.0999984741211,107.5,1408220,2025-03-10
2025-03-17,112.87999725341797,112.87999725341797,116.44999694824219,100.5,103.0,1880177,2025-03-17
2025-03-24,103.0999984741211,103.0999984741211,115.4000015258789,102.0,113.94999694824219,2114954,2025-03-24
2025-03-31,106.55999755859375,106.55999755859375,113.98999786376953,102.0199966430664,103.0999984741211,1995274,2025-03-31
2025-04-07,103.22000122070312,103.22000122070312,106.04000091552734,94.83000183105469,98.98999786376953,1538363,2025-04-07
2025-04-14,112.97000122070312,112.97000122070312,114.80000305175781,103.22000122070312,103.22000122070312,1490476,2025-04-14
2025-04-21,104.04000091552734,104.04000091552734,117.9000015258789,103.5,113.44000244140625,2544758,2025-04-21
2025-04-28,94.86000061035156,94.86000061035156,106.0999984741211,94.61000061035156,104.80000305175781,1931019,2025-04-28
2025-05-05,89.23999786376953,89.23999786376953,98.93000030517578,87.5,94.91999816894531,2057368,2025-05-05
2025-05-12,106.93000030517578,106.93000030517578,107.94999694824219,93.87000274658203,94.0,4530422,2025-05-12
2025-05-19,103.76000213623047,103.76000213623047,109.94999694824219,102.61000061035156,107.0,1405169,2025-05-19
2025-05-26,114.55000305175781,114.55000305175781,118.0,101.55999755859375,104.4800033569336,5481255,2025-05-26
2025-06-02,123.52999877929688,123.52999877929688,128.64999389648438,108.0999984741211,116.0,9991914,2025-06-02
2025-06-09,120.5199966430664,120.5199966430664,129.24000549316406,118.81999969482422,124.0,5778289,2025-06-09
2025-06-16,121.41999816894531,121.41999816894531,131.5,116.6500015258789,120.36000061035156,8215769,2025-06-16
2025-06-23,125.08000183105469,125.08000183105469,130.9199981689453,119.0,120.9800033569336,4197782,2025-06-23
2025-06-30,121.51000213623047,121.51000213623047,126.52999877929688,119.0999984741211,125.75,2084974,2025-06-30
2025-07-07,134.22000122070312,134.22000122070312,143.38999938964844,120.87999725341797,121.9800033569336,26630065,2025-07-07
2025-07-14,142.89999389648438,142.89999389648438,144.85000610351562,133.3000030517578,135.6999969482422,6319547,2025-07-14
