Date,Adj Close_POWERINDIA.NS,Close_POWERINDIA.NS,High_POWERINDIA.NS,Low_POWERINDIA.NS,Open_POWERINDIA.NS,Volume_POWERINDIA.NS,Date
2020-07-13,856.695068359375,859.4000244140625,862.75,845.2000122070312,850.0,202147,2020-07-13
2020-07-20,886.5009155273438,889.2999877929688,919.0,856.3499755859375,862.4500122070312,1150377,2020-07-20
2020-07-27,894.0271606445312,896.8499755859375,925.0,860.2000122070312,901.9000244140625,896743,2020-07-27
2020-08-03,878.526123046875,881.2999877929688,909.9000244140625,866.2000122070312,909.9000244140625,707937,2020-08-03
2020-08-10,906.33837890625,909.2000122070312,968.7999877929688,885.0499877929688,887.5,677415,2020-08-10
2020-08-17,1043.355712890625,1046.6500244140625,1100.0,910.5,915.0,657811,2020-08-17
2020-08-24,951.34619140625,954.3499755859375,1066.5,894.9500122070312,1058.800048828125,814003,2020-08-24
2020-08-31,902.5004272460938,905.3499755859375,978.0,898.0,960.0,486339,2020-08-31
2020-09-07,920.842529296875,923.75,930.0,892.0499877929688,906.0,389467,2020-09-07
2020-09-14,946.26220703125,949.25,974.9500122070312,925.0,929.7999877929688,255804,2020-09-14
2020-09-21,935.7952270507812,938.75,965.0,895.1500244140625,950.9000244140625,310054,2020-09-21
2020-09-28,968.7412719726562,971.7999877929688,995.0,911.0,942.2999877929688,213880,2020-09-28
2020-10-05,934.1005859375,937.0499877929688,1020.0,927.0999755859375,1000.0,193538,2020-10-05
2020-10-12,936.642578125,939.5999755859375,952.0,895.8499755859375,925.0,135195,2020-10-12
2020-10-19,978.2611694335938,981.3499755859375,998.0,920.25,934.0999755859375,242412,2020-10-19
2020-10-26,961.2647705078125,964.2999877929688,990.0,936.0499877929688,985.0,141981,2020-10-26
2020-11-02,934.0010375976562,936.9500122070312,975.9000244140625,920.2000122070312,955.7000122070312,90695,2020-11-02
2020-11-09,965.8504028320312,968.9000244140625,994.9000244140625,904.9500122070312,951.0999755859375,286418,2020-11-09
2020-11-16,958.6232299804688,961.6500244140625,1048.949951171875,940.25,972.2999877929688,295418,2020-11-16
2020-11-23,1136.16259765625,1139.75,1179.8499755859375,935.0,952.0,473788,2020-11-23
2020-11-30,1256.8316650390625,1260.800048828125,1370.0,1139.75,1139.75,399392,2020-11-30
2020-12-07,1306.2255859375,1310.3499755859375,1325.0,1165.5,1265.0,180570,2020-12-07
2020-12-14,1309.9639892578125,1314.0999755859375,1400.4000244140625,1284.0,1324.9000244140625,176443,2020-12-14
2020-12-21,1324.4681396484375,1328.6500244140625,1397.0,1188.5999755859375,1320.8499755859375,145652,2020-12-21
2020-12-28,1301.390869140625,1305.5,1369.0999755859375,1275.0,1369.0999755859375,67609,2020-12-28
2021-01-04,1293.3165283203125,1297.4000244140625,1364.800048828125,1253.0,1316.5999755859375,121125,2021-01-04
2021-01-11,1274.52587890625,1278.550048828125,1335.0,1265.800048828125,1312.5999755859375,103074,2021-01-11
2021-01-18,1240.7822265625,1244.699951171875,1310.0,1234.9000244140625,1270.0,65275,2021-01-18
2021-01-25,1208.8829345703125,1212.699951171875,1269.0,1200.0,1250.800048828125,116784,2021-01-25
2021-02-01,1276.968017578125,1281.0,1311.25,1200.0,1200.0,193070,2021-02-01
2021-02-08,1292.4691162109375,1296.550048828125,1334.550048828125,1272.0,1300.0,297310,2021-02-08
2021-02-15,1433.7728271484375,1438.300048828125,1531.0,1303.949951171875,1320.0,677532,2021-02-15
2021-02-22,1434.5704345703125,1439.0999755859375,1659.0,1410.0,1435.0,398219,2021-02-22
2021-03-01,1405.1134033203125,1409.550048828125,1479.800048828125,1386.0,1455.0,278192,2021-03-01
2021-03-08,1358.2613525390625,1362.550048828125,1426.75,1345.050048828125,1415.550048828125,152025,2021-03-08
2021-03-15,1307.3221435546875,1311.449951171875,1372.550048828125,1265.300048828125,1372.550048828125,200412,2021-03-15
2021-03-22,1335.333740234375,1339.550048828125,1440.0,1295.1500244140625,1320.0,314346,2021-03-22
2021-03-29,1378.3477783203125,1382.699951171875,1390.0,1333.0,1339.550048828125,40589,2021-03-29
2021-04-05,1512.225341796875,1517.0,1530.0,1358.449951171875,1389.5999755859375,222209,2021-04-05
2021-04-12,1511.427734375,1516.199951171875,1562.75,1413.25,1505.0,281247,2021-04-12
2021-04-19,1507.0416259765625,1511.800048828125,1545.0,1452.9000244140625,1500.0,218738,2021-04-19
2021-04-26,1799.717529296875,1805.4000244140625,1860.0,1509.25,1511.800048828125,808628,2021-04-26
2021-05-03,1716.530029296875,1721.949951171875,1860.0,1675.5999755859375,1790.0,264519,2021-05-03
2021-05-10,1703.27197265625,1708.6500244140625,1762.3499755859375,1680.0,1721.949951171875,89039,2021-05-10
2021-05-17,1767.22021484375,1772.800048828125,1811.0,1680.0,1720.0,206513,2021-05-17
2021-05-24,1907.7911376953125,1911.5999755859375,1960.0,1786.3499755859375,1797.0,370109,2021-05-24
2021-05-31,1891.9727783203125,1895.75,1955.0,1866.1500244140625,1900.0,96549,2021-05-31
2021-06-07,1860.6851806640625,1864.4000244140625,1926.949951171875,1830.0,1915.0,115351,2021-06-07
2021-06-14,1815.176025390625,1818.800048828125,1879.949951171875,1755.550048828125,1860.0,97951,2021-06-14
2021-06-21,1814.52734375,1818.1500244140625,1893.4000244140625,1800.75,1830.0,163692,2021-06-21
2021-06-28,1870.8150634765625,1874.550048828125,1954.9000244140625,1800.0,1818.0,267842,2021-06-28
2021-07-05,1918.9688720703125,1922.800048828125,1950.0,1870.0,1870.0,180482,2021-07-05
2021-07-12,1912.182373046875,1916.0,2000.0,1900.0,1950.0,198946,2021-07-12
2021-07-19,1867.6712646484375,1871.4000244140625,1981.9000244140625,1862.0,1920.0,99679,2021-07-19
2021-07-26,1921.76318359375,1925.5999755859375,1998.0,1833.4000244140625,1870.0,270583,2021-07-26
2021-08-02,1959.1884765625,1963.0999755859375,2085.0,1917.0,1930.0,333656,2021-08-02
2021-08-09,1794.6668701171875,1798.25,1989.0,1741.0,1980.0,170724,2021-08-09
2021-08-16,1813.77880859375,1817.4000244140625,1937.449951171875,1747.6500244140625,1835.0,260735,2021-08-16
2021-08-23,2220.366943359375,2224.800048828125,2277.0,1755.550048828125,1791.0999755859375,932619,2021-08-23
2021-08-30,2425.806640625,2430.64990234375,2520.0,2086.25,2245.0,688152,2021-08-30
2021-09-06,2321.06591796875,2325.699951171875,2494.949951171875,2307.050048828125,2437.949951171875,123769,2021-09-06
2021-09-13,2404.00048828125,2408.800048828125,2525.0,2281.0,2325.699951171875,229454,2021-09-13
2021-09-20,2306.24560546875,2310.85009765625,2458.949951171875,2265.449951171875,2408.800048828125,139464,2021-09-20
2021-09-27,2448.261962890625,2453.14990234375,2575.0,2275.14990234375,2330.0,570882,2021-09-27
2021-10-04,2360.587158203125,2365.300048828125,2516.0,2350.0,2478.39990234375,150856,2021-10-04
2021-10-11,2613.1826171875,2618.39990234375,2749.0,2375.300048828125,2389.25,393238,2021-10-11
2021-10-18,2434.040283203125,2438.89990234375,2798.0,2347.699951171875,2649.0,254647,2021-10-18
2021-10-25,2208.19140625,2212.60009765625,2400.0,2190.0,2400.0,202062,2021-10-25
2021-11-01,2310.986328125,2315.60009765625,2379.0,2160.0,2205.10009765625,179335,2021-11-01
2021-11-08,2359.289794921875,2364.0,2400.0,2299.10009765625,2335.0,134462,2021-11-08
2021-11-15,2536.037109375,2541.10009765625,2648.0,2351.25,2364.0,217803,2021-11-15
2021-11-22,2509.98876953125,2515.0,2691.699951171875,2456.64990234375,2554.0,202030,2021-11-22
2021-11-29,2656.845458984375,2662.14990234375,2855.0,2388.25,2470.0,776934,2021-11-29
2021-12-06,2596.565673828125,2601.75,2674.449951171875,2524.949951171875,2668.89990234375,132289,2021-12-06
2021-12-13,2525.40771484375,2530.449951171875,2648.0,2504.39990234375,2648.0,144045,2021-12-13
2021-12-20,2536.48583984375,2541.550048828125,2585.0,2380.0,2520.0,83299,2021-12-20
2021-12-27,2521.71533203125,2526.75,2677.0,2482.0,2550.0,221996,2021-12-27
2022-01-03,2441.226318359375,2446.10009765625,2590.0,2434.25,2568.39990234375,170989,2022-01-03
2022-01-10,2657.943359375,2663.25,2699.39990234375,2430.050048828125,2451.0,189034,2022-01-10
2022-01-17,3024.711181640625,3030.75,3210.14990234375,2592.39990234375,2697.800048828125,1119493,2022-01-17
