Date,Adj Close_RPEL.NS,Close_RPEL.NS,High_RPEL.NS,Low_RPEL.NS,Open_RPEL.NS,Volume_RPEL.NS,Date
2024-08-05,545.7750244140625,545.7750244140625,582.5,475.5249938964844,499.5,151490,2024-08-05
2024-08-12,542.0,542.0,565.0,493.625,562.5,155452,2024-08-12
2024-08-19,560.9000244140625,560.9000244140625,574.0,528.0250244140625,555.0,158348,2024-08-19
2024-08-26,610.0750122070312,610.0750122070312,620.0,551.5250244140625,569.5,237516,2024-08-26
2024-09-02,575.4500122070312,575.4500122070312,614.4000244140625,557.5250244140625,610.0750122070312,192138,2024-09-02
2024-09-09,573.5999755859375,573.5999755859375,629.2249755859375,560.4249877929688,579.9500122070312,194144,2024-09-09
2024-09-16,553.9500122070312,553.9500122070312,588.2750244140625,544.2999877929688,562.75,145122,2024-09-16
2024-09-23,546.625,546.625,563.0750122070312,507.8999938964844,558.7999877929688,142378,2024-09-23
2024-09-30,543.7000122070312,543.7000122070312,565.0,522.5,547.5,97058,2024-09-30
2024-10-07,603.4249877929688,603.4249877929688,624.75,504.07501220703125,545.0,370248,2024-10-07
2024-10-14,630.5499877929688,630.5499877929688,707.5,589.5,620.9749755859375,872138,2024-10-14
2024-10-21,659.1500244140625,659.1500244140625,694.5,615.7750244140625,648.4000244140625,438066,2024-10-21
2024-10-28,676.4500122070312,676.4500122070312,687.5,625.5750122070312,664.0,116070,2024-10-28
2024-11-04,787.1749877929688,787.1749877929688,824.5,654.1749877929688,680.0,702012,2024-11-04
2024-11-11,816.5250244140625,816.5250244140625,889.5,770.0,796.6500244140625,482576,2024-11-11
2024-11-18,822.5999755859375,822.5999755859375,832.5,769.9749755859375,815.5250244140625,292700,2024-11-18
2024-11-25,741.25,741.25,864.75,733.0,839.0750122070312,502776,2024-11-25
2024-12-02,725.2999877929688,725.2999877929688,775.7999877929688,702.0499877929688,735.0,421676,2024-12-02
2024-12-09,679.3499755859375,679.3499755859375,739.4500122070312,652.3499755859375,722.0999755859375,225552,2024-12-09
2024-12-16,711.6500244140625,711.6500244140625,736.0,671.75,680.0,255932,2024-12-16
2024-12-23,702.5,702.5,767.7999877929688,696.2999877929688,712.0,293823,2024-12-23
2024-12-30,746.7999877929688,746.7999877929688,773.9000244140625,672.7999877929688,701.5999755859375,235540,2024-12-30
2025-01-06,695.6500244140625,695.6500244140625,758.9500122070312,684.7000122070312,746.0,249250,2025-01-06
2025-01-13,629.5999755859375,629.5999755859375,700.25,611.4000244140625,700.0999755859375,267220,2025-01-13
2025-01-20,612.7000122070312,612.7000122070312,685.0,601.0,629.5999755859375,649337,2025-01-20
2025-01-27,631.5999755859375,631.5999755859375,644.0,549.0999755859375,612.0,285906,2025-01-27
2025-02-03,597.5,597.5,658.6500244140625,592.9000244140625,626.4500122070312,198020,2025-02-03
2025-02-10,565.4500122070312,565.4500122070312,605.0,560.0,605.0,111824,2025-02-10
2025-02-17,534.5999755859375,534.5999755859375,597.5999755859375,518.5499877929688,564.4000244140625,141995,2025-02-17
2025-02-24,498.8999938964844,498.8999938964844,552.0,484.0,534.5999755859375,300263,2025-02-24
2025-03-03,518.5999755859375,518.5999755859375,544.0,451.0,490.20001220703125,233454,2025-03-03
2025-03-10,464.0,464.0,524.5999755859375,449.5,522.0,230308,2025-03-10
2025-03-17,546.0499877929688,546.0499877929688,558.9500122070312,456.6000061035156,464.0,149779,2025-03-17
2025-03-24,525.8499755859375,525.8499755859375,575.2999877929688,512.0,559.9500122070312,161647,2025-03-24
2025-03-31,525.4500122070312,525.4500122070312,572.0999755859375,521.9500122070312,525.8499755859375,73483,2025-03-31
2025-04-07,606.5999755859375,606.5999755859375,618.0,479.04998779296875,510.79998779296875,249506,2025-04-07
2025-04-14,610.9000244140625,610.9000244140625,628.7999877929688,594.5499877929688,606.0,100182,2025-04-14
2025-04-21,645.1500244140625,645.1500244140625,677.9500122070312,611.6500244140625,611.6500244140625,222726,2025-04-21
2025-04-28,622.2999877929688,622.2999877929688,650.0,600.0,649.2999877929688,108849,2025-04-28
2025-05-05,588.4500122070312,588.4500122070312,642.25,565.25,631.7999877929688,148822,2025-05-05
2025-05-12,695.2999877929688,695.2999877929688,715.0,609.5499877929688,618.0,165543,2025-05-12
2025-05-19,698.2999877929688,698.2999877929688,747.0,684.0499877929688,691.2999877929688,156800,2025-05-19
2025-05-26,720.1500244140625,720.1500244140625,734.9000244140625,693.7999877929688,705.2999877929688,132663,2025-05-26
2025-06-02,712.0,712.0,749.0,701.5,720.0499877929688,130878,2025-06-02
2025-06-09,705.9500122070312,705.9500122070312,764.5999755859375,690.0,715.0,211116,2025-06-09
2025-06-16,703.1500244140625,703.1500244140625,760.0,693.0,701.0499877929688,489587,2025-06-16
2025-06-23,695.2000122070312,695.2000122070312,716.0,670.5999755859375,695.0,206727,2025-06-23
2025-06-30,712.3499755859375,712.3499755859375,736.0,692.0999755859375,692.0999755859375,221041,2025-06-30
2025-07-07,687.5499877929688,687.5499877929688,714.4500122070312,681.9000244140625,708.8499755859375,90009,2025-07-07
2025-07-14,704.0499877929688,704.0499877929688,720.0,680.75,697.7000122070312,185569,2025-07-14
