Date,Adj Close_SANATHAN.NS,Close_SANATHAN.NS,High_SANATHAN.NS,Low_SANATHAN.NS,Open_SANATHAN.NS,Volume_SANATHAN.NS,Date
2024-12-23,388.3500061035156,388.3500061035156,423.0,382.0,422.29998779296875,13703609,2024-12-23
2024-12-30,380.1000061035156,380.1000061035156,391.75,350.0,390.75,5844654,2024-12-30
2025-01-06,343.3999938964844,343.3999938964844,382.70001220703125,335.1000061035156,382.6499938964844,2019538,2025-01-06
2025-01-13,356.1000061035156,356.1000061035156,368.0,312.0,334.95001220703125,1879792,2025-01-13
2025-01-20,341.29998779296875,341.29998779296875,373.8999938964844,328.1000061035156,360.04998779296875,1622487,2025-01-20
2025-01-27,354.54998779296875,354.54998779296875,359.0,320.6499938964844,328.0,1293688,2025-01-27
2025-02-03,350.8999938964844,350.8999938964844,367.8999938964844,334.54998779296875,354.54998779296875,1122717,2025-02-03
2025-02-10,321.70001220703125,321.70001220703125,364.0,312.70001220703125,349.04998779296875,1382421,2025-02-10
2025-02-17,321.45001220703125,321.45001220703125,331.79998779296875,307.0,318.0,788574,2025-02-17
2025-02-24,300.70001220703125,300.70001220703125,320.1499938964844,295.1000061035156,311.1499938964844,649009,2025-02-24
2025-03-03,322.54998779296875,322.54998779296875,330.0,286.95001220703125,303.0,851969,2025-03-03
2025-03-10,321.04998779296875,321.04998779296875,327.0,311.70001220703125,325.8500061035156,991220,2025-03-10
2025-03-17,343.0,343.0,346.3999938964844,306.0,323.70001220703125,370086,2025-03-17
2025-03-24,361.70001220703125,361.70001220703125,376.8999938964844,312.0,316.0,1807765,2025-03-24
2025-03-31,391.54998779296875,391.54998779296875,395.45001220703125,355.1000061035156,361.70001220703125,1244342,2025-03-31
2025-04-07,394.75,394.75,402.3999938964844,352.3999938964844,365.45001220703125,1048134,2025-04-07
2025-04-14,434.8999938964844,434.8999938964844,464.6000061035156,392.25,395.0,1740034,2025-04-14
2025-04-21,429.1000061035156,429.1000061035156,450.0,405.1000061035156,435.04998779296875,1309934,2025-04-21
2025-04-28,417.1000061035156,417.1000061035156,463.04998779296875,414.3500061035156,422.25,1204240,2025-04-28
2025-05-05,418.25,418.25,457.3999938964844,399.6499938964844,413.1000061035156,821790,2025-05-05
2025-05-12,425.1000061035156,425.1000061035156,468.0,418.0,443.0,1334472,2025-05-12
2025-05-19,460.6000061035156,460.6000061035156,488.0,422.5,426.04998779296875,1316965,2025-05-19
2025-05-26,465.0,465.0,488.45001220703125,434.95001220703125,460.6000061035156,1351074,2025-05-26
2025-06-02,462.3999938964844,462.3999938964844,473.04998779296875,450.79998779296875,469.8500061035156,390406,2025-06-02
2025-06-09,448.20001220703125,448.20001220703125,478.0,434.5,462.3999938964844,459012,2025-06-09
2025-06-16,449.1000061035156,449.1000061035156,460.0,436.5,454.0,359588,2025-06-16
2025-06-23,467.20001220703125,467.20001220703125,469.45001220703125,429.0,449.0,525162,2025-06-23
2025-06-30,497.0,497.0,504.0,465.95001220703125,470.0,1118436,2025-06-30
2025-07-07,532.5,532.5,540.0,484.20001220703125,499.8999938964844,1164535,2025-07-07
2025-07-14,540.0499877929688,540.0499877929688,546.9000244140625,526.75,532.5,187073,2025-07-14
