Date,Adj Close_ETERNAL.NS,Close_ETERNAL.NS,High_ETERNAL.NS,Low_ETERNAL.NS,Open_ETERNAL.NS,Volume_ETERNAL.NS,Date
2025-04-07,217.1999969482422,217.1999969482422,219.19000244140625,194.8000030517578,196.0,409452280,2025-04-07
2025-04-14,231.60000610351562,231.60000610351562,236.13999938964844,218.39999389648438,224.25,141316290,2025-04-14
2025-04-21,228.80999755859375,228.80999755859375,243.4499969482422,227.10000610351562,229.0,246531600,2025-04-21
2025-04-28,234.2899932861328,234.2899932861328,239.5,220.0500030517578,226.0,212831030,2025-04-28
2025-05-05,227.13999938964844,227.13999938964844,241.5,222.0,234.5,169194430,2025-05-05
2025-05-12,245.75999450683594,245.75999450683594,246.94000244140625,231.0500030517578,232.0,170943060,2025-05-12
2025-05-19,237.5500030517578,237.5500030517578,246.58999633789062,224.17999267578125,245.83999633789062,185851160,2025-05-19
2025-05-26,238.30999755859375,238.30999755859375,243.0,221.10000610351562,232.8000030517578,879480230,2025-05-26
2025-06-02,261.8599853515625,261.8599853515625,264.0,236.11000061035156,237.30999755859375,412221680,2025-06-02
2025-06-09,249.0800018310547,249.0800018310547,262.9800109863281,243.25999450683594,261.8999938964844,165690250,2025-06-09
2025-06-16,253.3300018310547,253.3300018310547,254.8000030517578,246.85000610351562,249.0,146980730,2025-06-16
2025-06-23,261.8599853515625,261.8599853515625,266.489990234375,250.0500030517578,250.14999389648438,192219880,2025-06-23
2025-06-30,261.3999938964844,261.3999938964844,265.19000244140625,257.6000061035156,262.0,86229590,2025-06-30
2025-07-07,263.3500061035156,263.3500061035156,267.25,256.20001220703125,261.3999938964844,95901490,2025-07-07
2025-07-14,266.45001220703125,266.45001220703125,277.75,262.29998779296875,264.95001220703125,85274238,2025-07-14
