Date,Adj Close_CHEMPLASTS.NS,Close_CHEMPLASTS.NS,High_CHEMPLASTS.NS,Low_CHEMPLASTS.NS,Open_CHEMPLASTS.NS,Volume_CHEMPLASTS.NS,Date
2021-08-23,543.0999755859375,543.0999755859375,550.0,510.0,550.0,19414058,2021-08-23
2021-08-30,606.9500122070312,606.9500122070312,621.4500122070312,535.4500122070312,541.0,11212242,2021-08-30
2021-09-06,577.0499877929688,577.0499877929688,609.9500122070312,556.25,603.25,2577402,2021-09-06
2021-09-13,542.0499877929688,542.0499877929688,591.4000244140625,533.9000244140625,576.0,4031913,2021-09-13
2021-09-20,607.9000244140625,607.9000244140625,621.4000244140625,531.0999755859375,539.4000244140625,8168047,2021-09-20
2021-09-27,601.0,601.0,641.5,596.75,609.0,5270993,2021-09-27
2021-10-04,801.75,801.75,810.0,605.0,605.0,14636662,2021-10-04
2021-10-11,763.5499877929688,763.5499877929688,826.0,746.0,804.9500122070312,3399531,2021-10-11
2021-10-18,677.0499877929688,677.0499877929688,817.25,656.5999755859375,765.5,3588955,2021-10-18
2021-10-25,650.5999755859375,650.5999755859375,722.0499877929688,630.5,681.5,2961596,2021-10-25
2021-11-01,671.25,671.25,715.0,642.0,715.0,1869661,2021-11-01
2021-11-08,653.8499755859375,653.8499755859375,670.0,600.9000244140625,670.0,2351693,2021-11-08
2021-11-15,609.5999755859375,609.5999755859375,672.5,605.2000122070312,660.0999755859375,2207193,2021-11-15
2021-11-22,614.6500244140625,614.6500244140625,643.9500122070312,574.0,612.0,2893684,2021-11-22
2021-11-29,583.9000244140625,583.9000244140625,612.9000244140625,562.0999755859375,612.9000244140625,1994634,2021-11-29
2021-12-06,587.5,587.5,615.5,571.5,583.0499877929688,1530830,2021-12-06
2021-12-13,538.4000244140625,538.4000244140625,595.5,534.0,589.9500122070312,1475724,2021-12-13
2021-12-20,549.2999877929688,549.2999877929688,568.0,510.0,538.25,1485252,2021-12-20
2021-12-27,552.5,552.5,588.0,523.0,538.2000122070312,1193055,2021-12-27
2022-01-03,593.3499755859375,593.3499755859375,618.0,543.0999755859375,543.0999755859375,3158706,2022-01-03
2022-01-10,609.4000244140625,609.4000244140625,624.0499877929688,584.0,594.0,1814213,2022-01-10
2022-01-17,604.4500122070312,604.4500122070312,629.0,599.0999755859375,614.2000122070312,1792352,2022-01-17
2022-01-24,505.25,505.25,604.25,499.20001220703125,600.0,1799440,2022-01-24
2022-01-31,558.5999755859375,558.5999755859375,593.0,546.5,564.75,3311157,2022-01-31
2022-02-07,539.8499755859375,539.8499755859375,560.0,533.25,557.0,917970,2022-02-07
2022-02-14,523.1500244140625,523.1500244140625,531.9500122070312,492.0,525.0,1515154,2022-02-14
2022-02-21,481.20001220703125,481.20001220703125,520.5,444.25,518.0,2443607,2022-02-21
2022-02-28,532.5999755859375,532.5999755859375,558.0,465.1000061035156,476.20001220703125,2161919,2022-02-28
2022-03-07,534.0999755859375,534.0999755859375,552.0499877929688,521.4000244140625,524.0,1412127,2022-03-07
2022-03-14,589.9000244140625,589.9000244140625,618.7000122070312,545.0499877929688,550.0,4999660,2022-03-14
2022-03-21,629.0,629.0,634.0,587.0,615.0,1695976,2022-03-21
2022-03-28,650.4500122070312,650.4500122070312,685.0,613.9500122070312,633.0,1604000,2022-03-28
2022-04-04,631.5499877929688,631.5499877929688,669.8499755859375,625.0,656.7999877929688,1068656,2022-04-04
2022-04-11,640.7999877929688,640.7999877929688,646.4500122070312,609.0,640.0,824644,2022-04-11
2022-04-18,631.4500122070312,631.4500122070312,651.8499755859375,588.0999755859375,640.7999877929688,847645,2022-04-18
2022-04-25,594.4000244140625,594.4000244140625,638.0,591.0999755859375,624.2000122070312,757695,2022-04-25
2022-05-02,552.9500122070312,552.9500122070312,595.4000244140625,534.8499755859375,587.0,454026,2022-05-02
2022-05-09,515.5,515.5,569.0499877929688,475.8500061035156,560.0,1007707,2022-05-09
2022-05-16,482.8500061035156,482.8500061035156,538.7999877929688,478.8999938964844,516.0,935475,2022-05-16
2022-05-23,488.5,488.5,508.8500061035156,478.0,492.0,668060,2022-05-23
2022-05-30,473.8999938964844,473.8999938964844,514.75,470.0,497.5,1001753,2022-05-30
2022-06-06,468.8999938964844,468.8999938964844,484.8500061035156,466.6499938964844,472.04998779296875,339015,2022-06-06
2022-06-13,391.79998779296875,391.79998779296875,465.45001220703125,385.1499938964844,465.04998779296875,1195349,2022-06-13
2022-06-20,468.5,468.5,472.95001220703125,382.70001220703125,393.8500061035156,2989999,2022-06-20
2022-06-27,476.0,476.0,495.0,439.54998779296875,471.25,1057127,2022-06-27
2022-07-04,484.20001220703125,484.20001220703125,504.3999938964844,463.25,476.0,1013621,2022-07-04
2022-07-11,467.04998779296875,467.04998779296875,485.0,460.0,484.0,375894,2022-07-11
2022-07-18,487.3500061035156,487.3500061035156,496.25,466.79998779296875,470.0,1228885,2022-07-18
2022-07-25,475.70001220703125,475.70001220703125,492.8500061035156,464.5,490.0,1757248,2022-07-25
2022-08-01,486.79998779296875,486.79998779296875,497.29998779296875,469.0,475.8999938964844,1586225,2022-08-01
2022-08-08,460.25,460.25,482.8500061035156,438.25,455.0,1427737,2022-08-08
2022-08-15,427.3999938964844,427.3999938964844,462.70001220703125,425.0,460.25,568326,2022-08-15
2022-08-22,422.0,422.0,431.25,412.0,429.3999938964844,632215,2022-08-22
2022-08-29,422.70001220703125,422.70001220703125,431.95001220703125,414.3500061035156,415.1499938964844,488432,2022-08-29
2022-09-05,433.0,433.0,442.0,409.3500061035156,428.5,970292,2022-09-05
2022-09-12,435.6499938964844,435.6499938964844,439.29998779296875,417.79998779296875,433.0,1885092,2022-09-12
2022-09-19,425.3500061035156,425.3500061035156,451.8999938964844,421.0,437.0,955860,2022-09-19
2022-09-26,419.20001220703125,419.20001220703125,430.8500061035156,402.0,423.70001220703125,1338613,2022-09-26
2022-10-03,410.0,410.0,420.75,405.04998779296875,416.0,355643,2022-10-03
2022-10-10,397.20001220703125,397.20001220703125,414.3999938964844,396.0,407.95001220703125,283806,2022-10-10
2022-10-17,389.45001220703125,389.45001220703125,406.20001220703125,387.6000061035156,400.0,275600,2022-10-17
2022-10-24,386.45001220703125,386.45001220703125,398.5,385.54998779296875,393.8999938964844,182722,2022-10-24
2022-10-31,364.95001220703125,364.95001220703125,389.5,357.20001220703125,389.5,1242570,2022-10-31
2022-11-07,380.3500061035156,380.3500061035156,392.75,359.5,365.75,755622,2022-11-07
2022-11-14,392.70001220703125,392.70001220703125,412.8500061035156,380.0,381.0,693607,2022-11-14
2022-11-21,390.45001220703125,390.45001220703125,397.3999938964844,386.79998779296875,391.5,190421,2022-11-21
2022-11-28,436.75,436.75,444.70001220703125,382.0,388.29998779296875,2778235,2022-11-28
2022-12-05,458.20001220703125,458.20001220703125,475.79998779296875,421.20001220703125,435.0,2000822,2022-12-05
2022-12-12,461.70001220703125,461.70001220703125,500.0,455.04998779296875,458.79998779296875,1457329,2022-12-12
2022-12-19,419.04998779296875,419.04998779296875,488.0,409.0,464.75,2328226,2022-12-19
2022-12-26,459.6499938964844,459.6499938964844,479.95001220703125,412.8500061035156,412.8500061035156,1250349,2022-12-26
2023-01-02,449.79998779296875,449.79998779296875,478.95001220703125,430.3500061035156,430.3500061035156,1735191,2023-01-02
2023-01-09,439.29998779296875,439.29998779296875,453.45001220703125,420.0,452.29998779296875,1263469,2023-01-09
2023-01-16,451.1000061035156,451.1000061035156,464.70001220703125,438.3999938964844,442.29998779296875,1458467,2023-01-16
2023-01-23,432.0,432.0,455.6000061035156,427.3999938964844,455.6000061035156,340795,2023-01-23
2023-01-30,434.29998779296875,434.29998779296875,454.1000061035156,415.0,433.0,617885,2023-01-30
2023-02-06,430.70001220703125,430.70001220703125,445.70001220703125,423.79998779296875,437.20001220703125,469972,2023-02-06
2023-02-13,415.95001220703125,415.95001220703125,433.0,412.8500061035156,425.0,1983005,2023-02-13
2023-02-20,382.8999938964844,382.8999938964844,421.20001220703125,381.04998779296875,420.0,930767,2023-02-20
2023-02-27,402.1499938964844,402.1499938964844,423.20001220703125,373.29998779296875,382.0,2236368,2023-02-27
2023-03-06,388.1499938964844,388.1499938964844,405.29998779296875,384.6000061035156,404.79998779296875,519406,2023-03-06
2023-03-13,363.3500061035156,363.3500061035156,394.95001220703125,359.75,394.95001220703125,2338535,2023-03-13
