Date,Adj Close_BIGBLOC.NS,Close_BIGBLOC.NS,High_BIGBLOC.NS,Low_BIGBLOC.NS,Open_BIGBLOC.NS,Volume_BIGBLOC.NS,Date
2020-07-13,3.5121140480041504,3.5350000858306885,3.5350000858306885,3.109999895095825,3.2850000858306885,1759300,2020-07-13
2020-07-20,4.25725793838501,4.284999847412109,4.494999885559082,3.7100000381469727,3.7100000381469727,219100,2020-07-20
2020-07-27,4.123132228851318,4.150000095367432,4.53000020980835,3.950000047683716,4.25,834230,2020-07-27
2020-08-03,3.9741034507751465,4.0,4.300000190734863,3.9000000953674316,4.159999847412109,233110,2020-08-03
2020-08-10,3.844945192337036,3.869999885559082,4.199999809265137,3.799999952316284,4.199999809265137,796920,2020-08-10
2020-08-17,4.277129173278809,4.304999828338623,4.46999979019165,3.799999952316284,3.950000047683716,476740,2020-08-17
2020-08-24,4.694409370422363,4.724999904632568,4.789999961853027,4.400000095367432,4.400000095367432,135980,2020-08-24
2020-08-31,4.6198954582214355,4.650000095367432,4.949999809265137,4.489999771118164,4.949999809265137,390310,2020-08-31
2020-09-07,4.669571399688721,4.699999809265137,4.954999923706055,4.454999923706055,4.650000095367432,216800,2020-09-07
2020-09-14,4.982532501220703,5.014999866485596,5.400000095367432,4.71999979019165,4.909999847412109,147200,2020-09-14
2020-09-21,5.255752086639404,5.289999961853027,5.295000076293945,4.925000190734863,5.099999904632568,313390,2020-09-21
2020-09-28,5.464392185211182,5.5,5.699999809265137,5.300000190734863,5.5,178450,2020-09-28
2020-10-05,6.60694694519043,6.650000095367432,6.659999847412109,5.425000190734863,5.550000190734863,149570,2020-10-05
2020-10-12,6.716235160827637,6.760000228881836,7.099999904632568,6.400000095367432,6.940000057220459,109960,2020-10-12
2020-10-19,7.347123622894287,7.394999980926514,7.394999980926514,6.425000190734863,7.0,184840,2020-10-19
2020-10-26,7.2825446128845215,7.329999923706055,7.769999980926514,6.869999885559082,7.394999980926514,311660,2020-10-26
2020-11-02,7.401767730712891,7.449999809265137,7.675000190734863,7.079999923706055,7.675000190734863,196870,2020-11-02
2020-11-09,9.49810791015625,9.5600004196167,9.779999732971191,7.5,7.5,276400,2020-11-09
2020-11-16,8.797672271728516,8.854999542236328,9.899999618530273,8.050000190734863,9.395000457763672,295900,2020-11-16
2020-11-23,8.931797981262207,8.989999771118164,9.699999809265137,8.949999809265137,9.295000076293945,62400,2020-11-23
2020-11-30,10.829432487487793,10.899999618530273,10.899999618530273,8.800000190734863,8.989999771118164,368330,2020-11-30
2020-12-07,13.814977645874023,13.904999732971191,13.904999732971191,11.444999694824219,11.444999694824219,2116130,2020-12-07
2020-12-14,17.620182037353516,17.735000610351562,17.735000610351562,14.595000267028809,14.600000381469727,4662620,2020-12-14
2020-12-21,14.356449127197266,14.449999809265137,16.850000381469727,14.449999809265137,16.850000381469727,27720,2020-12-21
2020-12-28,11.12252140045166,11.194999694824219,13.729999542236328,11.194999694824219,13.729999542236328,21620,2020-12-28
2021-01-04,8.613869667053223,8.670000076293945,10.640000343322754,8.670000076293945,10.640000343322754,60530,2021-01-04
2021-01-11,10.124028205871582,10.1899995803833,10.729999542236328,8.239999771118164,8.239999771118164,1977070,2021-01-11
2021-01-18,9.97003173828125,10.03499984741211,10.925000190734863,9.78499984741211,10.100000381469727,900600,2021-01-18
2021-01-25,9.776294708251953,9.84000015258789,10.109999656677246,9.595000267028809,10.100000381469727,346630,2021-01-25
2021-02-01,11.842828750610352,11.920000076293945,11.920000076293945,9.460000038146973,9.84000015258789,2236800,2021-02-01
2021-02-08,12.622746467590332,12.704999923706055,12.765000343322754,11.880000114440918,12.100000381469727,2478760,2021-02-08
2021-02-15,12.816484451293945,12.899999618530273,13.420000076293945,12.795000076293945,12.930000305175781,1930520,2021-02-15
2021-02-22,14.01865005493164,14.109999656677246,14.199999809265137,13.005000114440918,13.010000228881836,2690240,2021-02-22
2021-03-01,13.775236129760742,13.864999771118164,16.149999618530273,13.864999771118164,14.199999809265137,3937410,2021-03-01
2021-03-08,10.079319953918457,10.145000457763672,13.0,10.145000457763672,12.550000190734863,293680,2021-03-08
2021-03-15,10.526407241821289,10.595000267028809,10.595000267028809,8.704999923706055,9.640000343322754,981900,2021-03-15
2021-03-22,12.140886306762695,12.220000267028809,12.859999656677246,11.114999771118164,11.119999885559082,3304830,2021-03-22
2021-03-29,10.412151336669922,10.479999542236328,12.220000267028809,10.479999542236328,12.220000267028809,89320,2021-03-29
2021-04-05,9.209985733032227,9.270000457763672,10.295000076293945,9.069999694824219,9.960000038146973,817110,2021-04-05
2021-04-12,8.295941352844238,8.350000381469727,9.319999694824219,7.949999809265137,9.300000190734863,480460,2021-04-12
2021-04-19,8.345616340637207,8.399999618530273,8.550000190734863,7.934999942779541,8.350000381469727,291280,2021-04-19
