Date,Adj Close_INDIANCARD.NS,Close_INDIANCARD.NS,High_INDIANCARD.NS,Low_INDIANCARD.NS,Open_INDIANCARD.NS,Volume_INDIANCARD.NS,Date
2020-07-13,95.0,95.0,97.05000305175781,92.0,94.0,1362,2020-07-13
2020-07-20,91.3499984741211,91.3499984741211,97.80000305175781,89.94999694824219,90.5,5407,2020-07-20
2020-07-27,99.5,99.5,108.0,88.0999984741211,91.0,31119,2020-07-27
2020-08-03,92.5,92.5,103.30000305175781,91.30000305175781,103.30000305175781,20306,2020-08-03
2020-08-10,91.75,91.75,95.0,88.6500015258789,92.0,8127,2020-08-10
2020-08-17,116.9000015258789,116.9000015258789,116.9000015258789,90.25,92.5,72581,2020-08-17
2020-08-24,103.1500015258789,103.1500015258789,133.6999969482422,101.0,120.0,85520,2020-08-24
2020-08-31,97.94999694824219,97.94999694824219,105.94999694824219,94.30000305175781,105.0,7729,2020-08-31
2020-09-07,96.44999694824219,96.44999694824219,100.0,91.3499984741211,95.0,9012,2020-09-07
2020-09-14,95.3499984741211,95.3499984741211,105.0,94.5,98.75,7093,2020-09-14
2020-09-21,96.05000305175781,96.05000305175781,102.69999694824219,93.5,99.94999694824219,9342,2020-09-21
2020-09-28,98.0,98.0,101.0,95.1500015258789,98.5,2718,2020-09-28
2020-10-05,95.44999694824219,95.44999694824219,99.9000015258789,94.30000305175781,97.0,6739,2020-10-05
2020-10-12,93.8499984741211,93.8499984741211,97.69999694824219,90.0,95.55000305175781,4534,2020-10-12
2020-10-19,95.19999694824219,95.19999694824219,99.0,91.30000305175781,93.8499984741211,5864,2020-10-19
2020-10-26,94.44999694824219,94.44999694824219,97.5,92.55000305175781,92.55000305175781,851,2020-10-26
2020-11-02,94.3499984741211,94.3499984741211,98.5999984741211,93.05000305175781,97.30000305175781,2978,2020-11-02
2020-11-09,98.55000305175781,98.55000305175781,99.5,94.0,96.5,11659,2020-11-09
2020-11-16,96.94999694824219,96.94999694824219,100.0,93.25,96.0,9135,2020-11-16
2020-11-23,97.9000015258789,97.9000015258789,104.94999694824219,94.05000305175781,98.0,23357,2020-11-23
2020-11-30,102.55000305175781,102.55000305175781,104.44999694824219,96.0,97.9000015258789,18551,2020-11-30
2020-12-07,105.69999694824219,105.69999694824219,108.0,100.0999984741211,102.19999694824219,8922,2020-12-07
2020-12-14,125.0999984741211,125.0999984741211,145.0,105.5,105.5,115436,2020-12-14
2020-12-21,129.89999389648438,129.89999389648438,132.0,111.05000305175781,122.0,23937,2020-12-21
2020-12-28,128.5500030517578,128.5500030517578,139.0,118.0,130.1999969482422,23085,2020-12-28
2021-01-04,146.0,146.0,155.5,126.05000305175781,133.5,74981,2021-01-04
2021-01-11,135.14999389648438,135.14999389648438,152.0,134.5500030517578,152.0,17083,2021-01-11
2021-01-18,130.85000610351562,130.85000610351562,135.9499969482422,125.55000305175781,135.10000610351562,12002,2021-01-18
2021-01-25,133.9499969482422,133.9499969482422,138.75,123.69999694824219,128.25,6785,2021-01-25
2021-02-01,137.5,137.5,148.89999389648438,128.89999389648438,138.6999969482422,33038,2021-02-01
2021-02-08,141.0500030517578,141.0500030517578,150.0,135.0500030517578,142.75,27674,2021-02-08
2021-02-15,134.39999389648438,134.39999389648438,141.0,133.75,140.0,8699,2021-02-15
2021-02-22,135.4499969482422,135.4499969482422,159.9499969482422,132.14999389648438,139.8000030517578,10565,2021-02-22
2021-03-01,145.85000610351562,145.85000610351562,148.0,125.30000305175781,135.0500030517578,34009,2021-03-01
2021-03-08,145.75,145.75,160.0,144.5,148.39999389648438,21825,2021-03-08
2021-03-15,135.1999969482422,135.1999969482422,160.0,134.0,144.0,15702,2021-03-15
2021-03-22,131.75,131.75,146.8000030517578,128.85000610351562,133.0500030517578,17526,2021-03-22
2021-03-29,134.0,134.0,142.0,130.10000610351562,131.75,10707,2021-03-29
2021-04-05,133.9499969482422,133.9499969482422,136.0,130.10000610351562,135.9499969482422,28168,2021-04-05
2021-04-12,130.35000610351562,130.35000610351562,138.9499969482422,123.3499984741211,133.0500030517578,7801,2021-04-12
2021-04-19,127.8499984741211,127.8499984741211,132.5500030517578,123.0999984741211,127.0,11995,2021-04-19
2021-04-26,129.39999389648438,129.39999389648438,136.5,117.3499984741211,127.5,23917,2021-04-26
2021-05-03,132.10000610351562,132.10000610351562,143.5,125.5,131.6999969482422,22873,2021-05-03
2021-05-10,154.60000610351562,154.60000610351562,183.0,130.10000610351562,135.0,159350,2021-05-10
