Date,Adj Close_SCI.NS,Close_SCI.NS,High_SCI.NS,Low_SCI.NS,Open_SCI.NS,Volume_SCI.NS,Date
2020-07-13,60.397430419921875,61.849998474121094,64.75,59.099998474121094,59.54999923706055,15876446,2020-07-13
2020-07-20,59.225616455078125,60.650001525878906,64.5,60.25,62.400001525878906,11758796,2020-07-20
2020-07-27,52.73179244995117,54.0,61.45000076293945,53.79999923706055,61.0,8261141,2020-07-27
2020-08-03,55.612510681152344,56.95000076293945,58.45000076293945,52.70000076293945,54.0,8042381,2020-08-03
2020-08-10,57.66318893432617,59.04999923706055,62.349998474121094,57.849998474121094,61.25,14106453,2020-08-10
2020-08-17,61.17864227294922,62.650001525878906,63.70000076293945,58.400001525878906,59.79999923706055,13844074,2020-08-17
2020-08-24,60.20212936401367,61.650001525878906,66.80000305175781,61.099998474121094,66.0,11675323,2020-08-24
2020-08-31,56.83315658569336,58.20000076293945,62.400001525878906,57.75,61.650001525878906,4749571,2020-08-31
2020-09-07,55.612510681152344,56.95000076293945,59.400001525878906,56.0,58.400001525878906,4125069,2020-09-07
2020-09-14,56.94906997680664,57.54999923706055,58.5,55.400001525878906,57.099998474121094,4280870,2020-09-14
2020-09-21,52.79292297363281,53.349998474121094,57.54999923706055,51.54999923706055,57.099998474121094,4953620,2020-09-21
2020-09-28,52.347625732421875,52.900001525878906,54.849998474121094,52.20000076293945,53.599998474121094,2952455,2020-09-28
2020-10-05,52.1002311706543,52.650001525878906,54.29999923706055,51.599998474121094,52.900001525878906,5882634,2020-10-05
2020-10-12,51.50649642944336,52.04999923706055,53.099998474121094,49.95000076293945,52.79999923706055,4231959,2020-10-12
2020-10-19,52.1002311706543,52.650001525878906,54.70000076293945,51.599998474121094,52.95000076293945,7340573,2020-10-19
2020-10-26,50.61589431762695,51.150001525878906,53.25,50.5,52.95000076293945,2105740,2020-10-26
2020-11-02,51.160152435302734,51.70000076293945,52.70000076293945,49.79999923706055,51.45000076293945,4912276,2020-11-02
2020-11-09,52.14971160888672,52.70000076293945,54.900001525878906,50.79999923706055,52.0,8805270,2020-11-09
2020-11-16,52.199188232421875,52.75,53.5,51.849998474121094,52.25,4738124,2020-11-16
2020-11-23,55.415252685546875,56.0,57.900001525878906,51.849998474121094,53.0,15981747,2020-11-23
2020-11-30,63.875972747802734,64.55000305175781,66.05000305175781,56.0,56.0,23337216,2020-11-30
2020-12-07,83.12287139892578,84.0,89.5,65.0,65.0,78290761,2020-12-07
2020-12-14,85.59677124023438,86.5,87.80000305175781,81.0999984741211,83.5,23937668,2020-12-14
2020-12-21,88.51596069335938,89.44999694824219,93.44999694824219,80.0999984741211,91.80000305175781,42181777,2020-12-21
2020-12-28,87.52640533447266,88.44999694824219,91.80000305175781,84.0,90.0,13307551,2020-12-28
2021-01-04,87.1305923461914,88.05000305175781,93.69999694824219,87.6500015258789,89.5,13433648,2021-01-04
2021-01-11,84.85460662841797,85.75,88.5,81.19999694824219,88.44999694824219,6638887,2021-01-11
2021-01-18,83.41974639892578,84.30000305175781,89.0,83.30000305175781,85.69999694824219,6930361,2021-01-18
2021-01-25,84.35982513427734,85.25,86.75,82.30000305175781,84.94999694824219,5415965,2021-01-25
2021-02-01,88.07067108154297,89.0,90.80000305175781,85.0999984741211,86.6500015258789,13569162,2021-02-01
2021-02-08,86.78423309326172,87.69999694824219,90.5999984741211,84.25,87.0,16279829,2021-02-08
2021-02-15,95.88816833496094,96.9000015258789,103.0,84.55000305175781,87.80000305175781,38740607,2021-02-15
2021-02-22,98.95580291748047,100.0,104.80000305175781,91.19999694824219,96.5,33819790,2021-02-22
2021-03-01,127.603515625,128.9499969482422,134.64999389648438,101.0999984741211,101.94999694824219,95823153,2021-03-01
2021-03-08,119.93443298339844,121.19999694824219,132.85000610351562,118.3499984741211,130.14999389648438,20000780,2021-03-08
2021-03-15,105.9816665649414,107.0999984741211,126.0,99.0,122.05000305175781,24768781,2021-03-15
2021-03-22,113.25491333007812,114.44999694824219,123.4000015258789,105.44999694824219,107.6500015258789,31489213,2021-03-22
2021-03-29,112.95805358886719,114.1500015258789,116.5,110.0,114.44999694824219,5947326,2021-03-29
2021-04-05,110.83050537109375,112.0,118.0,109.0999984741211,113.0,12557733,2021-04-05
2021-04-12,102.81507873535156,103.9000015258789,109.0,100.0,109.0,9576372,2021-04-12
2021-04-19,100.78648376464844,101.8499984741211,104.6500015258789,97.0,99.19999694824219,9650450,2021-04-19
