Date,Adj Close_ICRA.NS,Close_ICRA.NS,High_ICRA.NS,Low_ICRA.NS,Open_ICRA.NS,Volume_ICRA.NS,Date
2020-07-13,2453.162109375,2512.85009765625,2799.89990234375,2495.800048828125,2550.0,28989,2020-07-13
2020-07-20,2483.1328125,2543.550048828125,2574.0,2493.0,2510.0,26102,2020-07-20
2020-07-27,2449.989501953125,2509.60009765625,2599.0,2479.800048828125,2526.35009765625,32986,2020-07-27
2020-08-03,2493.822998046875,2554.5,2570.0,2484.0,2485.0,16280,2020-08-03
2020-08-10,2568.993896484375,2631.5,2645.0,2535.050048828125,2565.949951171875,7522,2020-08-10
2020-08-17,2593.64404296875,2656.75,2724.949951171875,2549.75,2638.89990234375,11014,2020-08-17
2020-08-24,2739.20263671875,2805.85009765625,3002.10009765625,2715.050048828125,2790.0,45637,2020-08-24
2020-08-31,2682.62890625,2747.89990234375,2874.89990234375,2722.0,2865.0,9928,2020-08-31
2020-09-07,2692.391357421875,2757.89990234375,2850.0,2713.5,2784.949951171875,3613,2020-09-07
2020-09-14,2724.656494140625,2790.949951171875,2825.0,2711.0,2824.949951171875,22498,2020-09-14
2020-09-21,2761.163818359375,2800.550048828125,2829.0,2701.050048828125,2752.0,11068,2020-09-21
2020-09-28,2791.086669921875,2830.89990234375,2861.5,2777.0,2814.39990234375,3649,2020-09-28
2020-10-05,2792.5166015625,2832.35009765625,2860.0,2750.0,2844.949951171875,35836,2020-10-05
2020-10-12,2670.95068359375,2709.050048828125,2890.75,2690.0,2846.35009765625,3484,2020-10-12
2020-10-19,2678.148193359375,2716.35009765625,2797.0,2700.0,2710.0,3979,2020-10-19
2020-10-26,2769.396240234375,2808.89990234375,2898.0,2600.0,2720.0,5428,2020-10-26
2020-11-02,2644.133056640625,2681.85009765625,2847.0,2647.0,2800.0,12062,2020-11-02
2020-11-09,2616.4775390625,2653.800048828125,2749.949951171875,2530.0,2749.949951171875,5109,2020-11-09
2020-11-16,2596.413818359375,2633.449951171875,2789.949951171875,2600.0,2622.39990234375,13893,2020-11-16
2020-11-23,2574.1806640625,2610.89990234375,2673.25,2554.0,2646.449951171875,17029,2020-11-23
2020-11-30,2822.784912109375,2863.050048828125,2925.0,2610.89990234375,2610.89990234375,40573,2020-11-30
2020-12-07,2738.043701171875,2777.10009765625,2975.0,2700.0,2834.89990234375,35733,2020-12-07
2020-12-14,2688.54931640625,2726.89990234375,2810.0,2640.0,2755.10009765625,27908,2020-12-14
