Date,Adj Close_PRIVISCL.NS,Close_PRIVISCL.NS,High_PRIVISCL.NS,Low_PRIVISCL.NS,Open_PRIVISCL.NS,Volume_PRIVISCL.NS,Date
2020-07-13,476.7997741699219,479.97930908203125,493.8699951171875,466.6658020019531,478.0553894042969,215611,2020-07-13
2020-07-20,467.70257568359375,470.82147216796875,495.2167663574219,458.0851135253906,481.0182189941406,240236,2020-07-20
2020-07-27,460.0578918457031,463.12579345703125,494.83197021484375,427.34088134765625,470.82147216796875,733806,2020-07-27
2020-08-03,496.2555236816406,499.5648193359375,510.9928894042969,452.5057373046875,461.16339111328125,399906,2020-08-03
2020-08-10,521.2153930664062,524.691162109375,581.8316040039062,502.9508972167969,504.2976379394531,795764,2020-08-10
2020-08-17,549.6843872070312,553.3499755859375,553.3499755859375,500.6499938964844,530.2320556640625,569755,2020-08-17
2020-08-24,548.9890747070312,552.6500244140625,591.8499755859375,540.0,578.0,276243,2020-08-24
2020-08-31,556.7373657226562,560.4500122070312,569.8499755859375,505.0,559.9000244140625,101992,2020-08-31
2020-09-07,556.5386962890625,560.25,568.5499877929688,539.0999755859375,551.0,215226,2020-09-07
2020-09-14,573.9227905273438,577.75,608.0,562.0,562.7000122070312,287279,2020-09-14
2020-09-21,538.90625,542.5,589.5499877929688,520.0499877929688,575.3499755859375,103863,2020-09-21
2020-09-28,558.4757690429688,562.2000122070312,570.0,540.4500122070312,545.7000122070312,70129,2020-09-28
2020-10-05,555.5453491210938,559.25,581.0,555.0,563.9500122070312,110018,2020-10-05
2020-10-12,526.7870483398438,530.2999877929688,573.6500244140625,526.2000122070312,565.0,66978,2020-10-12
2020-10-19,539.6512451171875,543.25,566.0,528.5999755859375,537.7999877929688,52359,2020-10-19
2020-10-26,520.4791259765625,523.9500122070312,557.0,510.1000061035156,549.9500122070312,68367,2020-10-26
2020-11-02,527.24951171875,529.2999877929688,557.0,515.0499877929688,529.7000122070312,126429,2020-11-02
