Date,Adj Close_HIKAL.NS,Close_HIKAL.NS,High_HIKAL.NS,Low_HIKAL.NS,Open_HIKAL.NS,Volume_HIKAL.NS,Date
2020-07-13,123.143798828125,125.94999694824219,128.9499969482422,120.8499984741211,121.5,2436606,2020-07-13
2020-07-20,134.43646240234375,137.5,140.6999969482422,124.0,126.0,7371331,2020-07-20
2020-07-27,152.1332244873047,155.60000610351562,159.60000610351562,135.1999969482422,137.9499969482422,16851764,2020-07-27
2020-08-03,135.26756286621094,138.35000610351562,167.64999389648438,130.0,155.89999389648438,15812739,2020-08-03
2020-08-10,131.74771118164062,134.75,142.3000030517578,133.0,139.75,2539593,2020-08-10
2020-08-17,149.20001220703125,152.60000610351562,157.5,134.1999969482422,136.0,9423983,2020-08-17
2020-08-24,169.53659057617188,173.39999389648438,182.4499969482422,150.6999969482422,153.4499969482422,17258419,2020-08-24
2020-08-31,158.29281616210938,161.89999389648438,176.4499969482422,156.0,176.4499969482422,4180898,2020-08-31
2020-09-07,153.11090087890625,156.60000610351562,166.1999969482422,151.4499969482422,162.1999969482422,2888640,2020-09-07
2020-09-14,185.55599975585938,189.5500030517578,195.0,159.9499969482422,160.3000030517578,10827416,2020-09-14
2020-09-21,170.4315643310547,174.10000610351562,190.85000610351562,152.64999389648438,188.5,8504665,2020-09-21
2020-09-28,187.0244140625,191.0500030517578,204.5500030517578,175.0,175.0,11696002,2020-09-28
2020-10-05,173.22149658203125,176.9499969482422,193.0,175.60000610351562,193.0,4126461,2020-10-05
2020-10-12,169.4036865234375,173.0500030517578,184.75,170.25,176.9499969482422,3280562,2020-10-12
2020-10-19,168.5715789794922,172.1999969482422,176.75,162.3000030517578,174.35000610351562,3301807,2020-10-19
2020-10-26,160.20172119140625,163.64999389648438,175.85000610351562,162.0,173.14999389648438,1933308,2020-10-26
2020-11-02,163.5790557861328,167.10000610351562,178.6999969482422,161.14999389648438,165.0,3688526,2020-11-02
2020-11-09,177.82244873046875,181.64999389648438,183.5500030517578,168.5,168.85000610351562,4794788,2020-11-09
2020-11-16,164.7537384033203,168.3000030517578,184.89999389648438,168.0500030517578,180.5500030517578,3463337,2020-11-16
2020-11-23,168.27789306640625,171.89999389648438,174.60000610351562,168.75,169.3000030517578,2263263,2020-11-23
2020-11-30,167.88632202148438,171.5,178.60000610351562,170.5,171.89999389648438,2343185,2020-11-30
