Date,Adj Close_DOLLAR.NS,Close_DOLLAR.NS,High_DOLLAR.NS,Low_DOLLAR.NS,Open_DOLLAR.NS,Volume_DOLLAR.NS,Date
2020-07-13,127.94197082519531,133.0500030517578,137.89999389648438,131.0,136.0500030517578,257872,2020-07-13
2020-07-20,126.11488342285156,131.14999389648438,135.9499969482422,128.10000610351562,133.8000030517578,277485,2020-07-20
2020-07-27,120.92221069335938,125.75,132.9499969482422,125.0,132.9499969482422,353066,2020-07-27
2020-08-03,123.90320587158203,128.85000610351562,146.0,125.0,125.75,1093902,2020-08-03
2020-08-10,136.11563110351562,141.5500030517578,148.89999389648438,129.10000610351562,130.85000610351562,2500462,2020-08-10
2020-08-17,150.01084899902344,156.0,161.89999389648438,139.6999969482422,142.89999389648438,1820941,2020-08-17
2020-08-24,149.3377227783203,155.3000030517578,164.8000030517578,151.0,157.64999389648438,925007,2020-08-24
2020-08-31,139.85134887695312,143.85000610351562,158.4499969482422,140.25,158.4499969482422,735039,2020-08-31
2020-09-07,137.27500915527344,141.1999969482422,148.5,138.5,143.10000610351562,259585,2020-09-07
2020-09-14,138.6846923828125,142.64999389648438,148.35000610351562,141.75,143.0,267609,2020-09-14
2020-09-21,129.40016174316406,133.10000610351562,145.5,129.5,145.5,327004,2020-09-21
2020-09-28,139.70550537109375,143.6999969482422,144.75,135.3000030517578,137.9499969482422,389804,2020-09-28
2020-10-05,131.39317321777344,135.14999389648438,146.89999389648438,134.0,146.0,202150,2020-10-05
2020-10-12,129.10848999023438,132.8000030517578,137.89999389648438,130.5,136.0,185521,2020-10-12
2020-10-19,133.0945281982422,136.89999389648438,145.39999389648438,132.25,135.10000610351562,638234,2020-10-19
2020-10-26,131.68482971191406,135.4499969482422,138.89999389648438,133.5,138.89999389648438,137918,2020-10-26
2020-11-02,136.1083526611328,140.0,142.75,135.0500030517578,138.6999969482422,467556,2020-11-02
2020-11-09,155.74685668945312,160.1999969482422,164.5,144.10000610351562,146.39999389648438,2645652,2020-11-09
2020-11-16,183.6004638671875,188.85000610351562,191.6999969482422,158.10000610351562,158.10000610351562,1192283,2020-11-16
2020-11-23,188.26702880859375,193.64999389648438,197.6999969482422,182.4499969482422,193.89999389648438,866639,2020-11-23
2020-11-30,185.15597534179688,190.4499969482422,195.89999389648438,186.25,193.64999389648438,508030,2020-11-30
2020-12-07,174.94786071777344,179.9499969482422,191.89999389648438,177.0,190.4499969482422,405416,2020-12-07
2020-12-14,224.676025390625,231.10000610351562,233.8000030517578,178.5,179.9499969482422,5237620,2020-12-14
2020-12-21,218.84280395507812,225.10000610351562,230.89999389648438,192.6999969482422,230.0,705069,2020-12-21
2020-12-28,236.19662475585938,242.9499969482422,255.5,225.0,230.0,1984584,2020-12-28
2021-01-04,227.10653686523438,233.60000610351562,248.64999389648438,229.10000610351562,244.5,854779,2021-01-04
2021-01-11,228.90509033203125,235.4499969482422,249.4499969482422,232.60000610351562,238.6999969482422,905962,2021-01-11
2021-01-18,221.17608642578125,227.5,238.0,220.0,235.4499969482422,544672,2021-01-18
2021-01-25,217.09283447265625,223.3000030517578,235.0,206.0,231.39999389648438,388955,2021-01-25
2021-02-01,250.43939208984375,257.6000061035156,274.0,220.25,225.5500030517578,1418992,2021-02-01
2021-02-08,255.68927001953125,263.0,268.0,253.0500030517578,262.5,932038,2021-02-08
2021-02-15,247.66860961914062,254.75,266.0,248.25,265.0,803215,2021-02-15
2021-02-22,247.5227813720703,254.60000610351562,263.79998779296875,239.0,254.0,508282,2021-02-22
2021-03-01,247.2797393798828,254.35000610351562,262.75,251.35000610351562,252.6999969482422,244946,2021-03-01
2021-03-08,253.40460205078125,260.6499938964844,283.79998779296875,255.89999389648438,256.5,861932,2021-03-08
2021-03-15,238.48129272460938,245.3000030517578,263.75,229.25,262.6000061035156,439149,2021-03-15
2021-03-22,232.06475830078125,238.6999969482422,249.8000030517578,230.0,247.85000610351562,304375,2021-03-22
2021-03-29,228.41900634765625,234.9499969482422,241.25,227.9499969482422,238.6999969482422,214518,2021-03-29
2021-04-05,253.93931579589844,261.20001220703125,264.79998779296875,226.5,235.0,503588,2021-04-05
2021-04-12,239.50210571289062,246.35000610351562,259.8999938964844,236.14999389648438,257.5,388690,2021-04-12
2021-04-19,231.67588806152344,238.3000030517578,244.35000610351562,235.25,236.25,128085,2021-04-19
2021-04-26,232.69668579101562,239.35000610351562,249.0,235.0,239.5,157547,2021-04-26
2021-05-03,237.89796447753906,244.6999969482422,256.0,236.5,239.3000030517578,506972,2021-05-03
2021-05-10,236.48828125,243.25,256.0,242.5,249.0,243786,2021-05-10
2021-05-17,262.3974609375,269.8999938964844,278.8999938964844,242.9499969482422,243.0,1245861,2021-05-17
2021-05-24,333.8543395996094,343.3999938964844,366.5,264.0,264.0,7308237,2021-05-24
2021-05-31,317.326904296875,326.3999938964844,347.5,308.3500061035156,314.0,3253513,2021-05-31
2021-06-07,315.9658508300781,325.0,333.3999938964844,320.04998779296875,329.6499938964844,654485,2021-06-07
2021-06-14,305.3201904296875,314.04998779296875,329.0,303.3500061035156,321.04998779296875,1037237,2021-06-14
2021-06-21,299.3898010253906,307.95001220703125,323.0,305.6000061035156,309.5,419951,2021-06-21
