Date,Adj Close_CENTENKA.NS,Close_CENTENKA.NS,High_CENTENKA.NS,Low_CENTENKA.NS,Open_CENTENKA.NS,Volume_CENTENKA.NS,Date
2020-07-13,154.76016235351562,174.89999389648438,179.3000030517578,172.3000030517578,175.5,122765,2020-07-13
2020-07-20,159.31715393066406,180.0500030517578,184.0500030517578,175.14999389648438,177.14999389648438,231711,2020-07-20
2020-07-27,144.40744018554688,163.1999969482422,182.0,161.60000610351562,182.0,251836,2020-07-27
2020-08-03,147.54563903808594,159.35000610351562,165.0500030517578,153.75,163.0,283059,2020-08-03
2020-08-10,154.44375610351562,166.8000030517578,171.75,159.3000030517578,160.85000610351562,152838,2020-08-10
2020-08-17,172.77699279785156,186.60000610351562,196.89999389648438,163.0,168.75,1054814,2020-08-17
2020-08-24,165.8325653076172,179.10000610351562,191.4499969482422,178.1999969482422,187.0,278257,2020-08-24
2020-08-31,154.72154235839844,167.10000610351562,183.8000030517578,165.0,183.8000030517578,115471,2020-08-31
2020-09-07,167.7770233154297,181.1999969482422,186.75,165.25,168.8000030517578,901514,2020-09-07
2020-09-14,163.56405639648438,176.64999389648438,191.0,176.1999969482422,183.0,176637,2020-09-14
2020-09-21,158.1011199951172,170.75,178.5,163.10000610351562,176.64999389648438,103834,2020-09-21
2020-09-28,163.28628540039062,176.35000610351562,179.8000030517578,170.3000030517578,173.9499969482422,91896,2020-09-28
2020-10-05,158.7955780029297,171.5,180.0,170.25,178.5500030517578,108597,2020-10-05
2020-10-12,154.81410217285156,167.1999969482422,174.5500030517578,164.0500030517578,173.14999389648438,77492,2020-10-12
2020-10-19,161.99000549316406,174.9499969482422,177.64999389648438,166.5,168.0,125966,2020-10-19
2020-10-26,165.87887573242188,179.14999389648438,183.5,170.0500030517578,178.39999389648438,414236,2020-10-26
2020-11-02,160.09185791015625,172.89999389648438,181.0,157.8000030517578,181.0,120361,2020-11-02
2020-11-09,163.28628540039062,176.35000610351562,181.8000030517578,172.0,172.5,113742,2020-11-09
2020-11-16,175.13807678222656,189.14999389648438,195.0,172.9499969482422,174.14999389648438,424239,2020-11-16
2020-11-23,182.5454559326172,197.14999389648438,202.3000030517578,186.0,191.0,602611,2020-11-23
2020-11-30,184.90655517578125,199.6999969482422,215.0,196.0,197.14999389648438,598299,2020-11-30
2020-12-07,192.03614807128906,207.39999389648438,210.8000030517578,198.6999969482422,199.6999969482422,346218,2020-12-07
2020-12-14,200.1842803955078,216.1999969482422,226.5,204.60000610351562,207.89999389648438,583704,2020-12-14
2020-12-21,191.5731964111328,206.89999389648438,217.0,191.10000610351562,213.0,204249,2020-12-21
2020-12-28,196.0639190673828,211.75,215.5,204.5500030517578,207.89999389648438,274657,2020-12-28
2021-01-04,203.00833129882812,219.25,225.89999389648438,206.6999969482422,213.0,431495,2021-01-04
2021-01-11,199.3046417236328,215.25,226.0,212.25,225.0,244452,2021-01-11
2021-01-18,210.73977661132812,227.60000610351562,242.0,207.60000610351562,216.0,884178,2021-01-18
2021-01-25,207.4527587890625,224.0500030517578,231.5,218.0,231.5,148548,2021-01-25
2021-02-01,233.84153747558594,252.5500030517578,259.79998779296875,222.0,225.25,1215476,2021-02-01
2021-02-08,233.65634155273438,252.35000610351562,269.95001220703125,242.0,255.0,512620,2021-02-08
2021-02-15,242.26739501953125,261.6499938964844,272.70001220703125,245.25,254.5500030517578,546520,2021-02-15
2021-02-22,231.0637664794922,249.5500030517578,269.8999938964844,219.89999389648438,262.3999938964844,367345,2021-02-22
2021-03-01,248.37850952148438,268.25,276.8500061035156,250.9499969482422,251.0500030517578,460364,2021-03-01
2021-03-08,236.80445861816406,255.75,272.8999938964844,251.60000610351562,272.8999938964844,322360,2021-03-08
2021-03-15,243.2396240234375,262.70001220703125,286.25,245.0,259.6499938964844,952588,2021-03-15
2021-03-22,232.6841278076172,251.3000030517578,266.0,227.3000030517578,264.0,342944,2021-03-22
2021-03-29,238.79519653320312,257.8999938964844,259.79998779296875,247.0,251.3000030517578,75247,2021-03-29
2021-04-05,243.8414764404297,263.3500061035156,266.45001220703125,246.8000030517578,258.0,140199,2021-04-05
2021-04-12,233.10079956054688,251.75,260.8500061035156,245.1999969482422,259.1000061035156,148685,2021-04-12
2021-04-19,226.85081481933594,245.0,253.0,241.0,247.0,111095,2021-04-19
2021-04-26,233.5174560546875,252.1999969482422,261.0,243.64999389648438,244.60000610351562,174002,2021-04-26
2021-05-03,251.29515075683594,271.3999938964844,277.0,246.0500030517578,246.0500030517578,383874,2021-05-03
2021-05-10,252.54515075683594,272.75,290.0,269.0,277.0,404884,2021-05-10
2021-05-17,271.3413391113281,293.04998779296875,314.0,274.5,275.6499938964844,1711928,2021-05-17
2021-05-24,303.00787353515625,327.25,336.3500061035156,291.75,293.1000061035156,1538992,2021-05-24
2021-05-31,370.60015869140625,400.25,420.95001220703125,324.5,328.70001220703125,5710393,2021-05-31
2021-06-07,364.0724182128906,393.20001220703125,413.5,387.95001220703125,400.0,1021069,2021-06-07
2021-06-14,364.90576171875,394.1000061035156,412.3999938964844,383.29998779296875,396.0,727765,2021-06-14
2021-06-21,375.6001281738281,405.6499938964844,428.70001220703125,384.0,384.0,1144123,2021-06-21
2021-06-28,367.4983215332031,396.8999938964844,411.25,392.1499938964844,408.3999938964844,520009,2021-06-28
2021-07-05,381.989013671875,412.54998779296875,433.79998779296875,394.20001220703125,398.0,770771,2021-07-05
2021-07-12,421.61846923828125,455.3500061035156,478.0,413.75,414.8999938964844,2997499,2021-07-12
2021-07-19,401.8500061035156,434.0,459.79998779296875,430.0,455.3999938964844,614808,2021-07-19
2021-07-26,447.9609069824219,483.79998779296875,514.0,433.1499938964844,436.0,2038355,2021-07-26
2021-08-02,458.0776672363281,486.20001220703125,517.9000244140625,458.6499938964844,489.8999938964844,1187741,2021-08-02
2021-08-09,422.9822082519531,448.95001220703125,490.0,417.0,487.0,791194,2021-08-09
2021-08-16,393.1628723144531,417.29998779296875,453.70001220703125,415.0,453.5,204982,2021-08-16
2021-08-23,400.9356994628906,425.54998779296875,433.1499938964844,394.0,417.0,278747,2021-08-23
2021-08-30,425.7615966796875,451.8999938964844,468.0,426.0,429.6499938964844,330421,2021-08-30
2021-09-06,413.60772705078125,439.0,459.6000061035156,431.29998779296875,456.5,266360,2021-09-06
2021-09-13,430.28399658203125,456.70001220703125,474.75,432.3500061035156,435.5,366283,2021-09-13
2021-09-20,422.2756042480469,448.20001220703125,464.79998779296875,430.0,459.8999938964844,364040,2021-09-20
2021-09-27,429.341796875,455.70001220703125,458.0,438.0,452.25,226271,2021-09-27
2021-10-04,436.3608703613281,463.1499938964844,485.29998779296875,451.5,463.0,314966,2021-10-04
2021-10-11,432.63934326171875,459.20001220703125,485.0,455.8999938964844,475.0,225848,2021-10-11
2021-10-18,409.2738037109375,434.3999938964844,473.0,426.8500061035156,460.0,244643,2021-10-18
2021-10-25,410.87548828125,436.1000061035156,459.70001220703125,412.0,428.0,511952,2021-10-25
2021-11-01,413.3251037597656,438.70001220703125,453.6499938964844,436.75,447.8500061035156,91808,2021-11-01
