Date,Adj Close_BAYERCROP.NS,Close_BAYERCROP.NS,High_BAYERCROP.NS,Low_BAYERCROP.NS,Open_BAYERCROP.NS,Volume_BAYERCROP.NS,Date
2020-07-13,5130.93212890625,5566.35009765625,5700.0,5462.0498046875,5602.0,80426,2020-07-13
2020-07-20,5312.56884765625,5763.39990234375,5905.0,5580.0,5580.0,146939,2020-07-20
2020-07-27,5118.9033203125,5553.2998046875,5888.0,5532.0,5792.9501953125,122695,2020-07-27
2020-08-03,5682.376953125,6137.85009765625,6450.0,5492.10009765625,5560.0,287422,2020-08-03
2020-08-10,5617.57080078125,6067.85009765625,6250.0,5795.0,6248.0,205885,2020-08-10
2020-08-17,5450.04931640625,5886.89990234375,6195.0,5870.2998046875,6088.0,135195,2020-08-17
2020-08-24,5570.9580078125,6017.5,6375.0,5890.0,5928.0,261586,2020-08-24
2020-08-31,5437.59716796875,5873.4501953125,6074.85009765625,5611.0498046875,6074.85009765625,106828,2020-08-31
2020-09-07,5464.908203125,5902.9501953125,5950.0,5562.60009765625,5920.0,94923,2020-09-07
2020-09-14,5880.82080078125,6352.2001953125,6538.5498046875,5880.10009765625,5950.9501953125,408221,2020-09-14
2020-09-21,5546.05322265625,5990.60009765625,6601.25,5806.39990234375,6400.0,169979,2020-09-21
2020-09-28,5407.6474609375,5841.10009765625,6080.0,5811.25,6080.0,119172,2020-09-28
2020-10-05,5296.45947265625,5721.0,5959.0,5691.14990234375,5854.0,101370,2020-10-05
2020-10-12,5195.40966796875,5611.85009765625,5763.0498046875,5580.0,5715.0498046875,89333,2020-10-12
2020-10-19,4982.84765625,5382.25,5690.0,5206.0498046875,5620.0,132056,2020-10-19
2020-10-26,5044.0888671875,5448.39990234375,5500.0,5257.0,5420.2001953125,80342,2020-10-26
2020-11-02,5162.26611328125,5576.0498046875,5741.2001953125,5303.0,5500.0,113181,2020-11-02
2020-11-09,4820.32470703125,5206.7001953125,5699.0,5075.0,5630.0,210165,2020-11-09
2020-11-16,4629.009765625,5000.0498046875,5230.0,4966.7001953125,5092.60009765625,149826,2020-11-16
2020-11-23,4672.2900390625,5046.7998046875,5424.0,4965.0,5040.0,244580,2020-11-23
2020-11-30,4766.30517578125,5148.35009765625,5198.0,5010.10009765625,5046.7998046875,123257,2020-11-30
2020-12-07,4860.642578125,5250.25,5340.0,5150.0,5184.89990234375,168449,2020-12-07
2020-12-14,4886.51904296875,5278.2001953125,5388.0,5162.4501953125,5274.0,134255,2020-12-14
2020-12-21,5085.47216796875,5493.10009765625,5515.0,4975.0,5299.60009765625,167729,2020-12-21
2020-12-28,5035.109375,5438.7001953125,5603.0,5410.0,5555.0,120318,2020-12-28
2021-01-04,5365.89453125,5796.0,5850.9501953125,5450.0,5484.0,234583,2021-01-04
2021-01-11,5248.78173828125,5669.5,5875.0,5535.0,5825.0,143183,2021-01-11
2021-01-18,5215.916015625,5634.0,5800.0,5467.10009765625,5605.5498046875,174199,2021-01-18
2021-01-25,4974.515625,5373.25,5683.4501953125,5330.0,5634.0,91055,2021-01-25
2021-02-01,5083.1572265625,5490.60009765625,5508.9501953125,5180.0,5385.0,163882,2021-02-01
2021-02-08,4799.6328125,5184.35009765625,5633.0,5163.5,5550.0,178417,2021-02-08
2021-02-15,4820.23193359375,5206.60009765625,5299.0,5105.0,5217.9501953125,165023,2021-02-15
2021-02-22,4760.564453125,5142.14990234375,5237.0,5015.0,5180.0,101822,2021-02-22
