Date,Adj Close_PGHL.NS,Close_PGHL.NS,High_PGHL.NS,Low_PGHL.NS,Open_PGHL.NS,Volume_PGHL.NS,Date
2020-07-13,3838.393310546875,4127.0,4153.0,4025.0,4062.10009765625,28132,2020-07-13
2020-07-20,3740.503662109375,4021.75,4187.9501953125,4003.89990234375,4149.0,52011,2020-07-20
2020-07-27,3862.62158203125,4153.0498046875,4250.0,4000.050048828125,4029.85009765625,55242,2020-07-27
2020-08-03,4338.2587890625,4664.4501953125,4750.0,4173.0498046875,4223.0,140596,2020-08-03
2020-08-10,4357.0927734375,4684.7001953125,4860.0498046875,4476.0,4745.0,134661,2020-08-10
2020-08-17,4373.83447265625,4702.7001953125,4922.5,4670.0,4692.0,73648,2020-08-17
2020-08-24,4632.95068359375,4981.2998046875,5150.0,4680.0,4715.0,280677,2020-08-24
2020-08-31,4483.30322265625,4820.39990234375,5047.7998046875,4675.0,4986.10009765625,106313,2020-08-31
2020-09-07,4550.7333984375,4892.89990234375,4973.9501953125,4695.0,4760.0,96180,2020-09-07
2020-09-14,4904.345703125,5273.10009765625,5685.0,4860.0,4881.0,447817,2020-09-14
2020-09-21,4543.80419921875,4885.4501953125,5376.0,4800.0,5324.0,92305,2020-09-21
2020-09-28,4868.39892578125,5234.4501953125,5368.0,4919.0,4919.0,67242,2020-09-28
2020-10-05,4970.65869140625,5344.39990234375,5495.0,5255.0,5283.0,82933,2020-10-05
2020-10-12,4739.76953125,5096.14990234375,5406.75,5073.35009765625,5390.0,48192,2020-10-12
2020-10-19,4712.19287109375,5066.5,5190.0,5049.0,5127.0,50751,2020-10-19
2020-10-26,4781.34375,5140.85009765625,5278.0,5045.0,5090.0,95858,2020-10-26
2020-11-02,4939.6875,5311.10009765625,5337.39990234375,5160.0,5186.0,93644,2020-11-02
2020-11-09,5631.5654296875,6055.0,6177.0,5257.64990234375,5315.0,199969,2020-11-09
2020-11-16,5615.84765625,6038.10009765625,6148.0,5761.0,6012.39990234375,121916,2020-11-16
2020-11-23,6433.11279296875,6868.10009765625,6976.0,6000.0,6000.0,165599,2020-11-23
2020-11-30,6392.5078125,6824.75,7049.0,6406.35009765625,6868.10009765625,84088,2020-11-30
2020-12-07,6201.75537109375,6621.10009765625,6850.0,6550.0,6850.0,39135,2020-12-07
2020-12-14,6408.29052734375,6841.60009765625,7038.0,6619.7998046875,6650.0,69939,2020-12-14
2020-12-21,6660.39404296875,7110.75,7350.0,6331.5498046875,6880.0,75208,2020-12-21
2020-12-28,6538.67431640625,6980.7998046875,7249.9501953125,6775.0,7200.0,91500,2020-12-28
2021-01-04,6514.13427734375,6954.60009765625,7155.9501953125,6851.0,7000.0,43410,2021-01-04
2021-01-11,6371.89990234375,6802.75,7051.9501953125,6700.0,6998.0,68810,2021-01-11
2021-01-18,6646.48486328125,7095.89990234375,7227.7998046875,6690.0,6800.0,75718,2021-01-18
2021-01-25,6660.4404296875,7110.7998046875,7472.0,6981.14990234375,7095.89990234375,75374,2021-01-25
2021-02-01,6717.99853515625,7172.25,7367.4501953125,7021.10009765625,7110.0,81428,2021-02-01
2021-02-08,6912.07568359375,7379.4501953125,7500.0,7170.0,7172.25,76046,2021-02-08
2021-02-15,6696.408203125,7149.2001953125,7500.0,7002.7001953125,7397.0,54239,2021-02-15
2021-02-22,6274.8623046875,6699.14990234375,7200.0,6600.0,7176.0,102680,2021-02-22
2021-03-01,6301.65087890625,6727.75,6850.0,6490.0,6760.0,62440,2021-03-01
2021-03-08,6149.7705078125,6565.60009765625,6787.9501953125,6500.0,6730.0,31612,2021-03-08
2021-03-15,6060.88134765625,6470.7001953125,6611.5498046875,6277.0,6550.5,42069,2021-03-15
2021-03-22,5794.63427734375,6186.4501953125,6534.85009765625,6017.0,6513.0,67452,2021-03-22
2021-03-29,5778.5703125,6169.2998046875,6350.0,6120.0,6186.4501953125,41130,2021-03-29
2021-04-05,5952.9306640625,6355.4501953125,6474.0,6082.10009765625,6190.0,41238,2021-04-05
2021-04-12,5953.35205078125,6355.89990234375,6525.4501953125,6166.5498046875,6355.4501953125,44690,2021-04-12
2021-04-19,5914.19921875,6314.10009765625,6455.89990234375,6243.4501953125,6332.0,38420,2021-04-19
2021-04-26,5969.69677734375,6373.35009765625,6576.0,6200.0,6380.0,41956,2021-04-26
2021-05-03,5492.13720703125,5863.5,6429.0,5750.0,6400.0,97938,2021-05-03
2021-05-10,5395.80224609375,5760.64990234375,5900.0,5740.0498046875,5870.10009765625,63694,2021-05-10
2021-05-17,5505.4384765625,5877.7001953125,5899.0,5756.0,5756.0,34157,2021-05-17
2021-05-24,5583.93115234375,5961.5,6100.0,5880.0,5900.0,76972,2021-05-24
2021-05-31,5433.08154296875,5800.4501953125,6000.0,5781.35009765625,6000.0,56329,2021-05-31
2021-06-07,5440.24658203125,5808.10009765625,5875.0,5790.0,5822.89990234375,33733,2021-06-07
2021-06-14,5492.65234375,5864.0498046875,5897.0,5741.0,5839.0,44533,2021-06-14
2021-06-21,5483.7080078125,5854.5,5924.75,5765.0,5863.0,51502,2021-06-21
2021-06-28,5335.80810546875,5696.60009765625,5875.0,5495.0,5856.0,112001,2021-06-28
2021-07-05,5241.53271484375,5595.9501953125,5739.5498046875,5555.5498046875,5736.4501953125,32666,2021-07-05
2021-07-12,5266.02685546875,5622.10009765625,5779.0,5550.0,5550.0,38452,2021-07-12
2021-07-19,5144.07275390625,5491.89990234375,5678.5498046875,5450.0,5635.0,33104,2021-07-19
2021-07-26,5018.09130859375,5357.39990234375,5549.9501953125,5340.0,5513.85009765625,49075,2021-07-26
2021-08-02,5125.43310546875,5472.0,5563.0,5373.0498046875,5401.0,51559,2021-08-02
2021-08-09,5141.6376953125,5489.2998046875,5499.35009765625,5310.0498046875,5490.0,30763,2021-08-09
2021-08-16,5042.63232421875,5383.60009765625,5578.0,5351.0,5426.2001953125,26183,2021-08-16
2021-08-23,5191.421875,5542.4501953125,5600.0,5346.0,5401.60009765625,92908,2021-08-23
2021-08-30,5013.22119140625,5352.2001953125,5589.0,5310.0,5589.0,91677,2021-08-30
2021-09-06,5003.3388671875,5341.64990234375,5396.2998046875,5311.25,5385.14990234375,71389,2021-09-06
2021-09-13,5057.6650390625,5399.64990234375,5578.9501953125,5350.0498046875,5377.0,99757,2021-09-13
2021-09-20,5045.53564453125,5386.7001953125,5444.4501953125,5309.0,5399.0,54193,2021-09-20
2021-09-27,5169.08154296875,5518.60009765625,5535.0,5356.0,5398.0,57496,2021-09-27
2021-10-04,5383.625,5747.64990234375,5851.75,5535.0,5540.0,100180,2021-10-04
2021-10-11,5279.89013671875,5636.89990234375,5800.0,5580.0,5780.0,43729,2021-10-11
2021-10-18,5078.1318359375,5421.5,5675.0,5405.0,5636.89990234375,54551,2021-10-18
2021-10-25,5080.2392578125,5423.75,5645.2998046875,5346.0,5459.5,81536,2021-10-25
2021-11-01,5099.39404296875,5444.2001953125,5533.89990234375,5331.14990234375,5470.0,34112,2021-11-01
2021-11-08,4873.154296875,5164.85009765625,5440.0,5149.2998046875,5355.0,46568,2021-11-08
2021-11-15,4725.3515625,5008.2001953125,5189.7998046875,5000.0,5164.85009765625,35157,2021-11-15
2021-11-22,4719.642578125,5002.14990234375,5064.64990234375,4938.0,5010.0,37946,2021-11-22
2021-11-29,4951.13623046875,5247.5,5369.9501953125,4903.0,4985.0,67084,2021-11-29
2021-12-06,4960.0048828125,5256.89990234375,5375.0498046875,5104.2998046875,5206.85009765625,20955,2021-12-06
2021-12-13,4828.005859375,5117.0,5325.35009765625,5100.0,5283.2001953125,15993,2021-12-13
2021-12-20,4815.033203125,5103.25,5280.0,5000.0,5100.0,22843,2021-12-20
2021-12-27,5036.90234375,5338.39990234375,5475.0,4965.0,5128.7998046875,54015,2021-12-27
2022-01-03,4797.4365234375,5084.60009765625,5326.64990234375,5055.0,5300.0,26523,2022-01-03
2022-01-10,4863.19921875,5154.2998046875,5219.75,5062.10009765625,5088.4501953125,19657,2022-01-10
2022-01-17,4806.0703125,5093.75,5180.0498046875,5023.25,5154.2998046875,41737,2022-01-17
2022-01-24,4804.60693359375,5092.2001953125,5176.0,4998.25,5040.0,22898,2022-01-24
2022-01-31,4787.765625,5074.35009765625,5171.9501953125,5030.0,5092.2001953125,18646,2022-01-31
2022-02-07,4642.6513671875,4920.5498046875,5100.0,4905.0,5085.0,44702,2022-02-07
2022-02-14,4411.7236328125,4675.7998046875,4918.14990234375,4568.14990234375,4900.0,55946,2022-02-14
2022-02-21,4348.13037109375,4608.39990234375,4699.2001953125,4488.0,4699.2001953125,34824,2022-02-21
2022-02-28,4247.833984375,4502.10009765625,4640.5498046875,4490.0,4640.0,26786,2022-02-28
2022-03-07,4131.4033203125,4378.7001953125,4575.0,4367.0,4481.0,80020,2022-03-07
2022-03-14,4113.9013671875,4360.14990234375,4430.89990234375,4250.0,4380.0,78418,2022-03-14
2022-03-21,3987.469482421875,4226.14990234375,4392.39990234375,4211.5498046875,4352.0,147551,2022-03-21
2022-03-28,3931.09326171875,4166.39990234375,4237.5,3991.64990234375,4230.0,143084,2022-03-28
2022-04-04,4152.7744140625,4401.35009765625,4519.4501953125,4200.0,4206.0,95127,2022-04-04
2022-04-11,4055.591796875,4298.35009765625,4498.4501953125,4277.2001953125,4479.9501953125,26756,2022-04-11
2022-04-18,3959.399658203125,4196.39990234375,4400.0,4188.0,4265.0,48832,2022-04-18
2022-04-25,4186.27001953125,4436.85009765625,4498.64990234375,4150.35009765625,4196.39990234375,91097,2022-04-25
2022-05-02,4082.05712890625,4326.39990234375,4478.0,4211.35009765625,4365.2001953125,45220,2022-05-02
2022-05-09,4158.5771484375,4407.5,4460.0,4235.0,4326.39990234375,106413,2022-05-09
2022-05-16,4159.00927734375,4366.35009765625,4566.0,4301.0,4407.5,51533,2022-05-16
