Date,Adj Close_POKARNA.NS,Close_POKARNA.NS,High_POKARNA.NS,Low_POKARNA.NS,Open_POKARNA.NS,Volume_POKARNA.NS,Date
2020-07-13,132.234619140625,133.35000610351562,137.10000610351562,125.0,125.0,147412,2020-07-13
2020-07-20,128.26808166503906,129.35000610351562,143.64999389648438,126.69999694824219,126.69999694824219,265356,2020-07-20
2020-07-27,129.0117950439453,130.10000610351562,142.5,122.9000015258789,128.0,709161,2020-07-27
2020-08-03,144.48130798339844,145.6999969482422,153.0,130.0,132.5,544735,2020-08-03
2020-08-10,145.7704315185547,147.0,160.5500030517578,146.0,152.9499969482422,367979,2020-08-10
2020-08-17,142.54762268066406,143.75,157.89999389648438,141.0,148.0,298371,2020-08-17
2020-08-24,137.98611450195312,139.14999389648438,150.0,138.4499969482422,147.0,259808,2020-08-24
2020-08-31,128.46640014648438,129.5500030517578,142.0,129.1999969482422,142.0,292362,2020-08-31
2020-09-07,123.80570220947266,124.8499984741211,133.8000030517578,118.05000305175781,130.0,185822,2020-09-07
2020-09-14,143.29135131835938,144.5,156.25,120.0999984741211,123.0,1130216,2020-09-14
2020-09-21,134.66412353515625,135.8000030517578,149.25,124.05000305175781,141.0,538482,2020-09-21
2020-09-28,136.71926879882812,137.3000030517578,141.8000030517578,127.5,135.75,192110,2020-09-28
2020-10-05,136.4703369140625,137.0500030517578,151.35000610351562,135.85000610351562,138.9499969482422,403886,2020-10-05
2020-10-12,136.66946411132812,137.25,144.39999389648438,126.0,133.39999389648438,182459,2020-10-12
2020-10-19,148.81787109375,149.4499969482422,154.85000610351562,133.5,136.0,376905,2020-10-19
2020-10-26,135.8728485107422,136.4499969482422,154.0,133.3000030517578,154.0,213178,2020-10-26
2020-11-02,137.06777954101562,137.64999389648438,146.4499969482422,134.10000610351562,137.0500030517578,320077,2020-11-02
2020-11-09,145.83055114746094,146.4499969482422,151.39999389648438,135.14999389648438,137.64999389648438,497891,2020-11-09
2020-11-16,143.14198303222656,143.75,150.5,141.10000610351562,145.10000610351562,146230,2020-11-16
2020-11-23,140.8019256591797,141.39999389648438,146.4499969482422,139.75,141.39999389648438,221925,2020-11-23
2020-11-30,160.41859436035156,161.10000610351562,166.0,137.8000030517578,141.39999389648438,820182,2020-11-30
2020-12-07,180.1348419189453,180.89999389648438,193.25,161.0,164.5,1229989,2020-12-07
2020-12-14,166.39321899414062,167.10000610351562,184.5,150.10000610351562,184.5,862492,2020-12-14
2020-12-21,169.2809600830078,170.0,176.1999969482422,147.25,167.10000610351562,715528,2020-12-21
2020-12-28,188.3997344970703,189.1999969482422,189.1999969482422,165.5,165.5,241349,2020-12-28
2021-01-04,220.1648406982422,221.10000610351562,221.10000610351562,191.0,194.0,325093,2021-01-04
2021-01-11,193.57774353027344,194.39999389648438,232.14999389648438,192.5500030517578,231.0,235913,2021-01-11
2021-01-18,199.25364685058594,200.10000610351562,213.0,186.5,195.0,282396,2021-01-18
2021-01-25,201.09580993652344,201.9499969482422,211.60000610351562,190.25,204.10000610351562,129887,2021-01-25
2021-02-01,238.287841796875,239.3000030517578,244.5,196.0,207.0,787037,2021-02-01
2021-02-08,232.66172790527344,233.64999389648438,258.95001220703125,200.0,239.3000030517578,542016,2021-02-08
2021-02-15,200.4485626220703,201.3000030517578,228.0,194.0,228.0,984913,2021-02-15
2021-02-22,195.81822204589844,196.64999389648438,207.14999389648438,178.0,202.60000610351562,298718,2021-02-22
2021-03-01,217.52603149414062,218.4499969482422,236.89999389648438,198.10000610351562,200.14999389648438,1025426,2021-03-01
2021-03-08,205.87551879882812,206.75,222.75,205.5,218.4499969482422,170287,2021-03-08
2021-03-15,223.30149841308594,224.25,234.89999389648438,197.0,207.3000030517578,715481,2021-03-15
2021-03-22,261.2901306152344,262.3999938964844,274.6499938964844,224.25,226.0500030517578,2728639,2021-03-22
2021-03-29,266.26898193359375,267.3999938964844,269.5,254.60000610351562,262.3999938964844,387347,2021-03-29
2021-04-05,254.07080078125,255.14999389648438,272.5,245.10000610351562,269.45001220703125,490691,2021-04-05
2021-04-12,233.40855407714844,234.39999389648438,255.0,216.0,255.0,509291,2021-04-12
2021-04-19,244.76034545898438,245.8000030517578,258.0,215.0,230.9499969482422,356136,2021-04-19
2021-04-26,243.21690368652344,244.25,252.1999969482422,240.0,246.0,202903,2021-04-26
2021-05-03,251.18307495117188,252.25,270.0,241.0,241.0,507908,2021-05-03
2021-05-10,249.5400390625,250.60000610351562,262.6499938964844,245.0,253.0,257265,2021-05-10
2021-05-17,318.0988464355469,319.45001220703125,336.95001220703125,247.89999389648438,257.3999938964844,2917853,2021-05-17
2021-05-24,327.2598876953125,328.6499938964844,363.70001220703125,314.5,314.5,1195913,2021-05-24
2021-05-31,356.93389892578125,358.45001220703125,373.0,312.6000061035156,328.70001220703125,1463679,2021-05-31
2021-06-07,366.6924133300781,368.25,383.0,350.0,361.29998779296875,768901,2021-06-07
2021-06-14,389.5453796386719,391.20001220703125,416.79998779296875,343.25,372.25,731251,2021-06-14
2021-06-21,318.9950256347656,320.3500061035156,415.0,316.25,386.8999938964844,2932473,2021-06-21
2021-06-28,342.1466979980469,343.6000061035156,345.0,318.3500061035156,320.0,903611,2021-06-28
2021-07-05,339.6572265625,341.1000061035156,347.3500061035156,333.1000061035156,343.6000061035156,494082,2021-07-05
2021-07-12,370.1776123046875,371.75,379.95001220703125,342.45001220703125,345.0,1078803,2021-07-12
2021-07-19,368.28564453125,369.8500061035156,374.79998779296875,351.29998779296875,368.95001220703125,379050,2021-07-19
2021-07-26,393.4786376953125,395.1499938964844,412.75,365.3999938964844,373.0,1265709,2021-07-26
2021-08-02,451.1849060058594,452.3999938964844,477.0,397.04998779296875,398.8500061035156,1520927,2021-08-02
2021-08-09,492.8227844238281,494.1499938964844,509.0,379.8500061035156,454.0,1976975,2021-08-09
2021-08-16,447.3452453613281,448.54998779296875,499.54998779296875,446.0,497.0,420663,2021-08-16
2021-08-23,495.9144592285156,497.25,503.0,448.25,458.0,545984,2021-08-23
2021-08-30,485.6421203613281,486.95001220703125,518.5,480.0,495.0,624643,2021-08-30
2021-09-06,507.0345153808594,508.3999938964844,532.0499877929688,485.0,488.0,341982,2021-09-06
2021-09-13,488.8834228515625,490.20001220703125,525.0,485.0,502.25,398317,2021-09-13
2021-09-20,472.6271667480469,473.8999938964844,496.0,456.0,487.0,279578,2021-09-20
2021-09-27,499.20556640625,500.54998779296875,512.7999877929688,465.79998779296875,473.8999938964844,450903,2021-09-27
2021-10-04,493.5209045410156,494.8500061035156,505.04998779296875,482.8999938964844,504.0,388414,2021-10-04
2021-10-11,534.5105590820312,535.9500122070312,554.7999877929688,492.04998779296875,492.1000061035156,811156,2021-10-11
2021-10-18,537.9512939453125,539.4000244140625,584.9000244140625,529.0,541.0,821617,2021-10-18
2021-10-25,590.95849609375,592.5499877929688,608.0,512.0,534.0,408275,2021-10-25
2021-11-01,632.0977172851562,633.7999877929688,645.0,573.0,592.0,421553,2021-11-01
2021-11-08,625.9642333984375,627.6500244140625,680.0,613.4500122070312,636.5999755859375,352246,2021-11-08
2021-11-15,614.5449829101562,616.2000122070312,648.0,605.0,639.9000244140625,132829,2021-11-15
2021-11-22,574.15380859375,575.7000122070312,635.0,563.5499877929688,607.0999755859375,148869,2021-11-22
2021-11-29,621.8253784179688,623.5,630.0,503.6000061035156,565.5999755859375,477824,2021-11-29
2021-12-06,643.865966796875,645.5999755859375,680.0,593.5999755859375,631.0,403744,2021-12-06
2021-12-13,629.6043701171875,631.2999877929688,662.0,615.5999755859375,650.0,185662,2021-12-13
2021-12-20,720.2603149414062,722.2000122070312,747.0,607.0,629.7999877929688,1095680,2021-12-20
2021-12-27,705.7493896484375,707.6500244140625,741.75,692.0,722.0,268975,2021-12-27
2022-01-03,704.8517456054688,706.75,738.0,697.3499755859375,713.0,193763,2022-01-03
2022-01-10,737.0151977539062,739.0,768.5499877929688,693.2000122070312,708.7999877929688,506334,2022-01-10
2022-01-17,713.1793212890625,715.0999755859375,754.6500244140625,701.0,740.9000244140625,206371,2022-01-17
2022-01-24,767.9817504882812,770.0499877929688,790.0,658.4500122070312,716.0,515854,2022-01-24
2022-01-31,737.0151977539062,739.0,840.5499877929688,730.0,800.0,532837,2022-01-31
2022-02-07,729.635009765625,731.5999755859375,749.5999755859375,692.2999877929688,736.9500122070312,340096,2022-02-07
2022-02-14,718.8141479492188,720.75,730.0,685.0999755859375,701.2999877929688,211087,2022-02-14
2022-02-21,621.67578125,623.3499755859375,730.0,615.7999877929688,706.25,412269,2022-02-21
2022-02-28,625.116455078125,626.7999877929688,650.0,585.4500122070312,619.0,389482,2022-02-28
2022-03-07,626.7620849609375,628.4500122070312,650.2000122070312,600.0,610.0,215359,2022-03-07
2022-03-14,669.5966796875,671.4000244140625,687.0,622.0999755859375,630.0,185850,2022-03-14
2022-03-21,711.8828125,713.7999877929688,749.9500122070312,652.7000122070312,674.0,278457,2022-03-21
2022-03-28,735.4693603515625,737.4500122070312,787.6500244140625,706.2999877929688,710.2000122070312,272010,2022-03-28
2022-04-04,715.0244140625,716.9500122070312,768.5499877929688,713.0,749.0,198198,2022-04-04
2022-04-11,704.1536865234375,706.0499877929688,732.9000244140625,703.1500244140625,725.0,89865,2022-04-11
2022-04-18,674.73291015625,676.5499877929688,710.0,642.0999755859375,706.0499877929688,361327,2022-04-18
2022-04-25,665.15869140625,666.9500122070312,696.0,655.8499755859375,673.0,143363,2022-04-25
2022-05-02,579.4893188476562,581.0499877929688,675.0,569.4000244140625,666.9500122070312,205668,2022-05-02
2022-05-09,552.4622192382812,553.9500122070312,583.0,503.3500061035156,568.0,266048,2022-05-09
2022-05-16,568.1698608398438,569.7000122070312,594.2999877929688,523.0,570.0,199515,2022-05-16
2022-05-23,501.2002258300781,502.54998779296875,563.9500122070312,461.6000061035156,555.0999755859375,503657,2022-05-23
2022-05-30,507.8822326660156,509.25,525.3499755859375,491.75,510.1000061035156,177606,2022-05-30
2022-06-06,458.5650329589844,459.79998779296875,522.5,448.0,507.20001220703125,218041,2022-06-06
2022-06-13,442.3586730957031,443.54998779296875,465.70001220703125,406.54998779296875,452.8999938964844,574441,2022-06-13
2022-06-20,425.30462646484375,426.45001220703125,458.04998779296875,410.1000061035156,445.70001220703125,199195,2022-06-20
2022-06-27,424.3571472167969,425.5,447.25,412.0,432.0,177571,2022-06-27
