Date,Adj Close_HNDFDS.NS,Close_HNDFDS.NS,High_HNDFDS.NS,Low_HNDFDS.NS,Open_HNDFDS.NS,Volume_HNDFDS.NS,Date
2022-11-07,559.2000122070312,559.2000122070312,566.7000122070312,493.75,503.0,570583,2022-11-07
2022-11-14,581.9000244140625,581.9000244140625,648.8499755859375,565.5499877929688,569.7999877929688,1454159,2022-11-14
2022-11-21,684.8499755859375,684.8499755859375,705.0,581.9000244140625,581.9000244140625,802242,2022-11-21
2022-11-28,720.9500122070312,720.9500122070312,730.0,639.1500244140625,688.7999877929688,909781,2022-11-28
2022-12-05,682.3499755859375,682.3499755859375,749.0,680.0,729.4000244140625,227937,2022-12-05
2022-12-12,718.4500122070312,718.4500122070312,734.3499755859375,652.0,688.0,132476,2022-12-12
2022-12-19,566.9500122070312,566.9500122070312,718.0,566.9500122070312,718.0,219596,2022-12-19
2022-12-26,610.5499877929688,610.5499877929688,637.9500122070312,540.0,556.9000244140625,105186,2022-12-26
2023-01-02,598.0,598.0,621.9500122070312,567.1500244140625,621.9500122070312,98685,2023-01-02
2023-01-09,576.75,576.75,613.9500122070312,570.0,613.9500122070312,65891,2023-01-09
2023-01-16,583.2999877929688,583.2999877929688,590.0,571.2000122070312,578.0,45675,2023-01-16
2023-01-23,567.5,567.5,597.9000244140625,556.3499755859375,583.3499755859375,50867,2023-01-23
2023-01-30,545.25,545.25,580.0,535.0999755859375,551.0499877929688,86605,2023-01-30
2023-02-06,581.7000122070312,581.7000122070312,595.0,546.0,552.2999877929688,88412,2023-02-06
2023-02-13,596.0499877929688,596.0499877929688,618.4500122070312,579.5,592.0,164279,2023-02-13
2023-02-20,569.7999877929688,569.7999877929688,602.4500122070312,555.0,602.3499755859375,85422,2023-02-20
2023-02-27,567.9500122070312,567.9500122070312,583.9500122070312,542.0999755859375,565.0,105288,2023-02-27
2023-03-06,545.9000244140625,545.9000244140625,578.9500122070312,544.9500122070312,578.9500122070312,93773,2023-03-06
2023-03-13,531.0,531.0,563.5499877929688,520.0,550.0,113716,2023-03-13
2023-03-20,527.7000122070312,527.7000122070312,540.2000122070312,511.25,515.0,83830,2023-03-20
