Date,Adj Close_JKCEMENT.NS,Close_JKCEMENT.NS,High_JKCEMENT.NS,Low_JKCEMENT.NS,Open_JKCEMENT.NS,Volume_JKCEMENT.NS,Date
2020-07-13,1382.96923828125,1407.449951171875,1434.0,1371.199951171875,1418.0,302081,2020-07-13
2020-07-20,1477.49609375,1503.6500244140625,1568.0,1393.050048828125,1407.0,586044,2020-07-20
2020-07-27,1473.9586181640625,1500.050048828125,1522.449951171875,1463.050048828125,1511.0,678437,2020-07-27
2020-08-03,1572.6121826171875,1600.449951171875,1615.0,1492.0999755859375,1509.0,628130,2020-08-03
2020-08-10,1482.2125244140625,1508.449951171875,1614.0,1483.8499755859375,1614.0,218847,2020-08-10
2020-08-17,1496.55859375,1523.050048828125,1565.0,1446.550048828125,1510.0,301769,2020-08-17
2020-08-24,1473.909423828125,1500.0,1540.0,1480.0,1523.550048828125,431137,2020-08-24
2020-08-31,1463.641357421875,1489.550048828125,1522.949951171875,1450.0,1521.949951171875,485887,2020-08-31
2020-09-07,1410.7279052734375,1435.699951171875,1505.050048828125,1414.0,1476.0,505462,2020-09-07
2020-09-14,1529.279296875,1556.3499755859375,1608.8499755859375,1446.5999755859375,1450.0,453062,2020-09-14
2020-09-21,1474.0076904296875,1500.0999755859375,1581.0,1460.449951171875,1581.0,319988,2020-09-21
2020-09-28,1503.9771728515625,1530.5999755859375,1565.0,1502.0,1520.0,148065,2020-09-28
2020-10-05,1616.53466796875,1645.1500244140625,1665.0,1535.050048828125,1546.0,671328,2020-10-05
2020-10-12,1725.0635986328125,1755.5999755859375,1769.0,1640.0,1668.0,646027,2020-10-12
2020-10-19,1857.66650390625,1890.550048828125,1974.0,1760.0,1760.0,810550,2020-10-19
2020-10-26,1819.1973876953125,1851.4000244140625,1928.0,1822.0999755859375,1909.9000244140625,278675,2020-10-26
2020-11-02,1841.99365234375,1874.5999755859375,1914.0,1775.0,1851.4000244140625,261524,2020-11-02
2020-11-09,1863.365478515625,1896.3499755859375,2000.449951171875,1831.699951171875,1890.25,788708,2020-11-09
2020-11-16,1885.3758544921875,1918.75,1938.0,1862.949951171875,1874.699951171875,630762,2020-11-16
2020-11-23,1994.6417236328125,2029.949951171875,2067.949951171875,1890.0,1939.0,1087960,2020-11-23
2020-11-30,2127.981201171875,2165.64990234375,2235.0,2024.449951171875,2029.949951171875,658864,2020-11-30
2020-12-07,1914.9033203125,1948.800048828125,2199.89990234375,1929.199951171875,2160.64990234375,439112,2020-12-07
2020-12-14,1849.26513671875,1882.0,1970.0,1854.5,1950.0,718166,2020-12-14
2020-12-21,1879.92236328125,1913.199951171875,1980.0,1850.0,1867.550048828125,990032,2020-12-21
2020-12-28,1889.797607421875,1923.25,1971.0,1890.0,1913.199951171875,466711,2020-12-28
2021-01-04,2213.124267578125,2252.300048828125,2385.39990234375,1928.0,1934.0,1177610,2021-01-04
2021-01-11,2159.818115234375,2198.050048828125,2292.89990234375,2170.0,2252.300048828125,462042,2021-01-11
2021-01-18,2063.522705078125,2100.050048828125,2219.949951171875,2083.25,2196.0,486040,2021-01-18
2021-01-25,2093.835693359375,2130.89990234375,2203.0,2041.3499755859375,2124.39990234375,230297,2021-01-25
2021-02-01,2199.17138671875,2238.10009765625,2321.699951171875,2090.10009765625,2145.0,1075965,2021-02-01
2021-02-08,2660.062744140625,2707.14990234375,2902.800048828125,2250.550048828125,2290.0,1562684,2021-02-08
2021-02-15,2564.799072265625,2610.199951171875,2915.0,2570.0,2720.0,1142934,2021-02-15
2021-02-22,2641.34423828125,2688.10009765625,2733.050048828125,2572.10009765625,2648.800048828125,301120,2021-02-22
2021-03-01,2687.673828125,2735.25,2813.89990234375,2621.550048828125,2688.10009765625,603852,2021-03-01
2021-03-08,2873.8779296875,2924.75,3025.0,2700.199951171875,2750.0,596505,2021-03-08
2021-03-15,2696.812255859375,2744.550048828125,2990.0,2635.25,2937.0,344699,2021-03-15
2021-03-22,2757.488037109375,2806.300048828125,2928.60009765625,2703.64990234375,2772.85009765625,89193,2021-03-22
2021-03-29,2868.8173828125,2919.60009765625,2970.0,2806.300048828125,2806.300048828125,82435,2021-03-29
2021-04-05,2938.6806640625,2990.699951171875,3149.800048828125,2799.949951171875,2923.0,204082,2021-04-05
