Date,Adj Close_INDOCO.NS,Close_INDOCO.NS,High_INDOCO.NS,Low_INDOCO.NS,Open_INDOCO.NS,Volume_INDOCO.NS,Date
2020-07-13,198.39979553222656,201.3000030517578,206.0,197.1999969482422,201.3000030517578,210446,2020-07-13
2020-07-20,204.70758056640625,207.6999969482422,211.0,198.0,202.0,283134,2020-07-20
2020-07-27,223.28599548339844,226.5500030517578,229.89999389648438,200.9499969482422,209.5,531640,2020-07-27
2020-08-03,240.28749084472656,243.8000030517578,262.79998779296875,229.6999969482422,230.0,2249754,2020-08-03
2020-08-10,243.93417358398438,247.5,272.79998779296875,242.6999969482422,245.75,2985782,2020-08-10
2020-08-17,243.93417358398438,247.5,258.0,246.0,250.89999389648438,566324,2020-08-17
2020-08-24,235.11312866210938,238.5500030517578,255.9499969482422,233.3000030517578,249.85000610351562,569502,2020-08-24
2020-08-31,215.94334411621094,219.10000610351562,244.0,214.5,244.0,521305,2020-08-31
2020-09-07,217.6188507080078,220.8000030517578,224.25,213.0,220.1999969482422,1068168,2020-09-07
2020-09-14,265.9621887207031,269.8500061035156,296.0,222.5,226.39999389648438,3557443,2020-09-14
2020-09-21,258.2048645019531,261.70001220703125,275.0,242.10000610351562,275.0,733451,2020-09-21
2020-09-28,269.2552795410156,272.8999938964844,284.0,251.14999389648438,280.0,3157907,2020-09-28
2020-10-05,250.45970153808594,253.85000610351562,274.75,250.9499969482422,274.75,729811,2020-10-05
2020-10-12,248.7823944091797,252.14999389648438,269.1499938964844,246.3000030517578,255.0,988434,2020-10-12
2020-10-19,251.69300842285156,255.10000610351562,263.0,247.5,253.0,447553,2020-10-19
2020-10-26,253.41961669921875,256.8500061035156,267.5,245.5,255.10000610351562,379986,2020-10-26
2020-11-02,251.7916717529297,255.1999969482422,269.8999938964844,251.5500030517578,261.0,832395,2020-11-02
2020-11-09,253.8636016845703,257.29998779296875,264.70001220703125,252.0,258.25,437737,2020-11-09
2020-11-16,254.0116424560547,257.45001220703125,260.45001220703125,251.5,255.0500030517578,314814,2020-11-16
2020-11-23,257.8595275878906,261.3500061035156,284.0,256.1000061035156,259.8999938964844,1536311,2020-11-23
2020-11-30,299.7425842285156,303.79998779296875,305.0,261.3500061035156,261.3500061035156,2733591,2020-11-30
2020-12-07,280.6510314941406,284.45001220703125,311.0,277.25,305.8999938964844,1732055,2020-12-07
2020-12-14,268.7619323730469,272.3999938964844,289.75,265.3500061035156,285.8999938964844,1463227,2020-12-14
2020-12-21,290.6161193847656,294.54998779296875,295.6000061035156,252.0,272.0,1234805,2020-12-21
2020-12-28,300.2358703613281,304.29998779296875,311.0,285.3500061035156,297.95001220703125,1063043,2020-12-28
2021-01-04,320.8568115234375,325.20001220703125,330.0,305.04998779296875,308.0,1453315,2021-01-04
2021-01-11,303.09716796875,307.20001220703125,332.20001220703125,305.0,326.8500061035156,658359,2021-01-11
2021-01-18,313.062255859375,317.29998779296875,335.79998779296875,294.8999938964844,307.5,955646,2021-01-18
