Date,Adj Close_MIDHANI.NS,Close_MIDHANI.NS,High_MIDHANI.NS,Low_MIDHANI.NS,Open_MIDHANI.NS,Volume_MIDHANI.NS,Date
2020-07-13,196.54861450195312,208.39999389648438,214.60000610351562,202.25,214.60000610351562,1667416,2020-07-13
2020-07-20,197.1616668701172,209.0500030517578,216.60000610351562,205.64999389648438,209.39999389648438,4884906,2020-07-20
2020-07-27,188.34336853027344,199.6999969482422,210.5,198.25,209.5,3160939,2020-07-27
2020-08-03,193.15333557128906,204.8000030517578,212.75,197.10000610351562,199.89999389648438,4586448,2020-08-03
2020-08-10,197.82183837890625,209.75,219.0,207.0,214.0,4484554,2020-08-10
2020-08-17,198.8121337890625,210.8000030517578,215.6999969482422,207.10000610351562,210.14999389648438,2657305,2020-08-17
2020-08-24,209.04505920410156,221.64999389648438,236.0,210.5,212.0,14520537,2020-08-24
2020-08-31,196.92584228515625,208.8000030517578,224.64999389648438,202.85000610351562,222.0,3452526,2020-08-31
2020-09-07,189.47511291503906,200.89999389648438,208.89999389648438,189.0,208.0,3005615,2020-09-07
2020-09-14,193.71922302246094,205.39999389648438,214.75,201.89999389648438,201.9499969482422,2584129,2020-09-14
2020-09-21,182.73170471191406,193.75,206.1999969482422,188.0,205.0,1685313,2020-09-21
2020-09-28,187.1713104248047,196.9499969482422,204.5,195.10000610351562,195.4499969482422,1074191,2020-09-28
2020-10-05,182.8947296142578,192.4499969482422,198.60000610351562,191.5500030517578,197.89999389648438,731162,2020-10-05
2020-10-12,165.8359375,174.5,194.64999389648438,172.8000030517578,193.3000030517578,1679187,2020-10-12
2020-10-19,174.0089874267578,183.10000610351562,184.8000030517578,173.64999389648438,175.6999969482422,2560347,2020-10-19
2020-10-26,166.12106323242188,174.8000030517578,184.14999389648438,173.0,184.0,994491,2020-10-26
2020-11-02,176.669921875,185.89999389648438,188.8000030517578,173.5,175.5,1564206,2020-11-02
2020-11-09,178.28553771972656,187.60000610351562,192.0,183.60000610351562,185.9499969482422,1684608,2020-11-09
2020-11-16,184.03514099121094,193.64999389648438,196.39999389648438,185.0,185.6999969482422,2192343,2020-11-16
2020-11-23,182.37205505371094,191.89999389648438,195.39999389648438,187.5,194.8000030517578,1814006,2020-11-23
2020-11-30,184.03514099121094,193.64999389648438,197.8000030517578,183.25,191.89999389648438,1228464,2020-11-30
2020-12-07,189.68972778320312,199.60000610351562,209.39999389648438,196.35000610351562,198.0,3016465,2020-12-07
2020-12-14,196.95989990234375,207.25,213.5,197.5,201.5,4105545,2020-12-14
2020-12-21,195.6769256591797,205.89999389648438,213.89999389648438,187.0,205.25,2902262,2020-12-21
2020-12-28,189.54718017578125,199.4499969482422,208.0,196.0,206.0,3856139,2020-12-28
2021-01-04,191.1627655029297,201.14999389648438,206.39999389648438,198.60000610351562,201.0,3569871,2021-01-04
2021-01-11,187.1713104248047,196.9499969482422,218.39999389648438,194.35000610351562,203.8000030517578,18287686,2021-01-11
2021-01-18,180.99404907226562,190.4499969482422,201.0,189.0500030517578,197.1999969482422,2409791,2021-01-18
2021-01-25,179.47348022460938,188.85000610351562,194.5,185.10000610351562,191.9499969482422,1745740,2021-01-25
2021-02-01,180.04368591308594,189.4499969482422,197.8000030517578,187.25,189.39999389648438,3571623,2021-02-01
2021-02-08,178.23802185058594,187.5500030517578,198.89999389648438,185.64999389648438,190.39999389648438,5708896,2021-02-08
2021-02-15,179.33090209960938,188.6999969482422,193.39999389648438,183.0,188.0500030517578,3002011,2021-02-15
2021-02-22,181.70681762695312,191.1999969482422,195.0,181.25,188.89999389648438,2974386,2021-02-22
2021-03-01,184.46278381347656,194.10000610351562,205.5,191.5,192.0500030517578,6843784,2021-03-01
2021-03-08,184.27272033691406,193.89999389648438,201.6999969482422,193.3000030517578,196.25,2793311,2021-03-08
2021-03-15,174.0564727783203,183.14999389648438,196.5,176.1999969482422,195.0,2110598,2021-03-15
2021-03-22,168.5444793701172,177.35000610351562,190.5,176.0,182.6999969482422,1932097,2021-03-22
2021-03-29,183.1443634033203,191.4499969482422,193.6999969482422,176.0,177.35000610351562,2838551,2021-03-29
2021-04-05,182.9051971435547,191.1999969482422,197.39999389648438,183.25,190.89999389648438,4240313,2021-04-05
2021-04-12,175.2044219970703,183.14999389648438,187.8000030517578,178.89999389648438,187.8000030517578,1075535,2021-04-12
