Date,Adj Close_INDOWIND.NS,Close_INDOWIND.NS,High_INDOWIND.NS,Low_INDOWIND.NS,Open_INDOWIND.NS,Volume_INDOWIND.NS,Date
2020-07-13,3.3184421062469482,3.3184421062469482,3.3651809692382812,3.0847489833831787,3.3184421062469482,115648,2020-07-13
2020-07-20,3.038011074066162,3.038011074066162,3.45865797996521,2.8510560989379883,3.45865797996521,93392,2020-07-20
2020-07-27,2.6641008853912354,2.6641008853912354,3.0847489833831787,2.6641008853912354,3.038011074066162,188151,2020-07-27
2020-08-03,2.7575790882110596,2.7575790882110596,2.804316997528076,2.5706241130828857,2.7575790882110596,156435,2020-08-03
2020-08-10,3.131488084793091,3.131488084793091,3.2717039585113525,2.804316997528076,2.804316997528076,216406,2020-08-10
2020-08-17,3.131488084793091,3.131488084793091,3.4119200706481934,2.99127197265625,3.131488084793091,403613,2020-08-17
2020-08-24,3.131488084793091,3.131488084793091,3.3184421062469482,3.038011074066162,3.0847489833831787,194437,2020-08-24
2020-08-31,2.8977949619293213,2.8977949619293213,3.2717039585113525,2.8510560989379883,3.1782259941101074,301219,2020-08-31
2020-09-07,2.7108399868011475,2.7108399868011475,2.944533109664917,2.7108399868011475,2.944533109664917,131146,2020-09-07
2020-09-14,2.6641008853912354,2.6641008853912354,2.944533109664917,2.6173629760742188,2.7575790882110596,358061,2020-09-14
2020-09-21,2.6173629760742188,2.6173629760742188,2.804316997528076,2.5706241130828857,2.6641008853912354,118825,2020-09-21
2020-09-28,2.5706241130828857,2.5706241130828857,2.7108399868011475,2.477147102355957,2.6173629760742188,87694,2020-09-28
2020-10-05,2.5706241130828857,2.5706241130828857,2.804316997528076,2.477147102355957,2.52388596534729,89223,2020-10-05
2020-10-12,2.6641008853912354,2.6641008853912354,2.804316997528076,2.336930990219116,2.804316997528076,137967,2020-10-12
2020-10-19,2.6641008853912354,2.6641008853912354,2.7575790882110596,2.2434539794921875,2.7575790882110596,137211,2020-10-19
