Date,Adj Close_WOCKPHARMA.NS,Close_WOCKPHARMA.NS,High_WOCKPHARMA.NS,Low_WOCKPHARMA.NS,Open_WOCKPHARMA.NS,Volume_WOCKPHARMA.NS,Date
2020-07-13,236.45021057128906,236.45021057128906,238.57041931152344,219.0736541748047,231.10357666015625,2049363,2020-07-13
2020-07-20,245.43807983398438,245.43807983398438,253.50411987304688,232.8550567626953,239.03134155273438,5326297,2020-07-20
2020-07-27,254.4259490966797,254.4259490966797,259.6803894042969,233.13160705566406,245.57635498046875,5433314,2020-07-27
2020-08-03,285.12298583984375,285.12298583984375,316.18878173828125,254.4259490966797,256.2696228027344,18502526,2020-08-03
2020-08-10,297.2450866699219,297.2450866699219,303.19091796875,285.7682800292969,286.9666748046875,5577561,2020-08-10
2020-08-17,297.06072998046875,297.06072998046875,304.2049560546875,288.7181396484375,299.59576416015625,3291226,2020-08-17
2020-08-24,303.5135803222656,303.5135803222656,310.2890319824219,294.20306396484375,299.9184265136719,3965597,2020-08-24
2020-08-31,276.0890197753906,276.0890197753906,312.31707763671875,269.45184326171875,309.7359313964844,2669589,2020-08-31
2020-09-07,268.3917236328125,268.3917236328125,279.3154602050781,254.51812744140625,278.3014221191406,1548025,2020-09-07
2020-09-14,281.80438232421875,281.80438232421875,286.6440124511719,266.6402282714844,269.77447509765625,2725657,2020-09-14
2020-09-21,253.59629821777344,253.59629821777344,284.1550598144531,245.20762634277344,282.0809326171875,1799669,2020-09-21
2020-09-28,279.17718505859375,279.17718505859375,280.7442932128906,253.96502685546875,255.76260375976562,2006300,2020-09-28
2020-10-05,292.2210998535156,292.2210998535156,306.4173278808594,273.7844543457031,280.4677429199219,6407056,2020-10-05
2020-10-12,273.2774353027344,273.2774353027344,293.1429443359375,270.09710693359375,293.1429443359375,2002260,2020-10-12
2020-10-19,271.5720520019531,271.5720520019531,280.2372741699219,267.33160400390625,276.3655700683594,1379458,2020-10-19
2020-10-26,268.5299987792969,268.5299987792969,273.0008850097656,261.8927917480469,271.8486022949219,1142392,2020-10-26
2020-11-02,270.8345947265625,270.8345947265625,285.6300048828125,263.1833801269531,269.77447509765625,3862371,2020-11-02
2020-11-09,270.281494140625,270.281494140625,274.19927978515625,264.7043762207031,273.3235168457031,1654826,2020-11-09
2020-11-16,362.5569763183594,362.5569763183594,362.5569763183594,269.0830993652344,269.0830993652344,11445821,2020-11-16
2020-11-23,417.4521484375,417.4521484375,435.52008056640625,359.5149230957031,378.2281494140625,15033074,2020-11-23
2020-11-30,407.5424499511719,407.5424499511719,436.0270690917969,398.4162902832031,417.4521484375,3150562,2020-11-30
2020-12-07,477.27911376953125,477.27911376953125,506.0863952636719,405.1456604003906,406.34405517578125,14057074,2020-12-07
2020-12-14,469.3974304199219,469.3974304199219,493.18072509765625,464.0047302246094,482.1187438964844,3835006,2020-12-14
2020-12-21,452.0669860839844,452.0669860839844,477.8782958984375,391.64080810546875,467.18505859375,3682043,2020-12-21
2020-12-28,501.5233154296875,501.5233154296875,525.2605590820312,448.379638671875,455.06292724609375,14316756,2020-12-28
2021-01-04,476.40338134765625,476.40338134765625,514.3828735351562,470.1349182128906,506.8238830566406,5315958,2021-01-04
2021-01-11,491.3831787109375,491.3831787109375,505.1645812988281,447.1351623535156,477.8782958984375,6952135,2021-01-11
2021-01-18,473.591796875,473.591796875,513.368896484375,462.9906921386719,494.4713134765625,6005693,2021-01-18
2021-01-25,443.4478454589844,443.4478454589844,479.16888427734375,434.18341064453125,476.5877380371094,3485806,2021-01-25
2021-02-01,468.7982482910156,468.7982482910156,488.5254821777344,438.93084716796875,444.13922119140625,3799098,2021-02-01
2021-02-08,462.25323486328125,462.25323486328125,497.7899169921875,455.6621398925781,471.65594482421875,5262100,2021-02-08
2021-02-15,451.42169189453125,451.42169189453125,473.5456848144531,441.5580749511719,461.93060302734375,2925365,2021-02-15
2021-02-22,462.25323486328125,462.25323486328125,481.75,440.4057922363281,453.5880126953125,4538851,2021-02-22
2021-03-01,451.3294982910156,451.3294982910156,478.8001403808594,448.9788513183594,467.0928649902344,3549860,2021-03-01
2021-03-08,448.33355712890625,448.33355712890625,466.90850830078125,444.5079345703125,454.3715515136719,2047918,2021-03-08
2021-03-15,390.258056640625,390.258056640625,450.77642822265625,380.2100830078125,450.77642822265625,2602051,2021-03-15
2021-03-22,371.5909423828125,371.5909423828125,422.0152282714844,370.5769348144531,391.0416259765625,3716792,2021-03-22
2021-03-29,394.7750549316406,394.7750549316406,400.9052429199219,371.5909423828125,371.5909423828125,2544779,2021-03-29
2021-04-05,438.1011962890625,438.1011962890625,445.1993103027344,391.8251953125,394.5445861816406,5077551,2021-04-05
2021-04-12,420.81683349609375,420.81683349609375,436.2114562988281,400.3982238769531,436.0270690917969,3037033,2021-04-12
2021-04-19,464.6499938964844,464.6499938964844,504.8880310058594,408.4642639160156,420.3559265136719,25789668,2021-04-19
2021-04-26,474.42144775390625,474.42144775390625,491.10662841796875,464.14300537109375,470.042724609375,10291398,2021-04-26
2021-05-03,528.2564697265625,528.2564697265625,560.197998046875,472.3473205566406,472.3473205566406,27781920,2021-05-03
2021-05-10,584.2578735351562,584.2578735351562,604.7225341796875,530.9758911132812,533.050048828125,17746966,2021-05-10
2021-05-17,628.505859375,628.505859375,659.1107177734375,576.2839965820312,589.3279418945312,22442275,2021-05-17
2021-05-24,606.9810180664062,606.9810180664062,741.9835205078125,597.347900390625,631.4556884765625,29250529,2021-05-24
2021-05-31,603.8928833007812,603.8928833007812,622.2373657226562,568.7710571289062,608.409912109375,8242709,2021-05-31
2021-06-07,607.8568115234375,607.8568115234375,624.0810546875,590.2036743164062,609.1012573242188,4304359,2021-06-07
2021-06-14,544.3885498046875,544.3885498046875,607.2114868164062,535.7694091796875,605.5521850585938,2573091,2021-06-14
2021-06-21,521.3888549804688,521.3888549804688,565.9133911132812,497.05242919921875,537.4287109375,6485269,2021-06-21
2021-06-28,491.75189208984375,491.75189208984375,523.6934204101562,474.8362731933594,520.8357543945312,8301042,2021-06-28
