Date,Adj Close_VEEDOL.NS,Close_VEEDOL.NS,High_VEEDOL.NS,Low_VEEDOL.NS,Open_VEEDOL.NS,Volume_VEEDOL.NS,Date
2021-03-22,746.6968383789062,866.8300170898438,887.280029296875,864.4400024414062,875.7999877929688,29535,2021-03-22
2021-03-29,756.31005859375,877.989990234375,888.0,863.0,866.8300170898438,23100,2021-03-29
2021-04-05,771.5400390625,895.6699829101562,919.780029296875,865.0,877.8099975585938,55955,2021-04-05
2021-04-12,752.2703247070312,873.2999877929688,892.0999755859375,858.0,890.0,30260,2021-04-12
2021-04-19,775.0286254882812,899.719970703125,918.0,859.6199951171875,872.0,42575,2021-04-19
2021-04-26,771.8587646484375,896.0399780273438,939.7999877929688,874.0700073242188,899.719970703125,66535,2021-04-26
2021-05-03,775.7349853515625,900.5399780273438,907.3900146484375,856.219970703125,896.0,26655,2021-05-03
2021-05-10,812.5430908203125,943.27001953125,957.780029296875,889.5900268554688,901.2000122070312,81405,2021-05-10
2021-05-17,933.425048828125,1083.5999755859375,1120.0,945.0,945.0,370395,2021-05-17
2021-05-24,1492.8167724609375,1732.989990234375,1732.989990234375,1077.5999755859375,1093.800048828125,992680,2021-05-24
2021-05-31,2157.403564453125,2504.5,2542.0,1800.0,1820.0,1766695,2021-05-31
2021-06-07,1976.3529052734375,2294.320068359375,2599.800048828125,2147.31005859375,2540.0,561000,2021-06-07
2021-06-14,2027.8221435546875,2354.070068359375,2529.47998046875,2310.31005859375,2409.030029296875,494250,2021-06-14
2021-06-21,2100.85205078125,2438.85009765625,2543.989990234375,2301.989990234375,2320.0,185120,2021-06-21
2021-06-28,2263.1337890625,2627.239990234375,2627.239990234375,2408.010009765625,2460.0,130080,2021-06-28
2021-07-05,2882.108642578125,3345.800048828125,3345.800048828125,2757.0,2758.39990234375,223220,2021-07-05
2021-07-12,2729.44970703125,3168.580078125,3688.739990234375,2866.820068359375,3513.090087890625,485060,2021-07-12
2021-07-19,2565.497314453125,2978.25,3400.0,2908.7099609375,3220.0,176135,2021-07-19
2021-07-26,2687.10791015625,3111.550048828125,3447.64990234375,3111.550048828125,3127.14990234375,81761,2021-07-26
2021-08-02,2248.835205078125,2604.050048828125,3100.0,2604.050048828125,2956.0,75448,2021-08-02
2021-08-09,1842.6878662109375,2133.75,2549.050048828125,2117.699951171875,2496.199951171875,123992,2021-08-09
2021-08-16,1658.9158935546875,1920.949951171875,2100.0,1761.0,2032.5,92270,2021-08-16
2021-08-23,1565.43212890625,1812.699951171875,1974.300048828125,1750.0,1974.300048828125,68347,2021-08-23
2021-08-30,1549.1534423828125,1793.8499755859375,1839.4000244140625,1760.699951171875,1830.0,47399,2021-08-30
2021-09-06,1719.4970703125,1991.0999755859375,1991.3499755859375,1785.0,1823.0,88729,2021-09-06
2021-09-13,1662.931640625,1925.5999755859375,2049.800048828125,1875.0,2009.0,77428,2021-09-13
2021-09-20,1551.2691650390625,1796.300048828125,1925.0,1790.050048828125,1900.0999755859375,52980,2021-09-20
2021-09-27,1540.94921875,1784.3499755859375,1815.0,1775.0,1800.0,34038,2021-09-27
2021-10-04,1573.8521728515625,1822.449951171875,1970.25,1760.0,1793.5,114480,2021-10-04
2021-10-11,1553.6009521484375,1799.0,1852.449951171875,1760.0,1848.949951171875,43940,2021-10-11
2021-10-18,1478.64111328125,1712.199951171875,1827.050048828125,1701.0,1760.0,72068,2021-10-18
2021-10-25,1422.551025390625,1647.25,1742.0999755859375,1623.0,1730.199951171875,48016,2021-10-25
