Date,Adj Close_TIIL.NS,Close_TIIL.NS,High_TIIL.NS,Low_TIIL.NS,Open_TIIL.NS,Volume_TIIL.NS,Date
2020-07-13,240.94192504882812,242.5,255.0,240.0500030517578,243.0,16072,2020-07-13
2020-07-20,233.58946228027344,235.10000610351562,249.5,218.35000610351562,249.5,44015,2020-07-20
2020-07-27,220.2258758544922,221.64999389648438,240.0,211.0,228.0,23035,2020-07-27
2020-08-03,222.9582061767578,224.39999389648438,235.5,211.75,226.0,52226,2020-08-03
2020-08-10,238.40829467773438,239.9499969482422,247.39999389648438,215.25,232.89999389648438,99148,2020-08-10
2020-08-17,278.00225830078125,279.79998779296875,295.54998779296875,236.75,239.9499969482422,96760,2020-08-17
2020-08-24,281.9268798828125,283.75,334.8999938964844,280.0,284.79998779296875,134499,2020-08-24
2020-08-31,328.0784606933594,330.20001220703125,345.5,261.20001220703125,293.0,132814,2020-08-31
2020-09-07,352.371337890625,354.6499938964844,368.79998779296875,314.95001220703125,334.95001220703125,99448,2020-09-07
2020-09-14,361.16448974609375,363.5,374.5,352.04998779296875,355.0,46638,2020-09-14
2020-09-21,357.2398376464844,359.54998779296875,370.0,311.04998779296875,363.5,44819,2020-09-21
2020-09-28,355.2030334472656,357.5,389.0,352.0,352.0,32085,2020-09-28
2020-10-05,346.5092468261719,348.75,359.04998779296875,333.29998779296875,356.5,27485,2020-10-05
2020-10-12,340.2000427246094,342.3999938964844,365.0,336.95001220703125,354.79998779296875,40464,2020-10-12
2020-10-19,347.9996032714844,350.25,368.0,336.1499938964844,348.95001220703125,55932,2020-10-19
2020-10-26,337.66644287109375,339.8500061035156,360.6499938964844,335.0,350.1000061035156,42193,2020-10-26
2020-11-02,346.85699462890625,349.1000061035156,364.0,329.25,346.0,75294,2020-11-02
2020-11-09,319.03692626953125,321.1000061035156,349.20001220703125,304.8500061035156,349.20001220703125,75067,2020-11-09
2020-11-16,310.0947265625,312.1000061035156,327.95001220703125,309.8500061035156,324.54998779296875,30931,2020-11-16
2020-11-23,299.6622009277344,301.6000061035156,325.95001220703125,295.0,324.6000061035156,106903,2020-11-23
2020-11-30,308.2566223144531,310.25,314.8999938964844,299.0,301.6000061035156,61661,2020-11-30
2020-12-07,353.0668640136719,355.3500061035156,368.0,311.0,313.8999938964844,1310823,2020-12-07
2020-12-14,341.392333984375,343.6000061035156,368.0,331.75,368.0,114838,2020-12-14
2020-12-21,335.4805603027344,337.6499938964844,358.0,315.0,345.0,74661,2020-12-21
2020-12-28,345.8634338378906,348.1000061035156,361.79998779296875,334.8500061035156,339.29998779296875,86488,2020-12-28
2021-01-04,358.3824768066406,360.70001220703125,394.6000061035156,339.79998779296875,355.95001220703125,335689,2021-01-04
2021-01-11,341.8394470214844,344.04998779296875,375.0,339.0,374.8999938964844,149165,2021-01-11
2021-01-18,351.0299987792969,353.29998779296875,369.0,336.29998779296875,345.04998779296875,117357,2021-01-18
2021-01-25,355.9482116699219,358.25,374.0,341.6499938964844,358.0,92832,2021-01-25
2021-02-01,355.2030334472656,357.5,371.1000061035156,350.25,364.0,110646,2021-02-01
2021-02-08,378.40301513671875,380.8500061035156,425.0,352.0,357.54998779296875,477997,2021-02-08
2021-02-15,410.7438659667969,413.3999938964844,444.0,362.54998779296875,386.6000061035156,349168,2021-02-15
2021-02-22,398.7215881347656,401.29998779296875,423.04998779296875,391.0,418.8999938964844,98749,2021-02-22
2021-03-01,386.3019104003906,388.79998779296875,412.20001220703125,386.0,407.1000061035156,106562,2021-03-01
2021-03-08,372.3918762207031,374.79998779296875,402.0,371.3999938964844,388.1000061035156,54803,2021-03-08
2021-03-15,364.5923156738281,366.95001220703125,394.79998779296875,346.04998779296875,377.6499938964844,101806,2021-03-15
2021-03-22,353.31524658203125,355.6000061035156,383.95001220703125,351.54998779296875,370.75,102787,2021-03-22
2021-03-29,391.4188537597656,393.95001220703125,402.0,355.6000061035156,355.6000061035156,86676,2021-03-29
2021-04-05,386.45098876953125,388.95001220703125,410.8500061035156,381.54998779296875,393.04998779296875,92462,2021-04-05
