Date,Adj Close_DEEPAKFERT.NS,Close_DEEPAKFERT.NS,High_DEEPAKFERT.NS,Low_DEEPAKFERT.NS,Open_DEEPAKFERT.NS,Volume_DEEPAKFERT.NS,Date
2020-07-13,105.11346435546875,112.76569366455078,113.92922973632812,108.11156463623047,112.08696746826172,1344039,2020-07-13
2020-07-20,120.79463195800781,129.58843994140625,132.20639038085938,111.50520324707031,113.1535415649414,12123286,2020-07-20
2020-07-27,144.2485809326172,154.7498321533203,159.79180908203125,130.41261291503906,131.38221740722656,23679841,2020-07-27
2020-08-03,137.47000122070312,147.47775268554688,167.6941375732422,146.75054931640625,161.39166259765625,12881012,2020-08-03
2020-08-10,140.2266082763672,150.43505859375,162.79759216308594,142.775146484375,148.35040283203125,9356430,2020-08-10
2020-08-17,146.91482543945312,157.6101837158203,159.79180908203125,148.25343322753906,152.61668395996094,5524026,2020-08-17
2020-08-24,157.98654174804688,169.4879150390625,187.13482666015625,159.01611328125,159.98573303222656,15920622,2020-08-24
2020-08-31,153.82899475097656,165.02769470214844,175.25709533691406,158.2404327392578,171.6210479736328,5291965,2020-08-31
2020-09-07,145.8754425048828,156.49513244628906,169.4879150390625,150.82290649414062,165.70643615722656,3736281,2020-09-07
2020-09-14,153.3837127685547,164.5500030517578,169.9499969482422,158.0465087890625,158.14346313476562,5605532,2020-09-14
2020-09-21,141.64947509765625,149.25,164.75,143.14999389648438,164.5500030517578,3321313,2020-09-21
2020-09-28,146.2050323486328,154.0500030517578,157.89999389648438,150.3000030517578,151.60000610351562,1466192,2020-09-28
2020-10-05,142.0290985107422,149.64999389648438,154.8000030517578,146.6999969482422,154.0500030517578,1828120,2020-10-05
2020-10-12,132.016357421875,139.10000610351562,151.4499969482422,135.1999969482422,148.60000610351562,1806086,2020-10-12
2020-10-19,135.95501708984375,143.25,149.39999389648438,140.0,141.85000610351562,1505257,2020-10-19
2020-10-26,139.84622192382812,147.35000610351562,148.5,140.39999389648438,144.35000610351562,1710210,2020-10-26
2020-11-02,133.96194458007812,141.14999389648438,157.6999969482422,140.6999969482422,148.39999389648438,5228102,2020-11-02
2020-11-09,138.42262268066406,145.85000610351562,149.3000030517578,136.14999389648438,141.5,3765406,2020-11-09
2020-11-16,132.49087524414062,139.60000610351562,147.25,139.25,145.1999969482422,1345785,2020-11-16
2020-11-23,137.28370666503906,144.64999389648438,145.6999969482422,139.0,140.0,2080042,2020-11-23
2020-11-30,144.4017791748047,152.14999389648438,155.35000610351562,144.14999389648438,144.64999389648438,2845264,2020-11-30
2020-12-07,156.40757751464844,164.8000030517578,171.89999389648438,154.0,154.3000030517578,7234828,2020-12-07
2020-12-14,154.74668884277344,163.0500030517578,169.64999389648438,161.25,165.25,2425582,2020-12-14
2020-12-21,146.53720092773438,154.39999389648438,163.0,144.5,163.0,1434522,2020-12-21
2020-12-28,150.33349609375,158.39999389648438,161.39999389648438,153.25,156.0500030517578,1632382,2020-12-28
2021-01-04,157.4040985107422,165.85000610351562,169.0,157.25,159.1999969482422,4098808,2021-01-04
2021-01-11,154.3670654296875,162.64999389648438,167.6999969482422,159.14999389648438,166.8000030517578,2199667,2021-01-11
2021-01-18,149.57424926757812,157.60000610351562,165.0,156.10000610351562,163.60000610351562,1730207,2021-01-18
2021-01-25,147.77098083496094,155.6999969482422,160.8000030517578,147.5500030517578,158.10000610351562,1336147,2021-01-25
2021-02-01,155.1263427734375,163.4499969482422,175.0,153.5,157.0,6820011,2021-02-01
