Date,Adj Close_QUADFUTURE.NS,Close_QUADFUTURE.NS,High_QUADFUTURE.NS,Low_QUADFUTURE.NS,Open_QUADFUTURE.NS,Volume_QUADFUTURE.NS,Date
2025-01-13,597.9500122070312,597.9500122070312,619.5,362.1000061035156,370.0,51720553,2025-01-13
2025-01-20,520.7999877929688,520.7999877929688,590.7999877929688,485.29998779296875,579.0499877929688,17217067,2025-01-20
2025-01-27,544.0,544.0,583.4500122070312,445.0,518.0,13253744,2025-01-27
2025-02-03,697.2000122070312,697.2000122070312,744.0,525.5,530.0,42889803,2025-02-03
2025-02-10,507.75,507.75,677.0,462.6499938964844,677.0,66865480,2025-02-10
2025-02-17,469.6499938964844,469.6499938964844,536.0,461.3500061035156,518.0,35873661,2025-02-17
2025-02-24,439.54998779296875,439.54998779296875,497.3999938964844,412.20001220703125,463.0,19223821,2025-02-24
2025-03-03,519.75,519.75,533.5,410.0,443.0,19075583,2025-03-03
2025-03-10,488.6000061035156,488.6000061035156,524.0,468.0,515.7999877929688,9132068,2025-03-10
2025-03-17,514.6500244140625,514.6500244140625,550.0,458.6000061035156,488.0,13177403,2025-03-17
2025-03-24,525.4000244140625,525.4000244140625,587.0,503.0,523.9000244140625,27774053,2025-03-24
2025-03-31,540.75,540.75,604.75,516.4500122070312,525.4000244140625,31457010,2025-03-31
2025-04-07,505.5,505.5,557.2000122070312,471.0,472.1499938964844,18292657,2025-04-07
2025-04-14,518.0499877929688,518.0499877929688,536.5999755859375,505.5,505.5,6546887,2025-04-14
2025-04-21,496.45001220703125,496.45001220703125,544.2999877929688,485.1499938964844,526.0,7958341,2025-04-21
2025-04-28,462.3999938964844,462.3999938964844,508.0,460.1000061035156,496.1000061035156,3521651,2025-04-28
2025-05-05,438.29998779296875,438.29998779296875,481.20001220703125,428.04998779296875,469.3999938964844,4673339,2025-05-05
2025-05-12,471.45001220703125,471.45001220703125,486.0,453.04998779296875,457.95001220703125,3014954,2025-05-12
2025-05-19,466.8999938964844,466.8999938964844,488.0,458.1000061035156,475.0,2073249,2025-05-19
2025-05-26,448.75,448.75,484.95001220703125,446.0,476.25,1572072,2025-05-26
2025-06-02,454.95001220703125,454.95001220703125,466.6000061035156,443.1000061035156,448.75,1705759,2025-06-02
2025-06-09,485.29998779296875,485.29998779296875,517.4000244140625,455.0,455.0,6885272,2025-06-09
2025-06-16,461.70001220703125,461.70001220703125,493.3500061035156,447.0,488.0,1919739,2025-06-16
2025-06-23,476.70001220703125,476.70001220703125,499.0,449.79998779296875,459.0,2373766,2025-06-23
2025-06-30,471.45001220703125,471.45001220703125,484.8999938964844,465.5,478.0,852597,2025-06-30
2025-07-07,473.04998779296875,473.04998779296875,477.79998779296875,457.1499938964844,468.0,681928,2025-07-07
2025-07-14,489.04998779296875,489.04998779296875,507.29998779296875,467.75,474.0,1607294,2025-07-14
