Date,Adj Close_HEXT.NS,Close_HEXT.NS,High_HEXT.NS,Low_HEXT.NS,Open_HEXT.NS,Volume_HEXT.NS,Date
2025-02-17,809.9608764648438,817.4000244140625,824.0,708.0,745.5,28290283,2025-02-17
2025-02-24,801.0923461914062,808.4500122070312,847.0,784.4500122070312,808.6500244140625,6690304,2025-02-24
2025-03-03,774.6353149414062,781.75,827.9000244140625,758.5999755859375,803.0,6813905,2025-03-03
2025-03-10,752.0428466796875,758.9500122070312,803.4500122070312,753.0,780.0499877929688,2471471,2025-03-10
2025-03-17,721.968994140625,728.5999755859375,789.9500122070312,714.7999877929688,757.0,11364623,2025-03-17
2025-03-24,694.3724975585938,700.75,740.0,698.0,732.0,4122018,2025-03-24
2025-03-31,649.5838623046875,655.5499877929688,709.9000244140625,645.0999755859375,695.0,3364954,2025-03-31
2025-04-07,626.0499877929688,631.7999877929688,680.0499877929688,590.2999877929688,590.5,6642499,2025-04-07
2025-04-14,661.9700927734375,668.0499877929688,679.5,623.8499755859375,637.9500122070312,5597042,2025-04-14
2025-04-21,704.8499755859375,704.8499755859375,714.4000244140625,640.2000122070312,663.0,12823233,2025-04-21
2025-04-28,700.5499877929688,700.5499877929688,733.5,681.2999877929688,710.0,4297741,2025-04-28
2025-05-05,700.0499877929688,700.0499877929688,714.7999877929688,673.0999755859375,710.0,2426493,2025-05-05
2025-05-12,770.9500122070312,770.9500122070312,784.2999877929688,710.25,718.0,5764426,2025-05-12
2025-05-19,795.0999755859375,795.0999755859375,820.75,738.2000122070312,767.9500122070312,8004934,2025-05-19
2025-05-26,857.5,857.5,891.0,795.4500122070312,797.0,11715857,2025-05-26
2025-06-02,821.4000244140625,821.4000244140625,854.0,795.0499877929688,854.0,3242657,2025-06-02
2025-06-09,831.75,831.75,850.9000244140625,794.4000244140625,820.0,2377262,2025-06-09
2025-06-16,822.25,822.25,845.2000122070312,815.0499877929688,825.0999755859375,2063811,2025-06-16
2025-06-23,870.0999755859375,870.0999755859375,880.2999877929688,821.7000122070312,822.25,3512756,2025-06-23
2025-06-30,866.25,866.25,892.0,837.5,880.2999877929688,2722734,2025-06-30
2025-07-07,858.9000244140625,858.9000244140625,900.0,847.0499877929688,865.0,3798221,2025-07-07
2025-07-14,846.25,846.25,865.75,841.8499755859375,860.0,2148649,2025-07-14
