Date,Adj Close_MOL.NS,Close_MOL.NS,High_MOL.NS,Low_MOL.NS,Open_MOL.NS,Volume_MOL.NS,Date
2021-08-16,90.03218078613281,93.69999694824219,93.69999694824219,85.0,85.0,300188,2021-08-16
2021-08-23,107.08736419677734,111.44999694824219,113.80000305175781,98.3499984741211,98.3499984741211,4244959,2021-08-23
2021-08-30,125.72797393798828,130.85000610351562,149.6999969482422,107.5,114.9000015258789,17218937,2021-08-30
2021-09-06,113.52510833740234,118.1500015258789,135.5500030517578,114.5,132.0,6997510,2021-09-06
2021-09-13,113.95748901367188,118.5999984741211,128.25,114.0,118.4000015258789,7195880,2021-09-13
2021-09-20,119.33438873291016,122.75,129.6999969482422,113.05000305175781,118.0,7044421,2021-09-20
2021-09-27,119.52880859375,122.94999694824219,126.5,116.69999694824219,123.75,3876261,2021-09-27
2021-10-04,121.76482391357422,125.25,135.6999969482422,122.30000305175781,123.05000305175781,7574321,2021-10-04
2021-10-11,117.24420166015625,120.5999984741211,127.3499984741211,119.9000015258789,125.8499984741211,2970367,2021-10-11
2021-10-18,103.8768081665039,106.8499984741211,122.44999694824219,106.19999694824219,121.0,3197520,2021-10-18
2021-10-25,106.3558578491211,109.4000015258789,113.69999694824219,100.55000305175781,105.3499984741211,4238786,2021-10-25
2021-11-01,101.00890350341797,103.9000015258789,111.0,102.0,109.5,1800915,2021-11-01
2021-11-08,91.96768188476562,94.5999984741211,104.94999694824219,87.05000305175781,104.94999694824219,4737946,2021-11-08
2021-11-15,88.51646423339844,91.05000305175781,96.0,90.30000305175781,95.80000305175781,3726722,2021-11-15
2021-11-22,100.32837677001953,103.19999694824219,103.19999694824219,81.0999984741211,91.0,21315274,2021-11-22
2021-11-29,105.91837310791016,108.94999694824219,114.19999694824219,95.5999984741211,109.4000015258789,17381729,2021-11-29
2021-12-06,111.45977020263672,114.6500015258789,118.9000015258789,106.30000305175781,111.0,8782327,2021-12-06
2021-12-13,102.85603332519531,105.80000305175781,116.9000015258789,105.1500015258789,116.0,4697863,2021-12-13
2021-12-20,104.26568603515625,107.25,114.0,97.5,105.0,5421590,2021-12-20
2021-12-27,107.42524719238281,110.5,116.69999694824219,105.69999694824219,105.80000305175781,5230550,2021-12-27
2022-01-03,104.26568603515625,107.25,113.5,105.80000305175781,111.05000305175781,3700789,2022-01-03
2022-01-10,110.5848159790039,113.75,119.94999694824219,107.1500015258789,107.9000015258789,7712464,2022-01-10
2022-01-17,112.86942291259766,116.0999984741211,127.1500015258789,113.75,113.75,9629318,2022-01-17
2022-01-24,109.27238464355469,112.4000015258789,116.5,105.69999694824219,116.5,3938495,2022-01-24
2022-01-31,108.88350677490234,112.0,120.5,97.30000305175781,112.9000015258789,7092433,2022-01-31
2022-02-07,99.89089965820312,102.75,113.0,102.25,112.6500015258789,3369062,2022-02-07
2022-02-14,96.05081176757812,98.80000305175781,104.8499984741211,95.44999694824219,99.5,2673595,2022-02-14
2022-02-21,92.55097961425781,95.19999694824219,99.69999694824219,89.0,99.69999694824219,3631807,2022-02-21
2022-02-28,90.89828491210938,93.5,98.05000305175781,90.0999984741211,95.8499984741211,2188945,2022-02-28
2022-03-07,91.676025390625,94.30000305175781,98.19999694824219,88.5,91.94999694824219,3315385,2022-03-07
2022-03-14,92.01628875732422,94.6500015258789,96.69999694824219,93.0,94.0,2710991,2022-03-14
2022-03-21,106.1128158569336,109.1500015258789,112.19999694824219,94.8499984741211,95.6500015258789,8105660,2022-03-21
2022-03-28,105.8697738647461,108.9000015258789,110.69999694824219,100.55000305175781,109.8499984741211,5357215,2022-03-28
2022-04-04,104.70315551757812,107.69999694824219,113.94999694824219,104.0,109.55000305175781,4084652,2022-04-04
2022-04-11,106.2586441040039,109.30000305175781,110.3499984741211,105.0999984741211,107.69999694824219,1586962,2022-04-11
2022-04-18,117.34142303466797,120.69999694824219,125.8499984741211,104.0999984741211,108.19999694824219,14368773,2022-04-18
2022-04-25,121.76482391357422,125.25,132.39999389648438,115.0,118.9000015258789,15248939,2022-04-25
2022-05-02,126.1882095336914,129.8000030517578,152.5,122.8499984741211,123.80000305175781,37487535,2022-05-02
2022-05-09,112.28611755371094,115.5,129.8000030517578,113.05000305175781,129.8000030517578,13025121,2022-05-09
2022-05-16,121.9592514038086,125.44999694824219,126.9000015258789,111.69999694824219,115.5,14492027,2022-05-16
2022-05-23,116.75811767578125,120.0999984741211,130.5,110.0,126.4000015258789,9789840,2022-05-23
2022-05-30,129.6880340576172,133.39999389648438,140.89999389648438,121.1500015258789,121.80000305175781,14626964,2022-05-30
2022-06-06,122.3481216430664,125.8499984741211,135.3000030517578,124.5999984741211,133.14999389648438,7322608,2022-06-06
2022-06-13,112.04308319091797,115.25,125.05000305175781,112.3499984741211,120.55000305175781,5532348,2022-06-13
2022-06-20,115.03916931152344,116.9000015258789,119.0,105.94999694824219,115.6500015258789,4771927,2022-06-20
2022-06-27,122.07535552978516,124.05000305175781,129.0,118.05000305175781,118.4000015258789,6939554,2022-06-27
2022-07-04,129.80038452148438,131.89999389648438,134.39999389648438,123.0999984741211,124.9000015258789,6884433,2022-07-04
2022-07-11,131.03048706054688,133.14999389648438,138.0,128.6999969482422,131.25,7364227,2022-07-11
2022-07-18,136.9349822998047,139.14999389648438,148.1999969482422,133.10000610351562,134.5500030517578,16577233,2022-07-18
2022-07-25,125.81486511230469,127.8499984741211,138.89999389648438,126.30000305175781,138.0,9778753,2022-07-25
2022-08-01,120.35321807861328,122.30000305175781,133.75,121.6500015258789,128.60000610351562,6123687,2022-08-01
2022-08-08,123.05944061279297,125.05000305175781,128.3000030517578,120.05000305175781,122.30000305175781,4221432,2022-08-08
2022-08-15,123.20704650878906,125.19999694824219,129.39999389648438,124.0,125.05000305175781,3391958,2022-08-15
2022-08-22,121.63251495361328,123.5999984741211,126.5999984741211,121.5,124.75,3340060,2022-08-22
2022-08-29,120.94366455078125,122.9000015258789,125.25,120.69999694824219,121.05000305175781,2461826,2022-08-29
2022-09-05,126.94656372070312,129.0,133.0,122.5999984741211,122.9000015258789,6302356,2022-09-05
2022-09-12,128.76712036132812,130.85000610351562,135.89999389648438,127.0,129.75,7629474,2022-09-12
2022-09-19,120.79605102539062,122.75,134.8000030517578,120.55000305175781,130.85000610351562,6397819,2022-09-19
2022-09-26,117.6961898803711,119.5999984741211,125.25,115.05000305175781,120.0,4043428,2022-09-26
2022-10-03,122.81342315673828,124.80000305175781,126.4000015258789,118.0999984741211,119.9000015258789,2116591,2022-10-03
2022-10-10,114.4979248046875,116.3499984741211,124.5,115.8499984741211,122.5999984741211,3335549,2022-10-10
2022-10-17,112.72657775878906,114.55000305175781,122.25,113.25,116.44999694824219,5191774,2022-10-17
2022-10-24,109.62672424316406,111.4000015258789,115.0,109.6500015258789,114.55000305175781,2787945,2022-10-24
2022-10-31,113.90747833251953,115.75,116.75,108.0,111.80000305175781,3853991,2022-10-31
