Date,Adj Close_PAGEIND.NS,Close_PAGEIND.NS,High_PAGEIND.NS,Low_PAGEIND.NS,Open_PAGEIND.NS,Volume_PAGEIND.NS,Date
2020-07-13,18340.326171875,19378.849609375,20226.0,19100.0,19525.0,64623,2020-07-13
2020-07-20,18412.1640625,19454.75,19894.94921875,18888.0,19529.0,110901,2020-07-20
2020-07-27,18756.17578125,19818.25,20127.599609375,19025.69921875,19470.0,121165,2020-07-27
2020-08-03,17992.9921875,19011.849609375,20190.0,18980.0,19922.650390625,131766,2020-08-03
2020-08-10,17932.80078125,18948.25,19349.0,18642.400390625,19130.0,161914,2020-08-10
2020-08-17,19216.748046875,20304.900390625,20520.0,18780.44921875,19105.0,354498,2020-08-17
2020-08-24,19041.5703125,20119.80078125,21244.0,19952.0,20443.150390625,266325,2020-08-24
2020-08-31,17511.939453125,18503.55078125,20441.0,18400.0,20325.0,517779,2020-08-31
2020-09-07,17452.5,18440.75,18777.0,17900.0,18550.0,337793,2020-09-07
2020-09-14,17664.01953125,18664.25,19749.0,18540.0,18550.0,287125,2020-09-14
2020-09-21,18644.552734375,19700.30078125,19800.0,17685.0,18745.0,382916,2020-09-21
2020-09-28,20274.36328125,21422.400390625,22280.0,19728.05078125,19850.0,448620,2020-09-28
2020-10-05,19836.7890625,20960.05078125,21540.0,20401.19921875,21505.0,284337,2020-10-05
2020-10-12,19529.5859375,20635.44921875,21330.0,20015.25,20985.0,208334,2020-10-12
2020-10-19,19346.314453125,20441.80078125,20979.94921875,20102.0,20747.0,126928,2020-10-19
2020-10-26,18996.23828125,20071.900390625,20620.0,19720.05078125,20540.0,164060,2020-10-26
2020-11-02,20424.84375,21581.400390625,21800.0,19450.0,20125.0,310368,2020-11-02
2020-11-09,20678.431640625,21849.349609375,22359.94921875,21429.150390625,21770.0,393669,2020-11-09
2020-11-16,20950.5703125,22136.900390625,22936.19921875,21660.30078125,21923.94921875,194059,2020-11-16
2020-11-23,21631.994140625,22754.94921875,23187.05078125,21850.05078125,22300.0,244824,2020-11-23
2020-11-30,22828.296875,24013.349609375,24102.0,22661.0,22754.94921875,171212,2020-11-30
2020-12-07,22395.322265625,23557.900390625,24598.0,23412.0,23900.0,190114,2020-12-07
2020-12-14,26824.96875,28217.5,28400.0,23603.30078125,23819.0,658038,2020-12-14
2020-12-21,26122.44140625,27478.5,28434.69921875,26404.69921875,28100.0,329639,2020-12-21
2020-12-28,26766.083984375,28155.55078125,28260.44921875,26864.55078125,27689.0,188054,2020-12-28
2021-01-04,28370.54296875,29843.30078125,29989.94921875,28126.55078125,28250.0,234853,2021-01-04
2021-01-11,27029.3125,28432.44921875,30550.0,28248.19921875,29947.0,218045,2021-01-11
2021-01-18,27901.201171875,29349.599609375,29736.0,27914.30078125,28590.0,189804,2021-01-18
2021-01-25,25835.009765625,27176.150390625,29890.0,27000.0,29680.0,150757,2021-01-25
2021-02-01,27950.013671875,29400.94921875,30400.0,27076.099609375,27500.0,247760,2021-02-01
2021-02-08,29177.498046875,30692.150390625,32205.650390625,28780.0,29510.19921875,423582,2021-02-08
2021-02-15,26907.5859375,28304.400390625,30994.0,27700.0,30692.150390625,285558,2021-02-15
2021-02-22,26835.28125,28084.05078125,29335.80078125,27266.0,28490.0,226289,2021-02-22
2021-03-01,26915.22265625,28167.69921875,30148.400390625,27926.80078125,28498.0,232074,2021-03-01
2021-03-08,26907.095703125,28159.19921875,28770.0,27380.0,28350.0,149742,2021-03-08
2021-03-15,27074.171875,28334.05078125,29000.0,27616.25,28395.0,171131,2021-03-15
2021-03-22,28703.265625,30038.94921875,30900.0,28047.900390625,28400.0,240360,2021-03-22
2021-03-29,28854.857421875,30197.599609375,31179.44921875,29990.0,30038.94921875,123194,2021-03-29
2021-04-05,28189.375,29501.150390625,30380.0,29311.0,30380.0,132795,2021-04-05
2021-04-12,28874.158203125,30217.80078125,30400.0,28052.599609375,29122.0,111494,2021-04-12
2021-04-19,27832.24609375,29127.400390625,30600.0,29050.0,29301.05078125,101935,2021-04-19
2021-04-26,28341.73828125,29660.599609375,30997.900390625,29248.94921875,29249.0,192722,2021-04-26
2021-05-03,28312.353515625,29629.849609375,29950.0,29242.599609375,29336.599609375,103874,2021-05-03
2021-05-10,26787.17578125,28033.69921875,29887.349609375,27801.0,29630.0,93129,2021-05-10
2021-05-17,27977.818359375,29279.75,30362.900390625,27940.75,28299.0,191412,2021-05-17
2021-05-24,29967.767578125,31362.30078125,32460.0,29266.44921875,29498.0,412815,2021-05-24
2021-05-31,29663.3359375,31043.69921875,31525.0,30152.05078125,31350.0,184980,2021-05-31
2021-06-07,28787.447265625,30127.05078125,31247.0,29975.0,31247.0,108497,2021-06-07
2021-06-14,28378.37890625,29698.94921875,30450.0,29400.0,30225.0,81752,2021-06-14
2021-06-21,28145.705078125,29455.44921875,29978.400390625,29255.0,29600.0,86958,2021-06-21
2021-06-28,28436.234375,29759.5,30036.44921875,29119.94921875,29529.0,85404,2021-06-28
2021-07-05,29963.51953125,31357.849609375,31439.30078125,29767.5,29885.0,149777,2021-07-05
2021-07-12,31667.28125,33140.8984375,33492.0,31360.0,31380.69921875,184798,2021-07-12
2021-07-19,31892.8359375,33376.94921875,33789.55078125,32000.0,32967.80078125,93006,2021-07-19
2021-07-26,30101.3515625,31502.099609375,33989.0,31353.5,33300.0,120449,2021-07-26
2021-08-02,31135.48046875,32584.349609375,33150.8984375,31609.05078125,31798.0,61783,2021-08-02
