Date,Adj Close_SARLAPOLY.NS,Close_SARLAPOLY.NS,High_SARLAPOLY.NS,Low_SARLAPOLY.NS,Open_SARLAPOLY.NS,Volume_SARLAPOLY.NS,Date
2020-07-13,17.596323013305664,18.75,22.399999618530273,17.049999237060547,17.049999237060547,2849275,2020-07-13
2020-07-20,17.033239364624023,18.149999618530273,19.450000762939453,17.899999618530273,19.450000762939453,416680,2020-07-20
2020-07-27,14.874757766723633,15.850000381469727,17.799999237060547,15.800000190734863,17.600000381469727,485618,2020-07-27
2020-08-03,15.390915870666504,16.399999618530273,16.649999618530273,15.550000190734863,15.899999618530273,281572,2020-08-03
2020-08-10,15.766304016113281,16.799999237060547,18.600000381469727,15.600000381469727,16.350000381469727,816017,2020-08-10
2020-08-17,16.751697540283203,17.850000381469727,18.899999618530273,16.200000762939453,16.799999237060547,437364,2020-08-17
2020-08-24,17.78401756286621,18.950000762939453,19.950000762939453,17.399999618530273,18.0,1183371,2020-08-24
2020-08-31,15.953998565673828,17.0,19.25,16.799999237060547,19.25,346273,2020-08-31
2020-09-07,16.84554672241211,17.950000762939453,18.899999618530273,15.800000190734863,17.299999237060547,467381,2020-09-07
2020-09-14,19.94249725341797,21.25,23.399999618530273,17.549999237060547,18.399999618530273,3707259,2020-09-14
2020-09-21,17.127086639404297,18.25,21.700000762939453,16.700000762939453,21.350000381469727,663417,2020-09-21
2020-09-28,17.690168380737305,18.850000381469727,19.25,17.200000762939453,18.200000762939453,420317,2020-09-28
2020-10-05,18.347097396850586,19.549999237060547,20.850000381469727,18.299999237060547,19.0,633950,2020-10-05
2020-10-12,16.51708221435547,17.600000381469727,19.5,17.399999618530273,19.350000381469727,454782,2020-10-12
2020-10-19,16.0478458404541,17.100000381469727,18.5,16.350000381469727,17.850000381469727,633526,2020-10-19
2020-10-26,16.0478458404541,17.100000381469727,19.700000762939453,16.600000381469727,17.299999237060547,1315007,2020-10-26
2020-11-02,16.00092124938965,17.049999237060547,17.600000381469727,16.649999618530273,17.100000381469727,343556,2020-11-02
2020-11-09,16.93939208984375,18.049999237060547,18.25,16.75,17.0,564355,2020-11-09
2020-11-16,17.455551147460938,18.600000381469727,19.75,17.25,17.899999618530273,959490,2020-11-16
2020-11-23,18.0655574798584,19.25,20.25,17.850000381469727,19.0,1175423,2020-11-23
2020-11-30,20.599428176879883,21.950000762939453,23.299999237060547,18.899999618530273,19.25,2544265,2020-11-30
2020-12-07,20.130191802978516,21.450000762939453,22.149999618530273,20.0,22.100000381469727,1078689,2020-12-07
2020-12-14,22.851757049560547,24.350000381469727,26.799999237060547,21.5,22.0,3155163,2020-12-14
2020-12-21,20.88096809387207,22.25,24.799999237060547,20.049999237060547,24.799999237060547,915432,2020-12-21
2020-12-28,22.94560432434082,24.450000762939453,24.799999237060547,22.100000381469727,23.0,1169563,2020-12-28
