Date,Adj Close_IPCALAB.NS,Close_IPCALAB.NS,High_IPCALAB.NS,Low_IPCALAB.NS,Open_IPCALAB.NS,Volume_IPCALAB.NS,Date
2020-07-13,888.23974609375,903.4749755859375,922.3499755859375,815.9749755859375,830.0,2704500,2020-07-13
2020-07-20,876.3438720703125,891.375,915.4500122070312,865.5250244140625,900.0250244140625,2104608,2020-07-20
2020-07-27,921.4944458007812,937.2999877929688,951.0,857.5,892.0,3149710,2020-07-27
2020-08-03,961.8522338867188,978.3499755859375,1017.4500122070312,927.5250244140625,949.5,3203302,2020-08-03
2020-08-10,989.6258544921875,1006.5999755859375,1087.449951171875,972.5,991.0999755859375,10002240,2020-08-10
2020-08-17,985.4229125976562,1002.3250122070312,1035.0,990.0250244140625,1012.5,2858306,2020-08-17
2020-08-24,983.3583374023438,1000.2249755859375,1047.5,995.0499877929688,1000.5250244140625,2645880,2020-08-24
2020-08-31,994.3203735351562,1011.375,1034.0,930.1749877929688,1004.0,3009718,2020-08-31
2020-09-07,989.7241821289062,1006.7000122070312,1042.0,966.9000244140625,1011.4500122070312,3118150,2020-09-07
2020-09-14,1065.302734375,1083.574951171875,1118.050048828125,1025.0,1025.0,4524782,2020-09-14
2020-09-21,1016.1951904296875,1033.625,1091.699951171875,994.0,1085.0,2181674,2020-09-21
2020-09-28,1107.84814453125,1126.8499755859375,1133.9749755859375,1019.0,1050.949951171875,1910144,2020-09-28
2020-10-05,1035.169677734375,1052.925048828125,1125.0,1048.0,1124.199951171875,2065492,2020-10-05
2020-10-12,1037.8240966796875,1055.625,1069.5,1030.925048828125,1056.125,1413490,2020-10-12
2020-10-19,1069.3582763671875,1087.699951171875,1099.0,1016.5,1061.0,1933336,2020-10-19
2020-10-26,1137.04736328125,1156.550048828125,1230.0,1040.875,1087.699951171875,7650214,2020-10-26
2020-11-02,1148.6973876953125,1168.4000244140625,1225.0,1132.5,1136.0250244140625,3843404,2020-11-02
2020-11-09,1029.8360595703125,1047.5,1184.0,981.0499877929688,1155.0,11611144,2020-11-09
2020-11-16,1055.3538818359375,1069.3499755859375,1079.8499755859375,1023.5499877929688,1039.7750244140625,6399440,2020-11-16
2020-11-23,1069.1953125,1083.375,1143.5,1040.5,1074.5,24764070,2020-11-23
2020-11-30,1110.892333984375,1125.625,1149.5,1083.375,1083.375,4166450,2020-11-30
2020-12-07,1091.1295166015625,1105.5999755859375,1139.699951171875,1102.5,1124.0250244140625,2773638,2020-12-07
2020-12-14,1102.50341796875,1117.125,1142.875,1051.5250244140625,1114.949951171875,4764878,2020-12-14
2020-12-21,1067.9368896484375,1082.0999755859375,1119.25,1072.5250244140625,1116.0999755859375,2275574,2020-12-21
2020-12-28,1075.75830078125,1090.0250244140625,1099.5,1073.550048828125,1082.0,1657094,2020-12-28
2021-01-04,1057.377197265625,1071.4000244140625,1094.9000244140625,1055.0250244140625,1094.9000244140625,2416102,2021-01-04
2021-01-11,1040.377685546875,1054.175048828125,1084.925048828125,1045.0,1077.5,2565102,2021-01-11
2021-01-18,1008.9443969726562,1022.3250122070312,1074.125,1006.4000244140625,1054.0,2098466,2021-01-18
2021-01-25,913.9048461914062,926.0250244140625,1023.4749755859375,916.4749755859375,1018.5,3134700,2021-01-25
2021-02-01,953.4058837890625,966.0499877929688,1027.75,910.1749877929688,932.5,4644776,2021-02-01
2021-02-08,936.5543823242188,948.9749755859375,999.5,945.625,967.0,1955738,2021-02-08
2021-02-15,912.6712036132812,924.7750244140625,969.2249755859375,920.0,947.5,2090310,2021-02-15
2021-02-22,912.6712036132812,924.7750244140625,942.25,892.7000122070312,919.9500122070312,2617536,2021-02-22
2021-03-01,949.1375122070312,961.7249755859375,986.375,911.125,920.2750244140625,2952146,2021-03-01
2021-03-08,963.5465087890625,976.3250122070312,982.5,957.25,964.9000244140625,1278630,2021-03-08
2021-03-15,907.5392456054688,919.5750122070312,976.3250122070312,900.1500244140625,973.5999755859375,2546198,2021-03-15
2021-03-22,917.7785034179688,929.9500122070312,947.5,908.0750122070312,927.5250244140625,2170988,2021-03-22
2021-03-29,928.6837768554688,941.0,972.5,929.9500122070312,929.9500122070312,1121958,2021-03-29
2021-04-05,1029.348876953125,1043.0,1057.5,916.6749877929688,941.0,3388298,2021-04-05
2021-04-12,1056.9576416015625,1070.9749755859375,1107.5,1017.5250244140625,1045.0,3670930,2021-04-12
2021-04-19,1036.92333984375,1050.675048828125,1110.0,1041.0,1070.0,2129736,2021-04-19
2021-04-26,1038.87255859375,1052.6500244140625,1072.0,1016.2750244140625,1062.0,1329050,2021-04-26
2021-05-03,1014.6931762695312,1028.1500244140625,1074.0,1023.5750122070312,1050.0,1110582,2021-05-03
2021-05-10,1060.362548828125,1074.425048828125,1089.4749755859375,1027.5,1028.5,1927828,2021-05-10
2021-05-17,1099.12353515625,1113.699951171875,1129.3499755859375,1073.449951171875,1074.425048828125,3434074,2021-05-17
2021-05-24,1000.3829956054688,1013.6500244140625,1154.5,998.0499877929688,1121.5,6053454,2021-05-24
2021-05-31,1015.9514770507812,1029.425048828125,1067.5,1011.0,1024.5,3068100,2021-05-31
2021-06-07,1010.0299072265625,1023.4249877929688,1032.949951171875,1015.4249877929688,1030.0,3032396,2021-06-07
2021-06-14,983.3834228515625,996.4249877929688,1056.550048828125,982.0499877929688,1025.4749755859375,2772776,2021-06-14
2021-06-21,996.114501953125,1009.3250122070312,1028.949951171875,987.9500122070312,996.0,1718998,2021-06-21
2021-06-28,994.4368286132812,1007.625,1020.0,997.5250244140625,1014.0,1043384,2021-06-28
2021-07-05,1031.1005859375,1044.7750244140625,1070.0,1000.0,1007.4500122070312,2042852,2021-07-05
2021-07-12,1035.097412109375,1048.824951171875,1074.5,1034.2750244140625,1047.5,1001866,2021-07-12
2021-07-19,1087.40380859375,1101.824951171875,1105.5250244140625,1024.625,1045.574951171875,1397450,2021-07-19
2021-07-26,1038.428466796875,1052.199951171875,1122.5,1042.0,1101.824951171875,1291056,2021-07-26
2021-08-02,1071.4652099609375,1085.675048828125,1122.074951171875,1025.5,1046.625,3031150,2021-08-02
2021-08-09,1177.1142578125,1192.7249755859375,1217.5,1081.0,1099.5,3681082,2021-08-09
2021-08-16,1245.630615234375,1262.1500244140625,1274.4749755859375,1176.25,1194.7249755859375,2800452,2021-08-16
