Date,Adj Close_FCL.NS,Close_FCL.NS,High_FCL.NS,Low_FCL.NS,Open_FCL.NS,Volume_FCL.NS,Date
2020-07-13,27.642162322998047,28.0,32.099998474121094,27.200000762939453,31.299999237060547,2271545,2020-07-13
2020-07-20,28.2344970703125,28.600000381469727,30.899999618530273,28.0,29.0,2019659,2020-07-20
2020-07-27,29.66596221923828,30.049999237060547,33.099998474121094,29.149999618530273,29.700000762939453,2766589,2020-07-27
2020-08-03,31.393600463867188,31.799999237060547,34.20000076293945,29.100000381469727,29.850000381469727,1968706,2020-08-03
2020-08-10,31.689767837524414,32.099998474121094,33.75,31.350000381469727,32.20000076293945,1804810,2020-08-10
2020-08-17,34.50334548950195,34.95000076293945,37.0,32.099998474121094,32.099998474121094,3220116,2020-08-17
2020-08-24,31.442960739135742,31.850000381469727,35.849998474121094,31.350000381469727,34.900001525878906,1986096,2020-08-24
2020-08-31,30.949352264404297,31.350000381469727,34.0,29.700000762939453,33.099998474121094,1307687,2020-08-31
2020-09-07,32.03529739379883,32.45000076293945,33.45000076293945,30.700000762939453,31.799999237060547,1005589,2020-09-07
2020-09-14,32.331459045410156,32.75,33.25,31.75,33.25,799661,2020-09-14
2020-09-21,31.591045379638672,32.0,33.20000076293945,29.649999618530273,33.0,884487,2020-09-21
2020-09-28,32.13401412963867,32.54999923706055,33.75,31.549999237060547,33.0,510483,2020-09-28
2020-10-05,31.936573028564453,32.349998474121094,33.5,31.0,33.400001525878906,667487,2020-10-05
2020-10-12,29.96213150024414,30.350000381469727,32.900001525878906,30.149999618530273,32.75,393305,2020-10-12
2020-10-19,29.8634090423584,30.25,31.0,29.299999237060547,30.5,400365,2020-10-19
2020-10-26,29.814048767089844,30.200000762939453,32.900001525878906,29.700000762939453,30.899999618530273,487224,2020-10-26
2020-11-02,37.36627960205078,37.849998474121094,39.5,30.600000381469727,31.950000762939453,5936576,2020-11-02
2020-11-09,39.1926383972168,39.70000076293945,41.0,33.20000076293945,38.650001525878906,5720148,2020-11-09
2020-11-16,37.61308670043945,38.099998474121094,41.900001525878906,37.95000076293945,39.75,2029059,2020-11-16
2020-11-23,42.64790725708008,43.20000076293945,47.0,37.25,38.400001525878906,6541510,2020-11-23
2020-11-30,42.9440803527832,43.5,44.900001525878906,42.29999923706055,43.20000076293945,1661155,2020-11-30
2020-12-07,49.4597282409668,50.099998474121094,55.79999923706055,42.5,43.0,6837400,2020-12-07
2020-12-14,49.01548385620117,49.650001525878906,55.0,48.0,50.29999923706055,2824720,2020-12-14
