Date,Adj Close_SPAL.NS,Close_SPAL.NS,High_SPAL.NS,Low_SPAL.NS,Open_SPAL.NS,Volume_SPAL.NS,Date
2020-07-13,74.53400421142578,75.5,77.5,70.0999984741211,76.0,71795,2020-07-13
2020-07-20,69.99286651611328,70.9000015258789,78.0,70.0999984741211,75.5,274561,2020-07-20
2020-07-27,67.42613220214844,68.30000305175781,71.9000015258789,67.05000305175781,71.5,126378,2020-07-27
2020-08-03,71.8191909790039,72.75,73.80000305175781,61.5,68.3499984741211,122863,2020-08-03
2020-08-10,78.53219604492188,79.55000305175781,91.69999694824219,71.1500015258789,73.0,403620,2020-08-10
2020-08-17,100.79367065429688,102.0999984741211,102.0999984741211,80.25,82.80000305175781,445553,2020-08-17
2020-08-24,103.50848388671875,104.8499984741211,118.0,97.80000305175781,114.9000015258789,1105464,2020-08-24
2020-08-31,96.99293518066406,98.25,108.75,91.94999694824219,105.0,474362,2020-08-31
2020-09-07,104.79185485839844,106.1500015258789,111.5,92.0,96.0,663631,2020-09-07
2020-09-14,120.4884262084961,122.05000305175781,124.25,106.1500015258789,107.0,745487,2020-09-14
2020-09-21,112.98565673828125,114.44999694824219,129.8000030517578,105.94999694824219,122.25,335742,2020-09-21
2020-09-28,136.23434448242188,138.0,144.5,108.6500015258789,115.0,1159517,2020-09-28
2020-10-05,133.81568908691406,135.5500030517578,159.0,130.8000030517578,141.0,500899,2020-10-05
2020-10-12,129.66944885253906,131.35000610351562,141.0,118.9000015258789,138.75,128947,2020-10-12
2020-10-19,128.9290313720703,130.60000610351562,138.0,102.9000015258789,135.6999969482422,136812,2020-10-19
2020-10-26,131.89064025878906,133.60000610351562,139.1999969482422,116.94999694824219,128.35000610351562,310370,2020-10-26
2020-11-02,127.59629821777344,129.25,139.0,126.5999984741211,130.9499969482422,96301,2020-11-02
2020-11-09,140.4793243408203,142.3000030517578,144.75,124.05000305175781,130.1999969482422,274825,2020-11-09
2020-11-16,136.92538452148438,138.6999969482422,148.0,132.64999389648438,143.64999389648438,101795,2020-11-16
2020-11-23,140.923583984375,142.75,145.0,135.10000610351562,140.4499969482422,140678,2020-11-23
2020-11-30,141.1210174560547,142.9499969482422,146.0,136.10000610351562,142.75,88767,2020-11-30
2020-12-07,168.3185272216797,170.5,175.0,138.14999389648438,141.0,248409,2020-12-07
2020-12-14,165.20883178710938,167.35000610351562,180.0,165.10000610351562,172.6999969482422,175265,2020-12-14
2020-12-21,149.11737060546875,151.0500030517578,169.6999969482422,135.10000610351562,168.0,211773,2020-12-21
2020-12-28,156.1759033203125,158.1999969482422,169.25,152.0,154.25,153288,2020-12-28
2021-01-04,173.94558715820312,176.1999969482422,184.39999389648438,158.0,158.14999389648438,487234,2021-01-04
2021-01-11,162.09913635253906,164.1999969482422,178.6999969482422,162.10000610351562,177.6999969482422,171877,2021-01-11
2021-01-18,155.48486328125,157.5,170.4499969482422,151.0,163.64999389648438,143764,2021-01-18
