Date,Adj Close_SAKAR.NS,Close_SAKAR.NS,High_SAKAR.NS,Low_SAKAR.NS,Open_SAKAR.NS,Volume_SAKAR.NS,Date
2020-07-13,55.29999923706055,55.29999923706055,57.95000076293945,52.900001525878906,56.54999923706055,57203,2020-07-13
2020-07-20,54.20000076293945,54.20000076293945,58.75,53.650001525878906,56.79999923706055,137329,2020-07-20
2020-07-27,55.54999923706055,55.54999923706055,57.95000076293945,51.70000076293945,52.70000076293945,139840,2020-07-27
2020-08-03,55.900001525878906,55.900001525878906,57.849998474121094,53.650001525878906,57.849998474121094,102646,2020-08-03
2020-08-10,68.4000015258789,68.4000015258789,70.0999984741211,55.0,57.0,190391,2020-08-10
2020-08-17,73.94999694824219,73.94999694824219,79.75,66.1500015258789,68.4000015258789,236416,2020-08-17
2020-08-24,79.0999984741211,79.0999984741211,83.0,73.0999984741211,73.94999694824219,275899,2020-08-24
2020-08-31,72.0999984741211,72.0999984741211,81.75,68.5999984741211,78.0,59609,2020-08-31
2020-09-07,68.4000015258789,68.4000015258789,74.0,67.0,72.0999984741211,57765,2020-09-07
2020-09-14,72.0999984741211,72.0999984741211,75.69999694824219,68.05000305175781,71.0,93039,2020-09-14
2020-09-21,75.05000305175781,75.05000305175781,77.69999694824219,66.5,75.5,112785,2020-09-21
2020-09-28,78.3499984741211,78.3499984741211,80.3499984741211,73.30000305175781,75.05000305175781,75440,2020-09-28
2020-10-05,90.8499984741211,90.8499984741211,92.0,76.19999694824219,78.3499984741211,381550,2020-10-05
2020-10-12,75.25,75.25,96.0,73.6500015258789,90.9000015258789,253753,2020-10-12
2020-10-19,82.44999694824219,82.44999694824219,84.0999984741211,69.5,74.0999984741211,95809,2020-10-19
2020-10-26,86.75,86.75,90.5999984741211,80.25,83.94999694824219,78210,2020-10-26
2020-11-02,86.44999694824219,86.44999694824219,91.5,81.94999694824219,90.0,161310,2020-11-02
2020-11-09,80.25,80.25,88.4000015258789,79.0,85.05000305175781,214464,2020-11-09
2020-11-16,80.80000305175781,80.80000305175781,84.5,72.25,80.25,145758,2020-11-16
2020-11-23,81.0,81.0,83.5999984741211,78.0,79.0,80449,2020-11-23
2020-11-30,91.6500015258789,91.6500015258789,94.0,81.0,81.0,262506,2020-11-30
2020-12-07,96.0,96.0,107.30000305175781,91.0,92.25,533374,2020-12-07
2020-12-14,103.25,103.25,105.80000305175781,93.44999694824219,97.9000015258789,284799,2020-12-14
2020-12-21,100.0,100.0,103.94999694824219,90.19999694824219,103.94999694824219,150098,2020-12-21
2020-12-28,97.44999694824219,97.44999694824219,101.5999984741211,96.3499984741211,100.55000305175781,120823,2020-12-28
2021-01-04,110.25,110.25,122.4000015258789,97.5,97.5,761434,2021-01-04
2021-01-11,114.4000015258789,114.4000015258789,128.0,108.0,111.80000305175781,506657,2021-01-11
2021-01-18,111.19999694824219,111.19999694824219,121.5,110.25,118.80000305175781,314760,2021-01-18
2021-01-25,104.0999984741211,104.0999984741211,115.0,101.0999984741211,114.6500015258789,128018,2021-01-25
