Date,Adj Close_BAJEL.NS,Close_BAJEL.NS,High_BAJEL.NS,Low_BAJEL.NS,Open_BAJEL.NS,Volume_BAJEL.NS,Date
2023-12-18,162.9499969482422,162.9499969482422,204.89999389648438,162.9499969482422,200.0,60085,2023-12-18
2023-12-25,132.8000030517578,132.8000030517578,162.9499969482422,132.8000030517578,162.9499969482422,88786,2023-12-25
2024-01-01,129.85000610351562,129.85000610351562,139.39999389648438,108.25,126.19999694824219,16333966,2024-01-01
2024-01-08,153.60000610351562,153.60000610351562,170.5,137.64999389648438,144.39999389648438,27638464,2024-01-08
2024-01-15,187.60000610351562,187.60000610351562,188.5,153.60000610351562,153.60000610351562,11448125,2024-01-15
2024-01-22,179.5500030517578,179.5500030517578,194.6999969482422,173.64999389648438,187.60000610351562,3395375,2024-01-22
2024-01-29,205.6999969482422,205.6999969482422,205.6999969482422,170.0,180.9499969482422,6022908,2024-01-29
2024-02-05,222.35000610351562,222.35000610351562,236.10000610351562,201.64999389648438,218.1999969482422,7979312,2024-02-05
2024-02-12,229.0500030517578,229.0500030517578,248.35000610351562,209.10000610351562,227.0,7516407,2024-02-12
2024-02-19,234.35000610351562,234.35000610351562,238.0,213.5500030517578,230.14999389648438,3426731,2024-02-19
2024-02-26,218.14999389648438,218.14999389648438,241.8000030517578,211.0,239.0,3286189,2024-02-26
2024-03-04,200.6999969482422,200.6999969482422,234.0,194.0,232.4499969482422,2812142,2024-03-04
2024-03-11,192.8000030517578,192.8000030517578,209.8000030517578,175.0,202.14999389648438,3528927,2024-03-11
2024-03-18,204.8000030517578,204.8000030517578,204.8000030517578,178.60000610351562,194.0,1897309,2024-03-18
2024-03-25,215.1999969482422,215.1999969482422,225.4499969482422,204.8000030517578,204.8000030517578,1391276,2024-03-25
2024-04-01,226.5,226.5,229.0,209.25,220.0,3005291,2024-04-01
2024-04-08,221.5,221.5,234.6999969482422,215.0500030517578,229.0,2657563,2024-04-08
2024-04-15,258.79998779296875,258.79998779296875,258.79998779296875,209.0,215.25,10050022,2024-04-15
2024-04-22,277.54998779296875,277.54998779296875,296.0,260.0,276.8999938964844,7463011,2024-04-22
2024-04-29,280.1000061035156,280.1000061035156,289.6000061035156,265.20001220703125,279.8999938964844,3066395,2024-04-29
2024-05-06,256.29998779296875,256.29998779296875,284.5,245.0500030517578,284.5,2847926,2024-05-06
2024-05-13,257.54998779296875,257.54998779296875,273.5,245.10000610351562,257.0,2461233,2024-05-13
2024-05-20,268.3999938964844,268.3999938964844,292.70001220703125,253.60000610351562,260.79998779296875,3765050,2024-05-20
2024-05-27,247.0500030517578,247.0500030517578,272.25,245.10000610351562,271.0,1988058,2024-05-27
2024-06-03,264.75,264.75,268.0,234.14999389648438,257.8999938964844,3279355,2024-06-03
2024-06-10,300.2300109863281,300.2300109863281,304.8500061035156,260.0,264.95001220703125,6759210,2024-06-10
2024-06-17,301.1400146484375,301.1400146484375,324.79998779296875,292.9200134277344,300.2300109863281,5643325,2024-06-17
2024-06-24,297.2799987792969,297.2799987792969,314.5,287.0,302.0,3518841,2024-06-24
2024-07-01,320.95001220703125,320.95001220703125,330.0,290.0,300.0,5302320,2024-07-01
