Date,Adj Close_UMESLTD.NS,Close_UMESLTD.NS,High_UMESLTD.NS,Low_UMESLTD.NS,Open_UMESLTD.NS,Volume_UMESLTD.NS,Date
2020-07-13,1.5,1.5,1.5,1.5,1.5,0,2020-07-13
2020-07-20,1.4500000476837158,1.4500000476837158,1.4500000476837158,1.4500000476837158,1.4500000476837158,300,2020-07-20
2020-07-27,1.399999976158142,1.399999976158142,1.399999976158142,1.399999976158142,1.399999976158142,4699,2020-07-27
2020-08-03,1.399999976158142,1.399999976158142,1.399999976158142,1.399999976158142,1.399999976158142,0,2020-08-03
2020-08-10,1.2999999523162842,1.2999999523162842,1.2999999523162842,1.25,1.2999999523162842,9704,2020-08-10
2020-08-17,1.149999976158142,1.149999976158142,1.350000023841858,1.100000023841858,1.350000023841858,34221,2020-08-17
2020-08-24,1.149999976158142,1.149999976158142,1.2000000476837158,1.0499999523162842,1.100000023841858,12382,2020-08-24
2020-08-31,1.25,1.25,1.25,1.100000023841858,1.100000023841858,1876,2020-08-31
2020-09-07,1.2000000476837158,1.2000000476837158,1.25,1.2000000476837158,1.25,3892,2020-09-07
2020-09-14,1.100000023841858,1.100000023841858,1.25,1.100000023841858,1.2000000476837158,12132,2020-09-14
2020-09-21,1.100000023841858,1.100000023841858,1.25,1.100000023841858,1.149999976158142,25241,2020-09-21
2020-09-28,1.100000023841858,1.100000023841858,1.2000000476837158,1.0499999523162842,1.100000023841858,27464,2020-09-28
2020-10-05,1.100000023841858,1.100000023841858,1.149999976158142,1.0499999523162842,1.149999976158142,34242,2020-10-05
2020-10-12,1.100000023841858,1.100000023841858,1.25,1.100000023841858,1.149999976158142,22131,2020-10-12
2020-10-19,1.2999999523162842,1.2999999523162842,1.2999999523162842,1.100000023841858,1.100000023841858,53117,2020-10-19
2020-10-26,1.350000023841858,1.350000023841858,1.399999976158142,1.2000000476837158,1.350000023841858,95739,2020-10-26
2020-11-02,1.2999999523162842,1.2999999523162842,1.399999976158142,1.2000000476837158,1.399999976158142,89751,2020-11-02
2020-11-09,1.350000023841858,1.350000023841858,1.350000023841858,1.2000000476837158,1.350000023841858,31673,2020-11-09
2020-11-16,1.2999999523162842,1.2999999523162842,1.350000023841858,1.25,1.2999999523162842,7818,2020-11-16
2020-11-23,1.25,1.25,1.350000023841858,1.2000000476837158,1.2999999523162842,81697,2020-11-23
2020-11-30,1.2999999523162842,1.2999999523162842,1.350000023841858,1.2000000476837158,1.25,26480,2020-11-30
