Date,Adj Close_ABB.NS,Close_ABB.NS,High_ABB.NS,Low_ABB.NS,Open_ABB.NS,Volume_ABB.NS,Date
2020-07-13,890.4404907226562,912.1500244140625,933.0,894.0,916.0,382791,2020-07-13
2020-07-20,895.6258544921875,912.5999755859375,945.0,894.0,913.5,962019,2020-07-20
2020-07-27,878.3040771484375,894.9500122070312,912.0999755859375,862.5999755859375,912.0999755859375,536583,2020-07-27
2020-08-03,865.398681640625,881.7999877929688,922.0,869.4500122070312,900.0999755859375,664463,2020-08-03
2020-08-10,931.7413940429688,949.4000244140625,959.0,874.5999755859375,886.6500244140625,1148679,2020-08-10
2020-08-17,964.5691528320312,982.8499755859375,998.0,923.0,954.0,789637,2020-08-17
2020-08-24,967.26806640625,985.5999755859375,996.5,950.0,986.0,1509280,2020-08-24
2020-08-31,929.974853515625,947.5999755859375,1009.0,936.2999877929688,993.0,685462,2020-08-31
2020-09-07,881.6900024414062,898.4000244140625,957.3499755859375,893.5499877929688,955.8499755859375,1665602,2020-09-07
2020-09-14,884.0452270507812,900.7999877929688,924.7999877929688,898.4500122070312,902.7000122070312,804778,2020-09-14
2020-09-21,836.4473876953125,852.2999877929688,905.9000244140625,846.5999755859375,904.0,525355,2020-09-21
2020-09-28,844.985595703125,861.0,874.8499755859375,849.9000244140625,855.0,1179720,2020-09-28
2020-10-05,854.5051879882812,870.7000122070312,887.0,860.0,865.0,949752,2020-10-05
2020-10-12,847.7335815429688,863.7999877929688,885.0,848.0,874.9000244140625,643706,2020-10-12
2020-10-19,900.9254150390625,918.0,924.4500122070312,857.0499877929688,866.0,473519,2020-10-19
2020-10-26,877.077392578125,893.7000122070312,937.2000122070312,880.0499877929688,915.0,549165,2020-10-26
2020-11-02,920.4061279296875,937.8499755859375,941.75,868.5999755859375,888.0,493430,2020-11-02
2020-11-09,967.807861328125,986.1500244140625,1010.0,935.0999755859375,935.0999755859375,704594,2020-11-09
2020-11-16,1095.291748046875,1116.050048828125,1135.0,980.0,1000.25,1229480,2020-11-16
2020-11-23,1053.7784423828125,1073.75,1163.0,1011.5,1129.0,1131385,2020-11-23
2020-11-30,1132.9774169921875,1154.449951171875,1238.949951171875,1073.75,1073.75,1033771,2020-11-30
2020-12-07,1154.32275390625,1176.199951171875,1190.0,1140.0,1174.0,971690,2020-12-07
2020-12-14,1223.7569580078125,1246.949951171875,1260.0,1151.1500244140625,1180.0,1280092,2020-12-14
2020-12-21,1184.1083984375,1206.550048828125,1254.9000244140625,1157.199951171875,1244.5,890919,2020-12-21
2020-12-28,1209.77197265625,1232.699951171875,1239.9000244140625,1190.0,1221.3499755859375,913411,2020-12-28
2021-01-04,1290.5413818359375,1315.0,1330.0,1225.0,1239.0999755859375,752821,2021-01-04
2021-01-11,1260.755859375,1284.6500244140625,1314.0,1260.0,1314.0,554200,2021-01-11
2021-01-18,1352.222412109375,1377.8499755859375,1419.0,1286.699951171875,1291.0,1710520,2021-01-18
2021-01-25,1362.4779052734375,1388.300048828125,1419.449951171875,1344.949951171875,1391.4000244140625,687363,2021-01-25
2021-02-01,1467.4879150390625,1495.300048828125,1534.0,1357.1500244140625,1388.300048828125,1161727,2021-02-01
2021-02-08,1439.56689453125,1466.8499755859375,1504.75,1405.0,1496.0,1215564,2021-02-08
2021-02-15,1493.2987060546875,1521.5999755859375,1635.0,1465.0,1475.0,1139373,2021-02-15
2021-02-22,1499.7266845703125,1528.1500244140625,1600.0,1430.0,1521.5999755859375,789855,2021-02-22
2021-03-01,1461.1575927734375,1488.8499755859375,1559.8499755859375,1485.0,1547.0,537901,2021-03-01
2021-03-08,1443.73779296875,1471.0999755859375,1523.9000244140625,1451.0,1504.0,343954,2021-03-08
2021-03-15,1387.552734375,1413.8499755859375,1476.9000244140625,1333.0,1471.0,387015,2021-03-15
2021-03-22,1426.5142822265625,1453.550048828125,1498.300048828125,1330.199951171875,1414.0,471839,2021-03-22
2021-03-29,1371.5068359375,1397.5,1481.550048828125,1391.0999755859375,1453.550048828125,396814,2021-03-29
2021-04-05,1354.7249755859375,1380.4000244140625,1407.949951171875,1360.0,1390.0,357186,2021-04-05
2021-04-12,1345.84326171875,1371.3499755859375,1378.0,1298.550048828125,1378.0,807750,2021-04-12
2021-04-19,1355.019287109375,1380.699951171875,1418.0,1314.449951171875,1357.0,600393,2021-04-19
2021-04-26,1360.5196533203125,1381.25,1436.25,1360.0,1381.949951171875,1386123,2021-04-26
2021-05-03,1351.3590087890625,1371.949951171875,1399.5999755859375,1352.050048828125,1385.5999755859375,498749,2021-05-03
2021-05-10,1370.911376953125,1391.800048828125,1434.0,1362.699951171875,1385.0999755859375,914456,2021-05-10
2021-05-17,1411.5914306640625,1433.0999755859375,1481.800048828125,1382.0,1391.0,853730,2021-05-17
2021-05-24,1564.9053955078125,1588.75,1600.0,1433.0999755859375,1436.25,894718,2021-05-24
2021-05-31,1625.7286376953125,1650.5,1754.0,1600.0,1600.0,2546867,2021-05-31
2021-06-07,1623.8077392578125,1648.550048828125,1750.050048828125,1637.0,1659.0,834275,2021-06-07
2021-06-14,1717.283447265625,1743.449951171875,1776.699951171875,1601.0,1659.0,979653,2021-06-14
2021-06-21,1796.6739501953125,1824.050048828125,1851.0999755859375,1695.050048828125,1700.0,1654660,2021-06-21
2021-06-28,1760.3275146484375,1787.1500244140625,1857.0,1766.6500244140625,1839.050048828125,638042,2021-06-28
2021-07-05,1687.733642578125,1713.449951171875,1801.0,1683.5,1794.9000244140625,536093,2021-07-05
2021-07-12,1736.737060546875,1763.199951171875,1840.0,1701.449951171875,1718.449951171875,1053435,2021-07-12
2021-07-19,1670.3486328125,1695.800048828125,1777.9000244140625,1691.0999755859375,1772.5,388828,2021-07-19
2021-07-26,1673.6485595703125,1699.1500244140625,1780.300048828125,1624.050048828125,1688.0,607175,2021-07-26
2021-08-02,1638.8780517578125,1663.8499755859375,1734.6500244140625,1629.0,1702.199951171875,591944,2021-08-02
2021-08-09,1721.7158203125,1747.949951171875,1759.949951171875,1618.050048828125,1671.800048828125,423519,2021-08-09
2021-08-16,1688.915771484375,1714.6500244140625,1807.0999755859375,1683.050048828125,1761.5,468063,2021-08-16
2021-08-23,1822.28369140625,1850.050048828125,1865.0,1624.3499755859375,1715.0,873127,2021-08-23
2021-08-30,1820.95361328125,1848.699951171875,1925.0,1832.0,1875.0,1338957,2021-08-30
2021-09-06,1841.392333984375,1869.449951171875,1913.449951171875,1835.050048828125,1855.0,791322,2021-09-06
2021-09-13,1815.536376953125,1843.199951171875,1943.9000244140625,1835.050048828125,1865.0,768085,2021-09-13
2021-09-20,1850.50341796875,1878.699951171875,1918.25,1840.0,1843.199951171875,538810,2021-09-20
2021-09-27,1831.0006103515625,1858.9000244140625,1908.050048828125,1790.0,1888.0,513606,2021-09-27
2021-10-04,1812.13818359375,1839.75,1905.5999755859375,1827.0,1860.0999755859375,517568,2021-10-04
