Date,Adj Close_PROTEAN.NS,Close_PROTEAN.NS,High_PROTEAN.NS,Low_PROTEAN.NS,Open_PROTEAN.NS,Volume_PROTEAN.NS,Date
2025-02-03,1443.0,1443.0,1535.0,1428.699951171875,1535.0,522885,2025-02-03
2025-02-10,1344.050048828125,1344.050048828125,1449.4000244140625,1291.3499755859375,1449.4000244140625,1394816,2025-02-10
2025-02-17,1419.0,1419.0,1447.800048828125,1300.0,1336.0,1262439,2025-02-17
2025-02-24,1319.1500244140625,1319.1500244140625,1414.0,1268.550048828125,1399.050048828125,948262,2025-02-24
2025-03-03,1395.0999755859375,1395.0999755859375,1416.5999755859375,1247.0999755859375,1327.0999755859375,1828453,2025-03-03
2025-03-10,1282.5,1282.5,1409.0,1274.550048828125,1389.050048828125,1490431,2025-03-10
2025-03-17,1369.449951171875,1369.449951171875,1388.0,1245.0,1290.0,1803702,2025-03-17
2025-03-24,1340.800048828125,1340.800048828125,1432.5,1335.0,1378.699951171875,2720212,2025-03-24
2025-03-31,1364.199951171875,1364.199951171875,1467.25,1326.1500244140625,1340.800048828125,1568372,2025-03-31
2025-04-07,1380.5999755859375,1380.5999755859375,1390.0,1202.199951171875,1229.949951171875,1305765,2025-04-07
2025-04-14,1453.5,1453.5,1473.699951171875,1380.5999755859375,1380.5999755859375,838178,2025-04-14
2025-04-21,1359.300048828125,1359.300048828125,1484.5,1341.9000244140625,1452.4000244140625,1445890,2025-04-21
2025-04-28,1306.800048828125,1306.800048828125,1382.0,1294.199951171875,1357.0,710118,2025-04-28
2025-05-05,1266.300048828125,1266.300048828125,1328.5,1234.5,1323.9000244140625,1045406,2025-05-05
2025-05-12,1428.9000244140625,1428.9000244140625,1435.0,1310.0,1319.5999755859375,1307704,2025-05-12
2025-05-19,976.5999755859375,976.5999755859375,1192.0,973.0,1165.0,14268457,2025-05-19
2025-05-26,960.7999877929688,960.7999877929688,1017.7999877929688,946.2999877929688,980.0999755859375,3682595,2025-05-26
2025-06-02,949.0999755859375,949.0999755859375,980.9000244140625,943.75,972.0,1905379,2025-06-02
2025-06-09,952.9000244140625,952.9000244140625,1009.2999877929688,939.0499877929688,955.0499877929688,2797080,2025-06-09
2025-06-16,888.2999877929688,888.2999877929688,958.0499877929688,877.0499877929688,955.0,2136888,2025-06-16
2025-06-23,858.5,858.5,894.0,855.0499877929688,882.5999755859375,2417649,2025-06-23
2025-06-30,844.75,844.75,892.0,840.0,866.9000244140625,1988232,2025-06-30
2025-07-07,809.9500122070312,809.9500122070312,848.0,807.0499877929688,846.6500244140625,2750561,2025-07-07
2025-07-14,792.6500244140625,792.6500244140625,813.9500122070312,785.0,810.0,1301468,2025-07-14
