Date,Adj Close_SUYOG.NS,Close_SUYOG.NS,High_SUYOG.NS,Low_SUYOG.NS,Open_SUYOG.NS,Volume_SUYOG.NS,Date
2024-08-19,1672.5150146484375,1673.800048828125,1729.949951171875,1455.0,1547.9000244140625,264314,2024-08-19
2024-08-26,1662.7225341796875,1664.0,1735.25,1605.5,1690.25,168000,2024-08-26
2024-09-02,1578.1500244140625,1578.1500244140625,1703.800048828125,1496.25,1678.800048828125,185629,2024-09-02
2024-09-09,1645.4000244140625,1645.4000244140625,1777.4000244140625,1578.0999755859375,1594.4000244140625,323812,2024-09-09
2024-09-16,1572.25,1572.25,1680.0,1502.0999755859375,1675.4000244140625,181987,2024-09-16
2024-09-23,1624.949951171875,1624.949951171875,1660.949951171875,1554.9000244140625,1575.0,121619,2024-09-23
2024-09-30,1542.6500244140625,1542.6500244140625,1694.4000244140625,1480.0,1684.0,102315,2024-09-30
2024-10-07,1613.5999755859375,1613.5999755859375,1640.0,1470.0,1555.0,98686,2024-10-07
2024-10-14,1727.0,1727.0,1749.0,1587.9000244140625,1616.0,158551,2024-10-14
2024-10-21,1525.1500244140625,1525.1500244140625,1786.3499755859375,1502.0,1750.0,215556,2024-10-21
2024-10-28,1661.25,1661.25,1714.800048828125,1498.449951171875,1540.0,127335,2024-10-28
2024-11-04,1823.800048828125,1823.800048828125,1945.050048828125,1621.6500244140625,1674.8499755859375,422449,2024-11-04
2024-11-11,1747.1500244140625,1747.1500244140625,1880.050048828125,1690.0,1838.0,196520,2024-11-11
2024-11-18,1733.3499755859375,1733.3499755859375,1799.0,1616.0,1760.0,187584,2024-11-18
2024-11-25,1898.0999755859375,1898.0999755859375,1910.0,1725.0,1740.0,280105,2024-11-25
2024-12-02,1823.9000244140625,1823.9000244140625,1924.9000244140625,1792.300048828125,1899.5999755859375,175287,2024-12-02
2024-12-09,1850.0,1850.0,1947.699951171875,1824.949951171875,1825.0,266523,2024-12-09
2024-12-16,1876.8499755859375,1876.8499755859375,1968.199951171875,1802.25,1860.0,428497,2024-12-16
2024-12-23,1862.1500244140625,1862.1500244140625,1940.0,1840.0,1940.0,171134,2024-12-23
2024-12-30,1793.199951171875,1793.199951171875,1889.5,1728.0,1889.5,152079,2024-12-30
2025-01-06,1617.550048828125,1617.550048828125,1800.0,1582.0,1799.949951171875,192885,2025-01-06
2025-01-13,1632.5999755859375,1632.5999755859375,1658.300048828125,1541.6500244140625,1600.0,111569,2025-01-13
2025-01-20,1564.5999755859375,1564.5999755859375,1765.0,1529.5,1640.800048828125,142702,2025-01-20
2025-01-27,1521.9000244140625,1521.9000244140625,1585.050048828125,1446.0,1573.0,147300,2025-01-27
2025-02-03,1458.0,1458.0,1540.0,1424.0,1539.949951171875,113688,2025-02-03
2025-02-10,1043.3499755859375,1043.3499755859375,1469.9000244140625,961.0,1428.8499755859375,670337,2025-02-10
2025-02-17,1123.0,1123.0,1170.550048828125,1016.4500122070312,1055.800048828125,219925,2025-02-17
2025-02-24,1026.300048828125,1026.300048828125,1142.199951171875,1004.9000244140625,1060.0999755859375,120106,2025-02-24
2025-03-03,1104.449951171875,1104.449951171875,1120.0,941.0499877929688,1006.0499877929688,191630,2025-03-03
2025-03-10,929.0,929.0,1109.949951171875,922.0,1104.449951171875,299727,2025-03-10
2025-03-17,921.0999755859375,921.0999755859375,960.0,870.0999755859375,960.0,251089,2025-03-17
2025-03-24,798.1500244140625,798.1500244140625,944.0,792.1500244140625,924.0,210732,2025-03-24
2025-03-31,970.0499877929688,970.0499877929688,970.0499877929688,770.0999755859375,798.1500244140625,54491,2025-03-31
2025-04-07,920.0,920.0,947.0,910.0,921.5499877929688,29981,2025-04-07
2025-04-14,947.0,947.0,957.1500244140625,938.4000244140625,938.4000244140625,7304,2025-04-14
2025-04-21,960.4000244140625,960.4000244140625,989.0,947.0,965.9000244140625,13536,2025-04-21
2025-04-28,896.0999755859375,896.0999755859375,965.0,896.0999755859375,952.0,8299,2025-04-28
2025-05-05,887.0,887.0,896.0999755859375,852.5999755859375,887.0,26533,2025-05-05
2025-05-12,931.7999877929688,931.7999877929688,941.0,857.0,931.3499755859375,102964,2025-05-12
2025-05-19,822.9500122070312,822.9500122070312,950.0,818.9500122070312,943.0,121122,2025-05-19
2025-05-26,806.2999877929688,806.2999877929688,850.0,795.0,822.0,85385,2025-05-26
2025-06-02,854.25,854.25,854.25,774.0499877929688,801.0,110971,2025-06-02
2025-06-09,949.7000122070312,949.7000122070312,988.7999877929688,861.0,879.8499755859375,651122,2025-06-09
2025-06-16,891.5499877929688,891.5499877929688,931.5,891.5499877929688,930.7000122070312,26002,2025-06-16
2025-06-23,897.5999755859375,897.5999755859375,897.5999755859375,868.0,873.75,30638,2025-06-23
2025-06-30,890.2000122070312,890.2000122070312,899.4500122070312,875.2999877929688,891.9000244140625,17520,2025-06-30
2025-07-07,857.2000122070312,857.2000122070312,898.0,851.2999877929688,890.0,17399,2025-07-07
2025-07-14,855.0,855.0,857.2000122070312,850.0,850.0,11940,2025-07-14
