Date,Adj Close_SALASAR.NS,Close_SALASAR.NS,High_SALASAR.NS,Low_SALASAR.NS,Open_SALASAR.NS,Volume_SALASAR.NS,Date
2020-07-13,1.8634507656097412,1.8899999856948853,1.941499948501587,1.7999999523162842,1.843999981880188,20123900,2020-07-13
2020-07-20,1.9581023454666138,1.9859999418258667,2.049999952316284,1.850000023841858,1.8799999952316284,17184400,2020-07-20
2020-07-27,1.9181711673736572,1.9455000162124634,2.009999990463257,1.840000033378601,1.9500000476837158,8077600,2020-07-27
2020-08-03,1.7860534191131592,1.8114999532699585,1.940000057220459,1.7734999656677246,1.940000057220459,8198400,2020-08-03
2020-08-10,1.8718314170837402,1.8984999656677246,1.9390000104904175,1.7369999885559082,1.7450000047683716,9085700,2020-08-10
2020-08-17,1.7712641954421997,1.7964999675750732,1.996999979019165,1.7580000162124634,1.8509999513626099,50299500,2020-08-17
2020-08-24,1.7402067184448242,1.7649999856948853,1.8350000381469727,1.7350000143051147,1.7999999523162842,16349600,2020-08-24
2020-08-31,1.6859792470932007,1.7100000381469727,1.7834999561309814,1.5154999494552612,1.781499981880188,8749600,2020-08-31
2020-09-07,1.7101353406906128,1.7345000505447388,1.7710000276565552,1.590000033378601,1.7289999723434448,10074700,2020-09-07
2020-09-14,1.7988709211349487,1.8244999647140503,1.8660000562667847,1.655500054359436,1.743499994277954,26214300,2020-09-14
2020-09-21,1.9623185396194458,1.9789999723434448,2.0344998836517334,1.7699999809265137,1.7699999809265137,30096400,2020-09-21
2020-09-28,2.0307371616363525,2.0480000972747803,2.0885000228881836,1.899999976158142,1.9045000076293945,38780200,2020-09-28
2020-10-05,2.067425012588501,2.0850000381469727,2.1500000953674316,1.9850000143051147,2.0899999141693115,41612100,2020-10-05
2020-10-12,2.0183422565460205,2.0355000495910645,2.109499931335449,1.9420000314712524,2.0869998931884766,34987300,2020-10-12
2020-10-19,1.962814450263977,1.9795000553131104,2.0899999141693115,1.8825000524520874,2.0899999141693115,31751100,2020-10-19
2020-10-26,1.9856204986572266,2.002500057220459,2.069999933242798,1.9225000143051147,1.9225000143051147,32392700,2020-10-26
2020-11-02,2.084777355194092,2.1024999618530273,2.128999948501587,1.9505000114440918,2.0399999618530273,31574700,2020-11-02
2020-11-09,2.3202757835388184,2.3399999141693115,2.36899995803833,2.070499897003174,2.1029999256134033,52941000,2020-11-09
2020-11-16,2.253840446472168,2.2730000019073486,2.4000000953674316,2.1470000743865967,2.2634999752044678,20472800,2020-11-16
2020-11-23,2.0208210945129395,2.0380001068115234,2.2734999656677246,2.006999969482422,2.182499885559082,23705500,2020-11-23
2020-11-30,2.129894256591797,2.1480000019073486,2.180000066757202,2.0380001068115234,2.0380001068115234,29324100,2020-11-30
2020-12-07,2.191371440887451,2.2100000381469727,2.2200000286102295,1.9570000171661377,2.1760001182556152,33406800,2020-12-07
2020-12-14,2.2781336307525635,2.297499895095825,2.3399999141693115,2.2054998874664307,2.2119998931884766,25602300,2020-12-14
2020-12-21,2.2989566326141357,2.31850004196167,2.3489999771118164,2.1500000953674316,2.299999952316284,25279000,2020-12-21
