Date,Adj Close_VBL.NS,Close_VBL.NS,High_VBL.NS,Low_VBL.NS,Open_VBL.NS,Volume_VBL.NS,Date
2020-07-13,60.81013870239258,61.377777099609375,61.93777847290039,58.78666687011719,60.88888931274414,5279252,2020-07-13
2020-07-20,61.241668701171875,61.813331604003906,65.06666564941406,61.20888900756836,61.43555450439453,16401238,2020-07-20
2020-07-27,62.3601188659668,62.942222595214844,63.502220153808594,60.351112365722656,61.9555549621582,11960616,2020-07-27
2020-08-03,65.61858367919922,66.23110961914062,70.82666778564453,60.44444274902344,63.253334045410156,25943082,2020-08-03
2020-08-10,67.41514587402344,68.04444122314453,70.2177734375,65.33333587646484,67.0088882446289,9846201,2020-08-10
2020-08-17,66.2739028930664,66.67555236816406,69.95555877685547,66.22666931152344,69.01333618164062,9839001,2020-08-17
2020-08-24,66.64057159423828,67.04444122314453,70.0888900756836,66.22222137451172,67.08444213867188,11939668,2020-08-24
2020-08-31,65.42570495605469,65.82221984863281,69.15555572509766,61.38666534423828,67.11111450195312,11445128,2020-08-31
2020-09-07,64.2461929321289,64.63555145263672,66.84444427490234,63.911109924316406,66.31111145019531,5888529,2020-09-07
2020-09-14,62.31125259399414,62.68888854980469,66.82221984863281,61.351112365722656,64.88888549804688,8102383,2020-09-14
2020-09-21,61.449806213378906,61.82222366333008,62.488887786865234,59.17777633666992,62.22222137451172,19870885,2020-09-21
2020-09-28,61.78996658325195,62.16444396972656,64.4222183227539,61.77777862548828,62.92888641357422,7011415,2020-09-28
2020-10-05,58.21165084838867,58.56444549560547,63.11111068725586,58.22222137451172,62.65777587890625,21464357,2020-10-05
2020-10-12,60.32330322265625,60.68888854980469,62.0444450378418,58.57777786254883,58.57777786254883,25685165,2020-10-12
2020-10-19,59.19679641723633,59.5555534362793,61.475555419921875,59.20000076293945,60.88888931274414,13936318,2020-10-19
2020-10-26,57.8626594543457,58.21333312988281,60.44444274902344,57.45333480834961,59.97777557373047,11375839,2020-10-26
2020-11-02,61.343780517578125,61.715553283691406,62.666664123535156,58.21333312988281,59.20000076293945,39230459,2020-11-02
2020-11-09,65.36827087402344,65.76444244384766,66.66666412353516,61.155555725097656,62.22222137451172,16316312,2020-11-09
2020-11-16,68.01446533203125,68.42666625976562,69.32444763183594,64.63111114501953,65.9911117553711,14297658,2020-11-16
2020-11-23,76.99117279052734,77.45777893066406,82.13333129882812,66.64444732666016,68.44444274902344,37627244,2020-11-23
2020-11-30,73.8104476928711,74.25777435302734,80.0,73.05332946777344,77.45777893066406,17995858,2020-11-30
2020-12-07,80.4060287475586,80.8933334350586,81.82221984863281,74.22222137451172,74.66666412353516,27405493,2020-12-07
2020-12-14,85.61888885498047,86.13777923583984,88.86666870117188,78.99555206298828,81.32888793945312,27764807,2020-12-14
