Date,Adj Close_PALASHSECU.NS,Close_PALASHSECU.NS,High_PALASHSECU.NS,Low_PALASHSECU.NS,Open_PALASHSECU.NS,Volume_PALASHSECU.NS,Date
2021-04-05,51.25,51.25,52.5,46.5,51.900001525878906,7016,2021-04-05
2021-04-12,52.400001525878906,52.400001525878906,54.20000076293945,48.70000076293945,50.04999923706055,30189,2021-04-12
2021-04-19,51.150001525878906,51.150001525878906,53.79999923706055,49.349998474121094,51.45000076293945,31330,2021-04-19
2021-04-26,53.54999923706055,53.54999923706055,54.25,49.349998474121094,50.25,19569,2021-04-26
2021-05-03,60.900001525878906,60.900001525878906,60.900001525878906,53.599998474121094,54.95000076293945,47201,2021-05-03
2021-05-10,57.5,57.5,66.8499984741211,57.04999923706055,63.5,104105,2021-05-10
2021-05-17,57.0,57.0,62.25,56.0,58.5,69563,2021-05-17
2021-05-24,56.599998474121094,56.599998474121094,60.150001525878906,54.29999923706055,56.0,56642,2021-05-24
2021-05-31,68.0999984741211,68.0999984741211,68.0999984741211,55.400001525878906,55.400001525878906,91733,2021-05-31
2021-06-07,79.5,79.5,88.3499984741211,69.44999694824219,70.0,155157,2021-06-07
2021-06-14,78.4000015258789,78.4000015258789,87.1500015258789,76.44999694824219,76.44999694824219,37588,2021-06-14
2021-06-21,81.4000015258789,81.4000015258789,86.4000015258789,74.30000305175781,75.5,20519,2021-06-21
2021-06-28,82.3499984741211,82.3499984741211,93.5,79.0,82.0,19345,2021-06-28
2021-07-05,78.0,78.0,85.0,73.69999694824219,85.0,7126,2021-07-05
2021-07-12,75.0,75.0,80.0,72.0,74.19999694824219,17166,2021-07-12
2021-07-19,75.3499984741211,75.3499984741211,81.3499984741211,71.30000305175781,71.30000305175781,20716,2021-07-19
2021-07-26,81.44999694824219,81.44999694824219,82.4000015258789,72.5999984741211,77.4000015258789,44517,2021-07-26
2021-08-02,72.19999694824219,72.19999694824219,82.8499984741211,71.9000015258789,82.8499984741211,26845,2021-08-02
2021-08-09,70.69999694824219,70.69999694824219,73.5999984741211,57.29999923706055,69.44999694824219,153650,2021-08-09
2021-08-16,69.4000015258789,69.4000015258789,73.44999694824219,64.69999694824219,73.44999694824219,50712,2021-08-16
2021-08-23,70.44999694824219,70.44999694824219,77.94999694824219,66.1500015258789,67.05000305175781,119623,2021-08-23
2021-08-30,72.55000305175781,72.55000305175781,76.9000015258789,67.19999694824219,70.5999984741211,80267,2021-08-30
2021-09-06,71.94999694824219,71.94999694824219,76.05000305175781,70.6500015258789,71.1500015258789,44743,2021-09-06
2021-09-13,73.0,73.0,78.9000015258789,71.0,73.3499984741211,49448,2021-09-13
2021-09-20,78.25,78.25,80.75,70.0,74.19999694824219,145365,2021-09-20
2021-09-27,85.5999984741211,85.5999984741211,90.6500015258789,77.6500015258789,78.25,101249,2021-09-27
2021-10-04,91.5,91.5,94.94999694824219,85.0,89.44999694824219,106500,2021-10-04
2021-10-11,87.0999984741211,87.0999984741211,92.0,85.05000305175781,91.0,18733,2021-10-11
2021-10-18,73.75,73.75,88.94999694824219,67.30000305175781,87.19999694824219,55626,2021-10-18
2021-10-25,72.0999984741211,72.0999984741211,78.0,69.9000015258789,78.0,15404,2021-10-25
2021-11-01,74.44999694824219,74.44999694824219,78.9000015258789,71.05000305175781,72.0999984741211,8855,2021-11-01
2021-11-08,74.0,74.0,84.0,71.5999984741211,73.5999984741211,19177,2021-11-08
2021-11-15,86.3499984741211,86.3499984741211,88.19999694824219,72.25,72.25,350859,2021-11-15
2021-11-22,70.19999694824219,70.19999694824219,88.9000015258789,66.19999694824219,88.0,216563,2021-11-22
2021-11-29,69.9000015258789,69.9000015258789,73.0,66.0999984741211,69.5,26130,2021-11-29
2021-12-06,81.80000305175781,81.80000305175781,85.0,68.5,68.5,142112,2021-12-06
2021-12-13,83.8499984741211,83.8499984741211,86.0,79.80000305175781,83.44999694824219,42834,2021-12-13
2021-12-20,88.69999694824219,88.69999694824219,89.5999984741211,80.3499984741211,83.0,68697,2021-12-20
2021-12-27,89.44999694824219,89.44999694824219,98.0,86.69999694824219,88.69999694824219,62919,2021-12-27
2022-01-03,87.25,87.25,91.80000305175781,81.0999984741211,89.0,19637,2022-01-03
2022-01-10,83.6500015258789,83.6500015258789,90.5,80.6500015258789,85.05000305175781,26005,2022-01-10
2022-01-17,83.1500015258789,83.1500015258789,87.0,81.30000305175781,86.9000015258789,15506,2022-01-17
2022-01-24,80.5,80.5,86.80000305175781,79.0,81.25,12592,2022-01-24
2022-01-31,81.75,81.75,83.94999694824219,76.0999984741211,80.0999984741211,7453,2022-01-31
2022-02-07,81.44999694824219,81.44999694824219,82.80000305175781,77.1500015258789,77.8499984741211,9379,2022-02-07
2022-02-14,89.0,89.0,90.19999694824219,77.0,83.55000305175781,65061,2022-02-14
2022-02-21,94.55000305175781,94.55000305175781,95.1500015258789,86.0999984741211,89.0,107803,2022-02-21
2022-02-28,110.0,110.0,114.55000305175781,91.0,91.0,60500,2022-02-28
2022-03-07,96.05000305175781,96.05000305175781,112.30000305175781,95.0999984741211,110.0,26862,2022-03-07
2022-03-14,108.5999984741211,108.5999984741211,111.1500015258789,91.25,96.5,15483,2022-03-14
2022-03-21,109.5,109.5,117.44999694824219,104.0,112.0,31759,2022-03-21
2022-03-28,109.6500015258789,109.6500015258789,115.5,104.6500015258789,104.75,53863,2022-03-28
2022-04-04,119.25,119.25,123.94999694824219,106.5,114.0,36132,2022-04-04
2022-04-11,115.1500015258789,115.1500015258789,125.0,112.0,119.25,17732,2022-04-11
2022-04-18,119.44999694824219,119.44999694824219,120.94999694824219,108.0999984741211,112.0,24235,2022-04-18
2022-04-25,112.8499984741211,112.8499984741211,119.9000015258789,111.0,117.44999694824219,14537,2022-04-25
