Date,Adj Close_HCLTECH.NS,Close_HCLTECH.NS,High_HCLTECH.NS,Low_HCLTECH.NS,Open_HCLTECH.NS,Volume_HCLTECH.NS,Date
2020-07-13,521.2022705078125,623.1500244140625,652.2000122070312,592.5,593.6500244140625,57529398,2020-07-13
2020-07-20,568.7096557617188,679.9500122070312,684.7999877929688,626.8499755859375,633.0,38720511,2020-07-20
2020-07-27,591.6488647460938,705.2000122070312,716.7000122070312,676.5,684.0,41250543,2020-07-27
2020-08-03,579.1480712890625,690.2999877929688,718.0,681.0,709.0999755859375,30786218,2020-08-03
2020-08-10,594.9208374023438,709.0999755859375,729.0,677.0499877929688,694.9500122070312,33548938,2020-08-10
2020-08-17,592.236083984375,705.9000244140625,721.7000122070312,702.7000122070312,711.0999755859375,19026685,2020-08-17
2020-08-24,592.6976318359375,706.4500122070312,720.0,694.7000122070312,706.0499877929688,21894414,2020-08-24
2020-08-31,587.9573364257812,700.7999877929688,725.0,682.4000244140625,705.0,27076942,2020-08-31
2020-09-07,605.449951171875,721.6500244140625,738.9000244140625,689.0499877929688,696.3499755859375,31863764,2020-09-07
2020-09-14,680.0772705078125,810.5999755859375,825.0999755859375,744.1500244140625,745.0,82627813,2020-09-14
2020-09-21,696.3536987304688,827.7000122070312,849.9000244140625,784.0,823.0,95231523,2020-09-21
2020-09-28,683.9444580078125,812.9500122070312,844.75,807.0999755859375,838.4000244140625,35491714,2020-09-28
2020-10-05,719.9525146484375,855.75,879.0,815.0999755859375,828.7999877929688,59865711,2020-10-05
2020-10-12,695.8911743164062,827.1500244140625,910.7000122070312,820.5999755859375,860.7999877929688,87739179,2020-10-12
2020-10-19,717.1763916015625,852.4500122070312,891.6500244140625,833.0,839.7999877929688,63452444,2020-10-19
2020-10-26,711.6103515625,841.9500122070312,860.9000244140625,818.9500122070312,853.0,34692014,2020-10-26
2020-11-02,718.4985961914062,850.0999755859375,855.7999877929688,810.5999755859375,841.9500122070312,37818133,2020-11-02
