Date,Adj Close_AKZOINDIA.NS,Close_AKZOINDIA.NS,High_AKZOINDIA.NS,Low_AKZOINDIA.NS,Open_AKZOINDIA.NS,Volume_AKZOINDIA.NS,Date
2020-07-13,1600.85009765625,1842.5,1897.0,1833.75,1865.0,25213,2020-07-13
2020-07-20,1605.498291015625,1847.8499755859375,1879.0,1812.0,1879.0,55553,2020-07-20
2020-07-27,1649.8963623046875,1898.949951171875,1940.0,1820.8499755859375,1876.949951171875,69650,2020-07-27
2020-08-03,1664.102294921875,1915.300048828125,1934.6500244140625,1850.0999755859375,1914.4000244140625,41223,2020-08-03
2020-08-10,1742.3416748046875,2005.3499755859375,2049.949951171875,1856.0,1920.0,175723,2020-08-10
2020-08-17,1824.88232421875,2100.35009765625,2123.949951171875,1975.0,2027.1500244140625,84770,2020-08-17
2020-08-24,1871.5849609375,2139.39990234375,2244.949951171875,2071.449951171875,2100.0,80311,2020-08-24
2020-08-31,1839.1732177734375,2102.35009765625,2185.0,2051.050048828125,2157.699951171875,74831,2020-08-31
2020-09-07,1754.49072265625,2005.550048828125,2143.949951171875,2000.0,2129.85009765625,74439,2020-09-07
2020-09-14,1893.4114990234375,2164.35009765625,2183.949951171875,2020.0999755859375,2020.0999755859375,77422,2020-09-14
2020-09-21,1762.888916015625,2015.1500244140625,2160.0,1996.1500244140625,2160.0,33891,2020-09-21
2020-09-28,1906.490234375,2179.300048828125,2199.0,2003.6500244140625,2003.6500244140625,42261,2020-09-28
2020-10-05,1822.4639892578125,2083.25,2190.0,2077.0,2179.35009765625,24038,2020-10-05
2020-10-12,1748.235595703125,1998.4000244140625,2107.550048828125,1975.1500244140625,2083.25,39080,2020-10-12
2020-10-19,1750.6416015625,2001.1500244140625,2149.699951171875,1911.4000244140625,1992.0,92132,2020-10-19
2020-10-26,1735.069580078125,1983.3499755859375,2019.449951171875,1950.0,2015.0,24731,2020-10-26
2020-11-02,1729.164794921875,1976.5999755859375,1998.949951171875,1910.0,1991.6500244140625,56796,2020-11-02
2020-11-09,1750.2916259765625,2000.75,2044.0,1944.0,2019.9000244140625,76346,2020-11-09
2020-11-16,1842.4097900390625,2106.050048828125,2125.0,1978.5999755859375,1978.5999755859375,85974,2020-11-16
2020-11-23,1883.4825439453125,2153.0,2199.0,2042.449951171875,2119.800048828125,62408,2020-11-23
2020-11-30,1970.307861328125,2252.25,2272.0,2112.35009765625,2153.0,70856,2020-11-30
2020-12-07,1930.547607421875,2206.800048828125,2280.050048828125,2185.0,2270.0,62758,2020-12-07
2020-12-14,1981.9869384765625,2265.60009765625,2310.0,2198.0,2240.0,46124,2020-12-14
2020-12-21,1954.4737548828125,2234.14990234375,2275.0,2112.25,2275.0,44823,2020-12-21
2020-12-28,2097.76904296875,2397.949951171875,2490.0,2232.050048828125,2245.35009765625,190594,2020-12-28
2021-01-04,2100.96240234375,2401.60009765625,2518.800048828125,2380.199951171875,2456.949951171875,120851,2021-01-04
2021-01-11,2023.234619140625,2312.75,2449.0,2296.60009765625,2413.64990234375,189979,2021-01-11
2021-01-18,2170.072998046875,2480.60009765625,2530.0,2262.0,2323.0,128633,2021-01-18
2021-01-25,1949.093994140625,2228.0,2519.949951171875,2213.25,2515.0,92076,2021-01-25
2021-02-01,1990.297607421875,2275.10009765625,2345.0,2173.0,2220.0,122631,2021-02-01
2021-02-08,1918.6502685546875,2193.199951171875,2318.0,2189.0,2294.0,133880,2021-02-08
2021-02-15,1877.8399658203125,2146.550048828125,2245.949951171875,2136.0,2200.0,73927,2021-02-15
2021-02-22,1905.3388671875,2158.10009765625,2229.0,2120.0,2168.0,226694,2021-02-22
2021-03-01,1938.711181640625,2195.89990234375,2284.0,2142.5,2194.0,146226,2021-03-01
2021-03-08,2028.0146484375,2297.050048828125,2324.0,2170.300048828125,2190.0,119037,2021-03-08
2021-03-15,1941.978271484375,2199.60009765625,2435.0,2147.85009765625,2300.0,385404,2021-03-15
2021-03-22,1963.6085205078125,2224.10009765625,2264.949951171875,2164.300048828125,2205.0,129606,2021-03-22
2021-03-29,2093.347412109375,2371.050048828125,2378.0,2196.0,2224.10009765625,94877,2021-03-29
2021-04-05,2069.863037109375,2344.449951171875,2469.0,2337.0,2390.0,133579,2021-04-05
2021-04-12,2002.0137939453125,2267.60009765625,2337.5,2225.10009765625,2337.5,27832,2021-04-12
