Date,Adj Close_TOLINS.NS,Close_TOLINS.NS,High_TOLINS.NS,Low_TOLINS.NS,Open_TOLINS.NS,Volume_TOLINS.NS,Date
2024-09-16,200.13999938964844,200.13999938964844,239.39999389648438,195.36000061035156,228.0,4191373,2024-09-16
2024-09-23,198.47000122070312,198.47000122070312,209.0,191.10000610351562,200.13999938964844,728140,2024-09-23
2024-09-30,183.17999267578125,183.17999267578125,197.67999267578125,181.5800018310547,196.00999450683594,754696,2024-09-30
2024-10-07,194.88999938964844,194.88999938964844,212.0,178.5,194.99000549316406,1744506,2024-10-07
2024-10-14,183.9499969482422,183.9499969482422,198.74000549316406,182.19000244140625,198.74000549316406,620063,2024-10-14
2024-10-21,165.63999938964844,165.63999938964844,186.39999389648438,163.89999389648438,183.0,437257,2024-10-21
2024-10-28,172.42999267578125,172.42999267578125,173.1199951171875,159.1999969482422,167.49000549316406,538051,2024-10-28
2024-11-04,170.02999877929688,170.02999877929688,175.97000122070312,165.25,173.5,544908,2024-11-04
2024-11-11,166.85000610351562,166.85000610351562,173.6999969482422,156.39999389648438,170.9199981689453,510671,2024-11-11
2024-11-18,180.0800018310547,180.0800018310547,193.99000549316406,168.47999572753906,172.99000549316406,1397218,2024-11-18
2024-11-25,222.10000610351562,222.10000610351562,233.0,175.5,181.39999389648438,5051508,2024-11-25
2024-12-02,246.35000610351562,246.35000610351562,259.20001220703125,212.2100067138672,220.0,7216397,2024-12-02
2024-12-09,218.39999389648438,218.39999389648438,257.5799865722656,214.55999755859375,248.8000030517578,3495255,2024-12-09
2024-12-16,203.82000732421875,203.82000732421875,225.08999633789062,201.0,214.0,2125891,2024-12-16
2024-12-23,200.9600067138672,200.9600067138672,215.5,199.5500030517578,206.99000549316406,716111,2024-12-23
2024-12-30,218.25,218.25,220.63999938964844,194.11000061035156,202.5,1571301,2024-12-30
2025-01-06,196.35000610351562,196.35000610351562,223.5,194.4499969482422,222.63999938964844,1530278,2025-01-06
2025-01-13,185.97999572753906,185.97999572753906,196.99000549316406,180.50999450683594,196.35000610351562,855662,2025-01-13
2025-01-20,172.07000732421875,172.07000732421875,189.1999969482422,170.41000366210938,185.97999572753906,476731,2025-01-20
2025-01-27,162.5399932861328,162.5399932861328,171.9499969482422,150.1999969482422,170.99000549316406,1253827,2025-01-27
2025-02-03,163.8300018310547,163.8300018310547,170.0,156.25,163.5,792428,2025-02-03
2025-02-10,134.99000549316406,134.99000549316406,163.00999450683594,134.0,162.75,1376177,2025-02-10
2025-02-17,130.38999938964844,130.38999938964844,139.5,124.23999786376953,138.0,984705,2025-02-17
2025-02-24,119.66999816894531,119.66999816894531,130.19000244140625,117.66000366210938,129.0,443030,2025-02-24
2025-03-03,126.51000213623047,126.51000213623047,127.66000366210938,107.72000122070312,120.0999984741211,908299,2025-03-03
2025-03-10,116.12999725341797,116.12999725341797,129.10000610351562,115.0,129.0,455389,2025-03-10
2025-03-17,117.19000244140625,117.19000244140625,121.4000015258789,112.55000305175781,117.98999786376953,666190,2025-03-17
2025-03-24,116.01000213623047,116.01000213623047,122.0,112.80000305175781,119.0,1024102,2025-03-24
2025-03-31,121.37999725341797,121.37999725341797,126.4000015258789,114.8499984741211,116.01000213623047,177333,2025-03-31
2025-04-07,120.16999816894531,120.16999816894531,122.5,115.0,115.30999755859375,106159,2025-04-07
2025-04-14,127.83000183105469,127.83000183105469,128.0500030517578,120.0,121.8499984741211,120395,2025-04-14
2025-04-21,128.83999633789062,128.83999633789062,137.0,126.61000061035156,129.50999450683594,269162,2025-04-21
2025-04-28,127.26000213623047,127.26000213623047,132.6199951171875,125.0,128.75,163382,2025-04-28
2025-05-05,123.8499984741211,123.8499984741211,130.66000366210938,122.19999694824219,129.60000610351562,113178,2025-05-05
2025-05-12,132.52999877929688,132.52999877929688,133.30999755859375,126.05000305175781,127.76000213623047,137386,2025-05-12
2025-05-19,126.56999969482422,126.56999969482422,136.5,126.23999786376953,132.99000549316406,183301,2025-05-19
2025-05-26,133.49000549316406,133.49000549316406,138.0,126.0,126.5,326196,2025-05-26
2025-06-02,142.97000122070312,142.97000122070312,148.2899932861328,130.0500030517578,131.00999450683594,398723,2025-06-02
2025-06-09,160.27000427246094,160.27000427246094,176.9499969482422,145.0,146.83999633789062,1972201,2025-06-09
2025-06-16,154.1999969482422,154.1999969482422,164.5,152.0,160.99000549316406,514909,2025-06-16
2025-06-23,161.42999267578125,161.42999267578125,162.82000732421875,150.0,152.0,471103,2025-06-23
2025-06-30,163.66000366210938,163.66000366210938,165.75,157.8000030517578,161.42999267578125,614355,2025-06-30
2025-07-07,162.35000610351562,162.35000610351562,173.75999450683594,161.7100067138672,165.6999969482422,906812,2025-07-07
2025-07-14,161.9199981689453,161.9199981689453,165.86000061035156,161.0,162.10000610351562,85695,2025-07-14
