Date,Adj Close_TRANSRAILL.NS,Close_TRANSRAILL.NS,High_TRANSRAILL.NS,Low_TRANSRAILL.NS,Open_TRANSRAILL.NS,Volume_TRANSRAILL.NS,Date
2024-12-23,553.5499877929688,553.5499877929688,605.0,544.5,590.0,19363730,2024-12-23
2024-12-30,637.5999755859375,637.5999755859375,675.0,532.2999877929688,558.0,38454511,2024-12-30
2025-01-06,647.4500122070312,647.4500122070312,718.9000244140625,630.6500244140625,644.0,57490468,2025-01-06
2025-01-13,593.5,593.5,662.9500122070312,577.0,632.9000244140625,25117077,2025-01-13
2025-01-20,528.0499877929688,528.0499877929688,612.9500122070312,522.7999877929688,595.0,9530217,2025-01-20
2025-01-27,534.9000244140625,534.9000244140625,563.0,474.6499938964844,521.7000122070312,8977121,2025-01-27
2025-02-03,580.2000122070312,580.2000122070312,598.9500122070312,499.0,518.1500244140625,11484035,2025-02-03
2025-02-10,542.75,542.75,637.5999755859375,536.2999877929688,588.0,24057663,2025-02-10
2025-02-17,523.0,523.0,568.3499755859375,509.45001220703125,531.0999755859375,6934455,2025-02-17
2025-02-24,517.0999755859375,517.0999755859375,524.7000122070312,481.0,512.0499877929688,9456330,2025-02-24
2025-03-03,532.7999877929688,532.7999877929688,552.0,486.29998779296875,520.9500122070312,6888173,2025-03-03
2025-03-10,497.3500061035156,497.3500061035156,540.0,491.0,532.0999755859375,3525064,2025-03-10
2025-03-17,509.1499938964844,509.1499938964844,523.9500122070312,492.0,498.95001220703125,7011197,2025-03-17
2025-03-24,462.54998779296875,462.54998779296875,538.7999877929688,461.0,510.0,11104692,2025-03-24
2025-03-31,466.70001220703125,466.70001220703125,499.5,457.6499938964844,462.54998779296875,6741499,2025-03-31
2025-04-07,453.25,453.25,462.0,394.54998779296875,395.0,3622173,2025-04-07
2025-04-14,474.29998779296875,474.29998779296875,496.8999938964844,453.25,453.25,4074843,2025-04-14
2025-04-21,504.3500061035156,504.3500061035156,525.0,478.8999938964844,478.8999938964844,6790296,2025-04-21
2025-04-28,458.5,458.5,505.8500061035156,456.79998779296875,503.0,2276934,2025-04-28
2025-05-05,462.1000061035156,462.1000061035156,484.0,450.6000061035156,461.45001220703125,2340463,2025-05-05
2025-05-12,538.3499755859375,538.3499755859375,544.4500122070312,476.25,479.70001220703125,5011449,2025-05-12
2025-05-19,571.5999755859375,571.5999755859375,579.5499877929688,533.0,541.0,5543113,2025-05-19
2025-05-26,608.5499877929688,608.5499877929688,644.9000244140625,588.0,595.0,14092330,2025-05-26
2025-06-02,669.6500244140625,669.6500244140625,699.2000122070312,605.8499755859375,607.9500122070312,14465755,2025-06-02
2025-06-09,622.7999877929688,622.7999877929688,682.0,617.0499877929688,675.7999877929688,4813192,2025-06-09
2025-06-16,620.1500244140625,620.1500244140625,651.9000244140625,607.5499877929688,626.9500122070312,3658424,2025-06-16
2025-06-23,656.7999877929688,656.7999877929688,668.6500244140625,613.5999755859375,615.0999755859375,6017244,2025-06-23
2025-06-30,742.6500244140625,742.6500244140625,747.0,643.0999755859375,685.2000122070312,29180839,2025-06-30
2025-07-07,745.7999877929688,745.7999877929688,787.0,705.7000122070312,740.0,18695688,2025-07-07
2025-07-14,779.5999755859375,779.5999755859375,784.7000122070312,739.0999755859375,745.7999877929688,4658593,2025-07-14
