Date,Adj Close_BLS.NS,Close_BLS.NS,High_BLS.NS,Low_BLS.NS,Open_BLS.NS,Volume_BLS.NS,Date
2020-07-13,15.227239608764648,15.524999618530273,15.875,15.087499618530273,15.512499809265137,282704,2020-07-13
2020-07-20,19.567373275756836,19.950000762939453,20.700000762939453,15.5,15.925000190734863,4647408,2020-07-20
2020-07-27,19.17504119873047,19.549999237060547,23.0625,19.549999237060547,20.25,2275524,2020-07-27
2020-08-03,22.497570037841797,22.9375,22.9375,18.575000762939453,18.575000762939453,4714692,2020-08-03
2020-08-10,28.06372833251953,28.612499237060547,28.612499237060547,23.25,23.899999618530273,7642064,2020-08-10
2020-08-17,30.000850677490234,30.587499618530273,31.575000762939453,28.537500381469727,29.924999237060547,7495264,2020-08-17
2020-08-24,25.390995025634766,25.887500762939453,31.100000381469727,25.887500762939453,30.725000381469727,2470160,2020-08-24
2020-08-31,25.48907470703125,25.987499237060547,27.0,22.287500381469727,24.600000381469727,2778752,2020-08-31
2020-09-07,26.212430953979492,26.725000381469727,28.0,24.612499237060547,26.0,1548860,2020-09-07
2020-09-14,24.88032341003418,25.25,27.450000762939453,25.0625,26.725000381469727,1214372,2020-09-14
2020-09-21,20.384618759155273,20.6875,25.75,20.5,25.75,1192456,2020-09-21
2020-09-28,20.92656898498535,21.237499237060547,23.174999237060547,20.012500762939453,20.762500762939453,1708144,2020-09-28
2020-10-05,19.54706573486328,19.837499618530273,21.912500381469727,19.1875,21.912500381469727,1590720,2020-10-05
2020-10-12,18.22914695739746,18.5,20.375,18.024999618530273,20.0,1465376,2020-10-12
2020-10-19,21.16059112548828,21.475000381469727,22.174999237060547,18.299999237060547,18.299999237060547,1961940,2020-10-19
2020-10-26,20.347671508789062,20.649999618530273,22.5,20.524999618530273,22.0,1108044,2020-10-26
2020-11-02,20.347671508789062,20.649999618530273,21.924999237060547,19.524999618530273,21.0,597188,2020-11-02
2020-11-09,19.76877212524414,20.0625,21.225000381469727,19.462499618530273,21.149999618530273,720728,2020-11-09
2020-11-16,18.105979919433594,18.375,20.25,18.237499237060547,19.975000381469727,822940,2020-11-16
2020-11-23,19.78108787536621,20.075000762939453,20.462499618530273,17.875,18.375,1876176,2020-11-23
2020-11-30,23.279111862182617,23.625,23.850000381469727,20.075000762939453,20.075000762939453,3655180,2020-11-30
2020-12-07,22.29375648498535,22.625,23.725000381469727,20.75,23.625,3300860,2020-12-07
2020-12-14,22.515460968017578,22.850000381469727,23.75,21.75,23.237499237060547,1670664,2020-12-14
2020-12-21,20.85266876220703,21.162500381469727,23.299999237060547,18.837499618530273,23.299999237060547,1311876,2020-12-21
2020-12-28,20.951204299926758,21.262500762939453,21.975000381469727,21.0,21.200000762939453,936936,2020-12-28
2021-01-04,30.496870040893555,30.950000762939453,33.25,21.25,21.475000381469727,31149576,2021-01-04
2021-01-11,27.33139991760254,27.737499237060547,32.0,27.5,31.5,5748820,2021-01-11
2021-01-18,25.705562591552734,26.087499618530273,27.674999237060547,25.537500381469727,27.674999237060547,2493592,2021-01-18
2021-01-25,25.262147903442383,25.637500762939453,26.524999618530273,24.287500381469727,26.524999618530273,1091996,2021-01-25
2021-02-01,25.988853454589844,26.375,28.012500762939453,25.024999618530273,25.6875,2446116,2021-02-01
2021-02-08,25.434589385986328,25.8125,27.462499618530273,25.600000381469727,27.0,2211024,2021-02-08
